consentMouse1.x,consentMouse1.y,consentMouse1.leftButton,consentMouse1.midButton,consentMouse1.rightButton,consentMouse1.clicked_name,consent_Mouse.x,consent_Mouse.y,consent_Mouse.leftButton,consent_Mouse.midButton,consent_Mouse.rightButton,consent_Mouse.clicked_name,startMouse.x,startMouse.y,startMouse.leftButton,startMouse.midButton,startMouse.rightButton,startMouse_2.x,startMouse_2.y,startMouse_2.leftButton,startMouse_2.midButton,startMouse_2.rightButton,start_distance,fixedOri,minimalDistance,maxOri,this_ori,accuracy,presented_accuracy,submitMouse.x,submitMouse.y,submitMouse.leftButton,submitMouse.midButton,submitMouse.rightButton,submitMouse.time,submitMouse.clicked_name,block_accuracy,continueMouse.x,continueMouse.y,continueMouse.leftButton,continueMouse.midButton,continueMouse.rightButton,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,startOri,participant,condition,nTrials,date,expName,psychopyVersion,OS,frameRate,continueMouse.clicked_name,EndButtonMouse.x,EndButtonMouse.y,EndButtonMouse.leftButton,EndButtonMouse.midButton,EndButtonMouse.rightButton,EndButtonMouse.clicked_name
0.378888889,-0.398888889,1,0,0,consent_button1,0.378888889,-0.398888889,1,0,0,consent_button,0.316666667,-0.274444444,1,0,0,-0.013333333,-0.376666667,1,0,0,-32.77777778,48,20,75,2.222222222,45.77777778,36.62222222,0.385555556,-0.304444444,1,0,0,4.58,submitButton,36.62222222,0.401111111,-0.347777778,0,0,0,0,0,0,32,1,48,67243,blockP,180,2022-02-11_13h20.39.633,orientation adjustment blockP,2021.2.3,MacIntel,50,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,36.11111111,24,20,75,-16.88888889,40.88888889,32.71111111,0.4,-0.295555556,1,0,0,1.149,submitButton,34.66666667,0.328888889,-0.391111111,0,0,0,0,1,1,8,1,24,67243,blockP,180,2022-02-11_13h20.39.633,orientation adjustment blockP,2021.2.3,MacIntel,50,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,-38.88888889,-63,20,75,-236.8888889,6.111111111,2.444444444,0.394444444,-0.298888889,1,0,0,0.166,submitButton,23.92592593,0.681111111,-0.278888889,0,0,0,0,2,2,47,1,63,67243,blockP,180,2022-02-11_13h20.39.633,orientation adjustment blockP,2021.2.3,MacIntel,50,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,26.66666667,51,20,75,219.6666667,11.33333333,4.533333333,0.214444444,-0.3,1,0,0,0.099,submitButton,4.533333333,-0.204444444,-0.415555556,0,0,0,0,3,3,35,1,51,67243,blockP,180,2022-02-11_13h20.39.633,orientation adjustment blockP,2021.2.3,MacIntel,50,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,48.88888889,41,20,75,215.8888889,5.111111111,2.044444444,0.194444444,-0.306666667,1,0,0,0.017,submitButton,3.288888889,-0.221111111,-0.401111111,0,0,0,0,4,4,25,1,41,67243,blockP,180,2022-02-11_13h20.39.633,orientation adjustment blockP,2021.2.3,MacIntel,50,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,-58.88888889,-75,20,75,-204.8888889,50.11111111,42.59444444,-0.284444444,-0.406666667,1,0,0,3.032,submitButton,16.39074074,0.062222222,-0.351111111,0,0,0,0,5,5,59,1,75,67243,blockP,180,2022-02-11_13h20.39.633,orientation adjustment blockP,2021.2.3,MacIntel,50,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,-61.66666667,-34,20,75,-51.66666667,17.66666667,11.48333333,-0.238888889,-0.386666667,1,0,0,1.383,submitButton,11.48333333,0.012222222,-0.373333333,0,0,0,0,6,6,18,1,34,67243,blockP,180,2022-02-11_13h20.39.633,orientation adjustment blockP,2021.2.3,MacIntel,50,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,-44.44444444,36,20,75,27.55555556,8.444444444,3.377777778,-0.235555556,-0.404444444,1,0,0,1.133,submitButton,7.430555556,0.098888889,-0.348888889,0,0,0,0,7,7,20,1,36,67243,blockP,180,2022-02-11_13h20.39.633,orientation adjustment blockP,2021.2.3,MacIntel,50,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,-38.88888889,30,20,75,22.11111111,7.888888889,3.155555556,0.182222222,-0.315555556,1,0,0,0.8,submitButton,6.005555556,-0.138888889,-0.4,0,0,0,0,8,8,14,1,30,67243,blockP,180,2022-02-11_13h20.39.633,orientation adjustment blockP,2021.2.3,MacIntel,50,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,75,-67,20,75,-52,15,9.75,0.386666667,-0.283333333,1,0,0,0.817,submitButton,9.75,-0.225555556,-0.393333333,0,0,0,0,9,9,51,1,67,67243,blockP,180,2022-02-11_13h20.39.633,orientation adjustment blockP,2021.2.3,MacIntel,50,,,,,,,
