consentMouse1.x,consentMouse1.y,consentMouse1.leftButton,consentMouse1.midButton,consentMouse1.rightButton,consentMouse1.clicked_name,consent_Mouse.x,consent_Mouse.y,consent_Mouse.leftButton,consent_Mouse.midButton,consent_Mouse.rightButton,consent_Mouse.clicked_name,startMouse.x,startMouse.y,startMouse.leftButton,startMouse.midButton,startMouse.rightButton,startMouse_2.x,startMouse_2.y,startMouse_2.leftButton,startMouse_2.midButton,startMouse_2.rightButton,start_distance,fixedOri,minimalDistance,maxOri,this_ori,accuracy,presented_accuracy,submitMouse.x,submitMouse.y,submitMouse.leftButton,submitMouse.midButton,submitMouse.rightButton,submitMouse.time,submitMouse.clicked_name,block_accuracy,continueMouse.x,continueMouse.y,continueMouse.leftButton,continueMouse.midButton,continueMouse.rightButton,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,startOri,participant,condition,nTrials,date,expName,psychopyVersion,OS,frameRate,continueMouse.clicked_name,EndButtonMouse.x,EndButtonMouse.y,EndButtonMouse.leftButton,EndButtonMouse.midButton,EndButtonMouse.rightButton,EndButtonMouse.clicked_name
0.385772914,-0.394664843,1,0,0,consent_button1,0.381668947,-0.397400821,1,0,0,consent_button,0.496580027,-0.259233926,1,0,0,0.399452804,-0.331737346,1,0,0,43.88888889,41,20,75,9.888888889,31.11111111,24.88888889,0.445964432,-0.294801642,1,0,0,5.649,submitButton,24.88888889,-0.265389877,-0.423392613,0,0,0,0,0,0,25,1,41,67708,blockP,180,2022-02-21_11h53.29,orientation adjustment blockP,2021.2.3,MacIntel,50,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,-69.44444444,56,20,75,28.55555556,27.44444444,17.83888889,0.201094391,-0.292065663,1,0,0,0.198,submitButton,21.36388889,-0.229822161,-0.4124487,0,0,0,0,1,1,40,1,56,67708,blockP,180,2022-02-21_11h53.29,orientation adjustment blockP,2021.2.3,MacIntel,50,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,69.44444444,17,20,75,51.44444444,34.44444444,27.55555556,0.439124487,-0.296169631,1,0,0,1.496,submitButton,23.42777778,-0.214774282,-0.389192886,0,0,0,0,2,2,1,1,17,67708,blockP,180,2022-02-21_11h53.29,orientation adjustment blockP,2021.2.3,MacIntel,50,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,32.22222222,-32,20,75,-37.77777778,5.777777778,2.311111111,0.414500684,-0.289329685,1,0,0,0.112,submitButton,2.311111111,-0.184678523,-0.397400821,0,0,0,0,3,3,16,1,32,67708,blockP,180,2022-02-21_11h53.29,orientation adjustment blockP,2021.2.3,MacIntel,50,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,69.44444444,53,20,75,222.4444444,10.55555556,4.222222222,0.203830369,-0.298905609,1,0,0,1.256,submitButton,3.266666667,-0.198358413,-0.401504788,0,0,0,0,4,4,37,1,53,67708,blockP,180,2022-02-21_11h53.29,orientation adjustment blockP,2021.2.3,MacIntel,50,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,-48.88888889,34,20,75,34.11111111,0.111111111,0.044444444,-0.176470588,-0.413816689,1,0,0,1.146,submitButton,2.192592593,-0.176470588,-0.413816689,0,0,0,0,5,5,18,1,34,67708,blockP,180,2022-02-21_11h53.29,orientation adjustment blockP,2021.2.3,MacIntel,50,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,58.33333333,-75,20,75,-75.66666667,0.666666667,0.266666667,0.39124487,-0.301641587,1,0,0,0.638,submitButton,0.266666667,-0.20246238,-0.401504788,0,0,0,0,6,6,59,1,75,67708,blockP,180,2022-02-21_11h53.29,orientation adjustment blockP,2021.2.3,MacIntel,50,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,30,-60,20,75,-48,12,4.8,0.195622435,-0.298905609,1,0,0,0.738,submitButton,2.533333333,-0.186046512,-0.415184679,0,0,0,0,7,7,44,1,60,67708,blockP,180,2022-02-21_11h53.29,orientation adjustment blockP,2021.2.3,MacIntel,50,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,23.88888889,49,20,75,65.88888889,16.88888889,10.97777778,0.409028728,-0.292065663,1,0,0,0.114,submitButton,5.348148148,-0.195622435,-0.379616963,0,0,0,0,8,8,33,1,49,67708,blockP,180,2022-02-21_11h53.29,orientation adjustment blockP,2021.2.3,MacIntel,50,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,34.44444444,48,20,75,60.44444444,12.44444444,4.977777778,0.418604651,-0.309849521,1,0,0,0.269,submitButton,4.977777778,-0.254445964,-0.393296854,0,0,0,0,9,9,32,1,48,67708,blockP,180,2022-02-21_11h53.29,orientation adjustment blockP,2021.2.3,MacIntel,50,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,-51.11111111,39,20,75,37.88888889,1.111111111,0.444444444,0.229822161,-0.334473324,1,0,0,0.096,submitButton,2.711111111,-0.169630643,-0.391928865,0,0,0,0,10,10,23,1,39,67708,blockP,180,2022-02-21_11h53.29,orientation adjustment blockP,2021.2.3,MacIntel,50,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,57.22222222,44,20,75,49.22222222,5.222222222,2.088888889,0.436388509,-0.281121751,1,0,0,0.287,submitButton,2.503703704,-0.17373461,-0.372777018,0,0,0,0,11,11,28,1,44,67708,blockP,180,2022-02-21_11h53.29,orientation adjustment blockP,2021.2.3,MacIntel,50,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,-47.22222222,16,20,75,12.77777778,3.222222222,1.288888889,0.207934337,-0.312585499,1,0,0,0.557,submitButton,1.288888889,-0.149110807,-0.406976744,0,0,0,0,12,12,0,1,16,67708,blockP,180,2022-02-21_11h53.29,orientation adjustment blockP,2021.2.3,MacIntel,50,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,-61.11111111,68,20,75,54.88888889,13.11111111,5.244444444,-0.157318741,-0.413816689,1,0,0,0.805,submitButton,3.266666667,-0.157318741,-0.413816689,0,0,0,0,13,13,52,1,68,67708,blockP,180,2022-02-21_11h53.29,orientation adjustment blockP,2021.2.3,MacIntel,50,,,,,,,
