accuracy,accuracy,accuracy,accuracy,accuracy,accuracy,accuracy,accuracy,,,,,,,,,,average,logA,,,trial
67.77777778,3.333333333,36.11111111,24.77777778,44,41,14.88888889,70.44444444,,,,,,,,,,37.79166667,1.577396045,,,1
1.888888889,5.888888889,58.55555556,1.888888889,29.22222222,44,70.55555556,11.44444444,,,,,,,,,,27.93055556,1.446079574,,,2
14.77777778,9,22.66666667,2.444444444,5.888888889,7.888888889,21.55555556,36.44444444,,,,,,,,,,15.08333333,1.178497329,,,3
32.33333333,1.444444444,65,0.888888889,5.666666667,0.333333333,9.777777778,5.222222222,,,,,,,,,,15.08333333,1.178497329,,,4
15.88888889,15,41.77777778,19.22222222,62.22222222,3.555555556,5.111111111,27.22222222,,,,,,,,,,23.75,1.375663614,,,5
1.111111111,14.77777778,15.88888889,1.333333333,2.777777778,10.11111111,18.11111111,24.44444444,,,,,,,,,,11.06944444,1.044125825,,,6
1.555555556,29.44444444,3,20.66666667,7.333333333,7.888888889,5.444444444,11.33333333,,,,,,,,,,10.83333333,1.034762106,,,7
3.222222222,1.222222222,6,7.777777778,19,16.44444444,15.88888889,11.77777778,,,,,,,,,,10.16666667,1.007178585,,,8
12,12.33333333,2.666666667,14.11111111,4.555555556,31.66666667,0.222222222,1.444444444,,,,,,,,,,9.875,0.994537104,,,9
5.444444444,19.66666667,2.777777778,3.777777778,23.66666667,13.11111111,35.44444444,3.222222222,,,,,,,,,,13.38888889,1.126744537,,,10
11.77777778,64.44444444,8.222222222,4.555555556,0.444444444,0.666666667,3.333333333,1.111111111,,,,,,,,,,11.81944444,1.072597064,,,11
1.888888889,7.888888889,4.222222222,0.888888889,6.111111111,3.666666667,12.55555556,35.11111111,,,,,,,,,,9.041666667,0.956248492,,,12
9.555555556,11.77777778,1.555555556,11,1.444444444,1.222222222,80.11111111,0.444444444,,,,,,,,,,14.63888889,1.165508114,,,13
15.66666667,16.88888889,4.888888889,8.111111111,2.666666667,15,8,6.111111111,,,,,,,,,,9.666666667,0.985276743,,,14
5.111111111,15.22222222,3.555555556,4.333333333,20,6.555555556,16.77777778,13.44444444,,,,,,,,,,10.625,1.026328939,,,15
15.77777778,16.77777778,4.888888889,5.777777778,5,22.22222222,53,3,,,,,,,,,,15.80555556,1.198809766,,,16
0.888888889,9.666666667,12.33333333,13.44444444,13.44444444,0.333333333,9.444444444,1.666666667,,,,,,,,,,7.652777776,0.883819102,,,17
53.22222222,19.22222222,5.444444444,3.444444444,7.222222222,46.11111111,13.77777778,13.22222222,,,,,,,,,,20.20833333,1.305530497,,,18
12.22222222,2.333333333,11.77777778,15,6.888888889,4.888888889,5.777777778,0.222222222,,,,,,,,,,7.388888889,0.868579136,,,19
11.11111111,13.77777778,5.555555556,2.666666667,5.222222222,4.222222222,9.666666667,7.222222222,,,,,,,,,,7.430555556,0.871021286,,,20
16,6.111111111,17.66666667,7.555555556,3.555555556,2.111111111,15.77777778,10.55555556,,,,,,,,,,9.916666668,0.996365715,,,21
14.88888889,5.666666667,2.777777778,0.333333333,10.11111111,9,45.33333333,12.22222222,,,,,,,,,,12.54166667,1.098355254,,,22
12.55555556,5,12.55555556,19.22222222,2.333333333,9.333333333,3.111111111,6.888888889,,,,,,,,,,8.875000001,0.948168362,,,23
38.11111111,9.333333333,4.222222222,32.66666667,1.666666667,3.444444444,15.55555556,9.666666667,,,,,,,,,,14.33333333,1.156347201,,,24
1.555555556,15.33333333,7.666666667,0.333333333,14.44444444,4.222222222,0.555555556,2.444444444,,,,,,,,,,5.819444444,0.764881526,,,25
20,24,4.555555556,15.55555556,7.888888889,6.666666667,9.111111111,3,,,,,,,,,,11.34722222,1.05488956,,,26
5.333333333,16.77777778,8,11.55555556,1.777777778,4.888888889,1.777777778,9.111111111,,,,,,,,,,7.402777779,0.869394713,,,27
