consentMouse1.x,consentMouse1.y,consentMouse1.leftButton,consentMouse1.midButton,consentMouse1.rightButton,consentMouse1.clicked_name,consent_Mouse.x,consent_Mouse.y,consent_Mouse.leftButton,consent_Mouse.midButton,consent_Mouse.rightButton,consent_Mouse.clicked_name,startMouse.x,startMouse.y,startMouse.leftButton,startMouse.midButton,startMouse.rightButton,startMouse_2.x,startMouse_2.y,startMouse_2.leftButton,startMouse_2.midButton,startMouse_2.rightButton,start_distance,fixedOri,minimalDistance,maxOri,this_ori,accuracy,presented_accuracy,submitMouse.x,submitMouse.y,submitMouse.leftButton,submitMouse.midButton,submitMouse.rightButton,submitMouse.time,submitMouse.clicked_name,block_accuracy,continueMouse.x,continueMouse.y,continueMouse.leftButton,continueMouse.midButton,continueMouse.rightButton,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,startOri,participant,condition,nTrials,date,expName,psychopyVersion,OS,frameRate,continueMouse.clicked_name,EndButtonMouse.x,EndButtonMouse.y,EndButtonMouse.leftButton,EndButtonMouse.midButton,EndButtonMouse.rightButton,EndButtonMouse.clicked_name
0.352222222,-0.4,1,0,0,consent_button1,0.352222222,-0.4,1,0,0,consent_button,0.352222222,-0.4,1,0,0,0.233333333,-0.393333333,1,0,0,-43.88888889,21,20,75,27.11111111,6.111111111,2.444444444,0.19,-0.302222222,1,0,0,2.321,submitButton,2.444444444,-0.17,-0.378888889,0,0,0,0,0,0,5,1,21,68803,blockP,180,2022-02-15_11h49.47,orientation adjustment blockP,2021.2.3,MacIntel,58.82352941,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,53.33333333,-27,20,75,-20.66666667,6.333333333,2.533333333,-0.218888889,-0.368888889,1,0,0,0.869,submitButton,2.488888889,0.256666667,-0.303333333,0,0,0,0,1,1,11,1,27,68803,blockP,180,2022-02-15_11h49.47,orientation adjustment blockP,2021.2.3,MacIntel,58.82352941,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,-55.55555556,-73,20,75,-262.5555556,9.555555556,3.822222222,-0.254444444,-0.4,1,0,0,2.273,submitButton,2.933333333,0.126666667,-0.343333333,0,0,0,0,2,2,57,1,73,68803,blockP,180,2022-02-15_11h49.47,orientation adjustment blockP,2021.2.3,MacIntel,58.82352941,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,22.22222222,-50,20,75,-27.77777778,22.22222222,14.44444444,-0.281111111,-0.424444444,1,0,0,0.368,submitButton,14.44444444,0.018888889,-0.373333333,0,0,0,0,3,3,34,1,50,68803,blockP,180,2022-02-15_11h49.47,orientation adjustment blockP,2021.2.3,MacIntel,58.82352941,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,-34.44444444,-64,20,75,-222.4444444,21.55555556,14.01111111,-0.216666667,-0.387777778,1,0,0,2.339,submitButton,14.22777778,0.007777778,-0.312222222,0,0,0,0,4,4,48,1,64,68803,blockP,180,2022-02-15_11h49.47,orientation adjustment blockP,2021.2.3,MacIntel,58.82352941,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,38.33333333,42,20,75,213.3333333,8.666666667,3.466666667,0.176666667,-0.295555556,1,0,0,1.438,submitButton,10.64074074,0.174444444,-0.256666667,0,0,0,0,5,5,26,1,42,68803,blockP,180,2022-02-15_11h49.47,orientation adjustment blockP,2021.2.3,MacIntel,58.82352941,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,65,60,20,75,218,22,14.3,-0.103333333,-0.382222222,1,0,0,2.256,submitButton,14.3,0.001111111,-0.346666667,0,0,0,0,6,6,44,1,60,68803,blockP,180,2022-02-15_11h49.47,orientation adjustment blockP,2021.2.3,MacIntel,58.82352941,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,51.66666667,32,20,75,209.6666667,2.333333333,0.933333333,0.183333333,-0.291111111,1,0,0,1.721,submitButton,7.616666667,-0.228888889,-0.39,0,0,0,0,7,7,16,1,32,68803,blockP,180,2022-02-15_11h49.47,orientation adjustment blockP,2021.2.3,MacIntel,58.82352941,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,-20.55555556,-70,20,75,-80.55555556,10.55555556,4.222222222,0.156666667,-0.298888889,1,0,0,0.201,submitButton,6.485185185,0.175555556,-0.232222222,0,0,0,0,8,8,54,1,70,68803,blockP,180,2022-02-15_11h49.47,orientation adjustment blockP,2021.2.3,MacIntel,58.82352941,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,-27.22222222,57,20,75,24.77777778,32.22222222,25.77777778,0.358888889,-0.297777778,1,0,0,0.435,submitButton,25.77777778,0.094444444,-0.264444444,0,0,0,0,9,9,41,1,57,68803,blockP,180,2022-02-15_11h49.47,orientation adjustment blockP,2021.2.3,MacIntel,58.82352941,,,,,,,
