consentMouse1.x,consentMouse1.y,consentMouse1.leftButton,consentMouse1.midButton,consentMouse1.rightButton,consentMouse1.clicked_name,consent_Mouse.x,consent_Mouse.y,consent_Mouse.leftButton,consent_Mouse.midButton,consent_Mouse.rightButton,consent_Mouse.clicked_name,startMouse.x,startMouse.y,startMouse.leftButton,startMouse.midButton,startMouse.rightButton,startMouse_2.x,startMouse_2.y,startMouse_2.leftButton,startMouse_2.midButton,startMouse_2.rightButton,start_distance,fixedOri,minimalDistance,maxOri,this_ori,accuracy,presented_accuracy,submitMouse.x,submitMouse.y,submitMouse.leftButton,submitMouse.midButton,submitMouse.rightButton,submitMouse.time,submitMouse.clicked_name,block_accuracy,continueMouse.x,continueMouse.y,continueMouse.leftButton,continueMouse.midButton,continueMouse.rightButton,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,startOri,participant,condition,nTrials,date,expName,psychopyVersion,OS,frameRate,continueMouse.clicked_name,EndButtonMouse.x,EndButtonMouse.y,EndButtonMouse.leftButton,EndButtonMouse.midButton,EndButtonMouse.rightButton,EndButtonMouse.clicked_name
0.356770833,-0.40625,1,0,0,consent_button1,0.388020833,-0.39453125,1,0,0,consent_button,0.126302083,-0.270833333,1,0,0,0.126302083,-0.270833333,1,0,0,65,45,20,75,89,44,35.2,-0.341145833,-0.47265625,1,0,0,12.5387,submitButton,35.2,-0.203125,-0.390625,0,0,0,0,0,0,44,1,45,68986,blockP,180,2022-02-09_22h17.31.223,orientation adjustment blockP,2021.2.3,Win32,59.97361161,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,-42.22222222,88,20,75,-121.2222222,29.22222222,18.99444444,0.375,-0.319010417,1,0,0,8.7183,submitButton,27.09722222,-0.37109375,-0.40625,0,0,0,0,1,1,87,1,88,68986,blockP,180,2022-02-09_22h17.31.223,orientation adjustment blockP,2021.2.3,Win32,59.97361161,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,-51.11111111,-66,20,75,-60.11111111,5.888888889,2.355555556,0.40234375,-0.305989583,1,0,0,0.1971,submitButton,18.85,-0.244791667,-0.4140625,0,0,0,0,2,2,140,1,66,68986,blockP,180,2022-02-09_22h17.31.223,orientation adjustment blockP,2021.2.3,Win32,59.97361161,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,51.66666667,-29,20,75,-23.33333333,5.666666667,2.266666667,0.377604167,-0.30078125,1,0,0,0.7446,submitButton,2.266666667,-0.282552083,-0.407552083,0,0,0,0,3,3,103,1,29,68986,blockP,180,2022-02-09_22h17.31.223,orientation adjustment blockP,2021.2.3,Win32,59.97361161,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,22.22222222,48,20,75,110.2222222,62.22222222,52.88888889,0.174479167,-0.294270833,1,0,0,3.3014,submitButton,27.57777778,-0.200520833,-0.391927083,0,0,0,0,4,4,122,1,48,68986,blockP,180,2022-02-09_22h17.31.223,orientation adjustment blockP,2021.2.3,Win32,59.97361161,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,-22.77777778,54,20,75,51.22222222,2.777777778,1.111111111,0.419270833,-0.319010417,1,0,0,1.2731,submitButton,18.75555556,-0.194010417,-0.404947917,0,0,0,0,5,5,128,1,54,68986,blockP,180,2022-02-09_22h17.31.223,orientation adjustment blockP,2021.2.3,Win32,59.97361161,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,56.66666667,-24,20,75,148.6666667,7.333333333,2.933333333,0.197916667,-0.30078125,1,0,0,0.1495,submitButton,2.933333333,-0.225260417,-0.419270833,0,0,0,0,6,6,98,1,24,68986,blockP,180,2022-02-09_22h17.31.223,orientation adjustment blockP,2021.2.3,Win32,59.97361161,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,55,-38,20,75,-19,19,12.35,0.171875,-0.28515625,1,0,0,0.0333,submitButton,7.641666667,-0.295572917,-0.4140625,0,0,0,0,7,7,37,1,38,68986,blockP,180,2022-02-09_22h17.31.223,orientation adjustment blockP,2021.2.3,Win32,59.97361161,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,24.44444444,-82,20,75,-86.55555556,4.555555556,1.822222222,0.208333333,-0.3203125,1,0,0,0.1364,submitButton,5.701851852,-0.248697917,-0.404947917,0,0,0,0,8,8,81,1,82,68986,blockP,180,2022-02-09_22h17.31.223,orientation adjustment blockP,2021.2.3,Win32,59.97361161,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,-68.33333333,-49,20,75,-205.3333333,23.66666667,15.38333333,0.34765625,-0.309895833,1,0,0,0.4261,submitButton,15.38333333,-0.30859375,-0.397135417,0,0,0,0,9,9,48,1,49,68986,blockP,180,2022-02-09_22h17.31.223,orientation adjustment blockP,2021.2.3,Win32,59.97361161,,,,,,,
