0,accuracy,rate,logA,logR,,block
0,20.65925926,0.489932894,1.315114746,-0.309863401,,1
0,16.3952862,0.365901587,1.214719002,-0.436635707,,2
0,16.28282828,0.378886301,1.211729843,-0.421491097,,3
0,11.56161616,0.246416352,1.063018547,-0.608330476,,4
0,10.39057239,0.252457125,1.016639472,-0.597812368,,5
0,10.18383838,0.230570367,1.007911498,-0.637196509,,6
0,9.11043771,0.200130591,0.959539243,-0.698686522,,7
0,10.4949495,0.257833911,1.020980353,-0.588659964,,8
0,10.25858586,0.227379554,1.011087498,-0.64324859,,9
0,10.03030303,0.227555798,1.001314054,-0.642912094,,10
0,10.80740741,0.240123695,1.033721524,-0.619564982,,11
0,11.79057239,0.264805379,1.071534889,-0.577073197,,12
