"","distance_ 67042","distance_ 67243","distance_ 67708","distance_ 68851","distance_ 68926","distance_ 69016","distance_ 69100","distance_ 69139","distance_ 69169","distance_ 69241","distance_ 69247","distance_ 69637","distance_ 69670","distance_ 69739","distance_ 69745","distance_ 69859","distance_ 70552"
"1",35,32.77777778,43.88888889,54.44444444,41.11111111,33.88888889,51.11111111,47.22222222,59.44444444,70,30,43.33333333,50,23.88888889,73.88888889,53.88888889,33.33333333
"2",50,36.11111111,69.44444444,57.22222222,67.77777778,47.22222222,71.66666667,67.22222222,72.77777778,51.11111111,73.88888889,56.11111111,68.33333333,72.22222222,22.77777778,37.22222222,55.55555556
"3",43.33333333,38.88888889,69.44444444,49.44444444,72.77777778,52.22222222,23.88888889,40.55555556,22.77777778,26.66666667,22.22222222,57.77777778,47.77777778,45.55555556,31.66666667,59.44444444,31.11111111
"4",65,26.66666667,32.22222222,69.44444444,48.88888889,48.33333333,58.33333333,75,40.55555556,45,43.88888889,54.44444444,32.22222222,65.55555556,29.44444444,23.88888889,40.55555556
"5",72.77777778,48.88888889,69.44444444,21.66666667,71.66666667,65,31.66666667,63.33333333,57.22222222,53.33333333,62.22222222,65,68.88888889,58.88888889,65.55555556,59.44444444,25.55555556
"6",74.44444444,58.88888889,48.88888889,74.44444444,21.66666667,26.66666667,54.44444444,26.66666667,68.88888889,53.88888889,35.55555556,43.33333333,23.88888889,48.88888889,36.66666667,73.88888889,31.11111111
"7",41.11111111,61.66666667,58.33333333,33.33333333,66.11111111,50.55555556,70.55555556,58.33333333,40.55555556,32.77777778,66.66666667,30.55555556,38.88888889,73.33333333,37.22222222,53.88888889,32.22222222
"8",63.88888889,44.44444444,30,68.33333333,45.55555556,32.22222222,28.33333333,42.22222222,65,25.55555556,36.11111111,51.11111111,71.11111111,27.22222222,47.22222222,46.66666667,31.11111111
"9",26.66666667,38.88888889,23.88888889,20,27.22222222,62.77777778,44.44444444,38.33333333,49.44444444,48.88888889,66.11111111,67.77777778,39.44444444,65.55555556,41.11111111,29.44444444,59.44444444
"10",47.22222222,75,34.44444444,42.22222222,26.11111111,33.88888889,22.77777778,23.33333333,68.88888889,68.33333333,32.22222222,46.66666667,31.66666667,45.55555556,25.55555556,55,52.22222222
"11",51.11111111,70.55555556,51.11111111,47.77777778,50,47.77777778,40.55555556,70.55555556,35.55555556,37.22222222,32.77777778,45,70.55555556,53.33333333,49.44444444,41.11111111,32.22222222
