consentMouse1.x,consentMouse1.y,consentMouse1.leftButton,consentMouse1.midButton,consentMouse1.rightButton,consentMouse1.clicked_name,consent_Mouse.x,consent_Mouse.y,consent_Mouse.leftButton,consent_Mouse.midButton,consent_Mouse.rightButton,consent_Mouse.clicked_name,startMouse.x,startMouse.y,startMouse.leftButton,startMouse.midButton,startMouse.rightButton,startMouse_2.x,startMouse_2.y,startMouse_2.leftButton,startMouse_2.midButton,startMouse_2.rightButton,start_distance,fixedOri,minimalDistance,maxOri,this_ori,accuracy,presented_accuracy,submitMouse.x,submitMouse.y,submitMouse.leftButton,submitMouse.midButton,submitMouse.rightButton,submitMouse.time,submitMouse.clicked_name,block_accuracy,continueMouse.x,continueMouse.y,continueMouse.leftButton,continueMouse.midButton,continueMouse.rightButton,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,startOri,participant,condition,nTrials,date,expName,psychopyVersion,OS,frameRate,continueMouse.clicked_name,EndButtonMouse.x,EndButtonMouse.y,EndButtonMouse.leftButton,EndButtonMouse.midButton,EndButtonMouse.rightButton,EndButtonMouse.clicked_name
0.426666667,-0.403333333,1,0,0,consent_button1,0.422222222,-0.404444444,1,0,0,consent_button,0.395555556,-0.235555556,1,0,0,0.241111111,0.277777778,1,0,0,24.44444444,67,20,75,135.4444444,68.44444444,68.44444444,0.225555556,-0.305555556,1,0,0,3.383,submitButton,68.44444444,-0.233333333,-0.401111111,0,0,0,0,0,0,51,1,67,67120,blockT,180,2022-02-17_12h15.54,orientation adjustment block,2021.2.3,MacIntel,47.61904762,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,34.44444444,-58,20,75,-44.55555556,13.44444444,13.44444444,0.39,-0.29,1,0,0,0.401,submitButton,40.94444444,-0.221111111,-0.393333333,0,0,0,0,1,1,42,1,58,67120,blockT,180,2022-02-17_12h15.54,orientation adjustment block,2021.2.3,MacIntel,47.61904762,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,27.22222222,-32,20,75,-35.77777778,3.777777778,3.777777778,0.388888889,-0.305555556,1,0,0,0.183,submitButton,28.55555556,-0.184444444,-0.392222222,0,0,0,0,2,2,16,1,32,67120,blockT,180,2022-02-17_12h15.54,orientation adjustment block,2021.2.3,MacIntel,47.61904762,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,65.55555556,-19,20,75,148.5555556,12.44444444,12.44444444,0.233333333,-0.315555556,1,0,0,0.483,submitButton,12.44444444,-0.206666667,-0.396666667,0,0,0,0,3,3,3,1,19,67120,blockT,180,2022-02-17_12h15.54,orientation adjustment block,2021.2.3,MacIntel,47.61904762,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,42.77777778,46,20,75,45.77777778,0.222222222,0.222222222,0.378888889,-0.306666667,1,0,0,0.549,submitButton,6.333333333,-0.236666667,-0.384444444,0,0,0,0,4,4,30,1,46,67120,blockT,180,2022-02-17_12h15.54,orientation adjustment block,2021.2.3,MacIntel,47.61904762,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,-43.88888889,-51,20,75,23.11111111,74.11111111,74.11111111,0.192222222,-0.311111111,1,0,0,0.333,submitButton,28.92592593,-0.28,-0.412222222,0,0,0,0,5,5,35,1,51,67120,blockT,180,2022-02-17_12h15.54,orientation adjustment block,2021.2.3,MacIntel,47.61904762,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,-32.77777778,-64,20,75,-215.7777778,28.22222222,28.22222222,0.38,-0.301111111,1,0,0,0.15,submitButton,28.22222222,-0.186666667,-0.397777778,0,0,0,0,6,6,48,1,64,67120,blockT,180,2022-02-17_12h15.54,orientation adjustment block,2021.2.3,MacIntel,47.61904762,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,-37.22222222,-57,20,75,-251.2222222,14.22222222,14.22222222,0.411111111,-0.316666667,1,0,0,2.4,submitButton,21.22222222,-0.266666667,-0.394444444,0,0,0,0,7,7,41,1,57,67120,blockT,180,2022-02-17_12h15.54,orientation adjustment block,2021.2.3,MacIntel,47.61904762,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,-42.22222222,-34,20,75,-25.22222222,8.777777778,8.777777778,0.226666667,-0.323333333,1,0,0,0.983,submitButton,17.07407407,0.217777778,-0.323333333,0,0,0,0,8,8,18,1,34,67120,blockT,180,2022-02-17_12h15.54,orientation adjustment block,2021.2.3,MacIntel,47.61904762,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,-68.33333333,40,20,75,26.66666667,13.33333333,13.33333333,0.215555556,-0.308888889,1,0,0,1.05,submitButton,13.33333333,0.185555556,-0.254444444,0,0,0,0,9,9,24,1,40,67120,blockT,180,2022-02-17_12h15.54,orientation adjustment block,2021.2.3,MacIntel,47.61904762,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,35.55555556,-48,20,75,-48.44444444,0.444444444,0.444444444,0.42,-0.284444444,1,0,0,0.667,submitButton,6.888888889,-0.106666667,-0.383333333,0,0,0,0,10,10,32,1,48,67120,blockT,180,2022-02-17_12h15.54,orientation adjustment block,2021.2.3,MacIntel,47.61904762,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,28.88888889,-54,20,75,-68.11111111,14.11111111,14.11111111,0.397777778,-0.301111111,1,0,0,0.117,submitButton,9.296296296,0.287777778,-0.251111111,0,0,0,0,11,11,38,1,54,67120,blockT,180,2022-02-17_12h15.54,orientation adjustment block,2021.2.3,MacIntel,47.61904762,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,72.22222222,75,20,75,53.22222222,21.77777778,21.77777778,0.357777778,-0.313333333,1,0,0,0.267,submitButton,21.77777778,-0.232222222,-0.387777778,0,0,0,0,12,12,59,1,75,67120,blockT,180,2022-02-17_12h15.54,orientation adjustment block,2021.2.3,MacIntel,47.61904762,,,,,,,
