consentMouse1.x,consentMouse1.y,consentMouse1.leftButton,consentMouse1.midButton,consentMouse1.rightButton,consentMouse1.clicked_name,consent_Mouse.x,consent_Mouse.y,consent_Mouse.leftButton,consent_Mouse.midButton,consent_Mouse.rightButton,consent_Mouse.clicked_name,startMouse.x,startMouse.y,startMouse.leftButton,startMouse.midButton,startMouse.rightButton,startMouse_2.x,startMouse_2.y,startMouse_2.leftButton,startMouse_2.midButton,startMouse_2.rightButton,start_distance,fixedOri,minimalDistance,maxOri,this_ori,accuracy,presented_accuracy,submitMouse.x,submitMouse.y,submitMouse.leftButton,submitMouse.midButton,submitMouse.rightButton,submitMouse.time,submitMouse.clicked_name,block_accuracy,continueMouse.x,continueMouse.y,continueMouse.leftButton,continueMouse.midButton,continueMouse.rightButton,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,startOri,participant,condition,nTrials,date,expName,psychopyVersion,OS,frameRate,continueMouse.clicked_name,EndButtonMouse.x,EndButtonMouse.y,EndButtonMouse.leftButton,EndButtonMouse.midButton,EndButtonMouse.rightButton,EndButtonMouse.clicked_name
0.476851908,-0.397222222,1,0,0,consent_button1,0.450925954,-0.392592621,1,0,0,consent_button,0.643518575,-0.321296353,1,0,0,0.519444444,-0.322222222,1,0,0,-55.55555556,-23,20,75,-38.55555556,15.55555556,15.55555556,-0.2,-0.412963019,1,0,0,0.9983,submitButton,15.55555556,-0.201851824,-0.405555556,0,0,0,0,0,0,7,1,23,68977,blockT,180,2022-02-16_21h19.33.409,orientation adjustment block,2021.2.3,Win32,59.95922773,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,55,55,20,75,228,7,7,0.221296353,-0.314814843,1,0,0,0.4864,submitButton,11.27777778,-0.163888889,-0.418518575,0,0,0,0,1,1,39,1,55,68977,blockT,180,2022-02-16_21h19.33.409,orientation adjustment block,2021.2.3,Win32,59.95922773,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,40.55555556,-51,20,75,-64.44444444,13.44444444,13.44444444,-0.162036981,-0.427777778,1,0,0,0.784,submitButton,12,-0.153703647,-0.425,0,0,0,0,2,2,35,1,51,68977,blockT,180,2022-02-16_21h19.33.409,orientation adjustment block,2021.2.3,Win32,59.95922773,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,67.22222222,29,20,75,142.2222222,66.77777778,66.77777778,0.226851908,-0.309259288,1,0,0,0.6831,submitButton,66.77777778,-0.130555556,-0.416666667,0,0,0,0,3,3,13,1,29,68977,blockT,180,2022-02-16_21h19.33.409,orientation adjustment block,2021.2.3,Win32,59.95922773,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,73.33333333,65,20,75,235.3333333,9.666666667,9.666666667,0.204629686,-0.320370399,1,0,0,0.0321,submitButton,38.22222222,-0.14351849,-0.375,0,0,0,0,4,4,49,1,65,68977,blockT,180,2022-02-16_21h19.33.409,orientation adjustment block,2021.2.3,Win32,59.95922773,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,57.22222222,-18,20,75,-21.77777778,3.777777778,3.777777778,0.239814843,-0.291666667,1,0,0,0.1663,submitButton,26.74074074,-0.131481425,-0.403703732,0,0,0,0,5,5,2,1,18,68977,blockT,180,2022-02-16_21h19.33.409,orientation adjustment block,2021.2.3,Win32,59.95922773,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,-22.77777778,58,20,75,56.22222222,1.777777778,1.777777778,0.437963019,-0.314814843,1,0,0,0.5687,submitButton,1.777777778,-0.117592536,-0.4,0,0,0,0,6,6,42,1,58,68977,blockT,180,2022-02-16_21h19.33.409,orientation adjustment block,2021.2.3,Win32,59.95922773,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,-28.33333333,-56,20,75,-54.33333333,1.666666667,1.666666667,0.194444444,-0.323148176,1,0,0,0.0344,submitButton,1.722222222,-0.169444444,-0.407407464,0,0,0,0,7,7,40,1,56,68977,blockT,180,2022-02-16_21h19.33.409,orientation adjustment block,2021.2.3,Win32,59.95922773,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,-20,-71,20,75,-60,11,11,0.245370399,-0.336111111,1,0,0,0.518,submitButton,4.814814815,-0.125925869,-0.407407464,0,0,0,0,8,8,55,1,71,68977,blockT,180,2022-02-16_21h19.33.409,orientation adjustment block,2021.2.3,Win32,59.95922773,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,20.55555556,44,20,75,38.55555556,5.444444444,5.444444444,0.423148176,-0.287963019,1,0,0,0.0334,submitButton,5.444444444,-0.160185157,-0.402777778,0,0,0,0,9,9,28,1,44,68977,blockT,180,2022-02-16_21h19.33.409,orientation adjustment block,2021.2.3,Win32,59.95922773,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,34.44444444,50,20,75,33.44444444,16.55555556,16.55555556,0.402777778,-0.291666667,1,0,0,0.3329,submitButton,11,-0.17870369,-0.417592621,0,0,0,0,10,10,34,1,50,68977,blockT,180,2022-02-16_21h19.33.409,orientation adjustment block,2021.2.3,Win32,59.95922773,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,-42.77777778,21,20,75,33.22222222,12.22222222,12.22222222,0.237963019,-0.307407464,1,0,0,0.2333,submitButton,11.40740741,-0.556481467,-0.379629686,0,0,0,0,11,11,5,1,21,68977,blockT,180,2022-02-16_21h19.33.409,orientation adjustment block,2021.2.3,Win32,59.95922773,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,54.44444444,-40,20,75,-36.55555556,3.444444444,3.444444444,-0.284259245,-0.432407464,1,0,0,0.9553,submitButton,3.444444444,-0.213888889,-0.387037065,0,0,0,0,12,12,24,1,40,68977,blockT,180,2022-02-16_21h19.33.409,orientation adjustment block,2021.2.3,Win32,59.95922773,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,36.11111111,-72,20,75,-74.88888889,2.888888889,2.888888889,-0.179629601,-0.408333333,1,0,0,0.7989,submitButton,3.166666667,-0.186111111,-0.407407464,0,0,0,0,13,13,56,1,72,68977,blockT,180,2022-02-16_21h19.33.409,orientation adjustment block,2021.2.3,Win32,59.95922773,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,21.11111111,20,20,75,14.11111111,5.888888889,5.888888889,-0.167592536,-0.395370399,1,0,0,0.954,submitButton,4.074074074,0.392592621,-0.413888889,1,0,0,0,14,14,4,1,20,68977,blockT,180,2022-02-16_21h19.33.409,orientation adjustment block,2021.2.3,Win32,59.95922773,continueButton,,,,,,
,,,,,,,,,,,,,,,,,,,,,,-47.77777778,22,20,75,33.22222222,11.22222222,11.22222222,0.247222222,-0.303703732,1,0,0,0.2842,submitButton,11.22222222,-0.211111111,-0.40648151,0,0,0,0,15,15,6,1,22,68977,blockT,180,2022-02-16_21h19.33.409,orientation adjustment block,2021.2.3,Win32,59.95922773,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,-54.44444444,-19,20,75,-14.44444444,4.555555556,4.555555556,-0.198148134,-0.426851908,1,0,0,1.5507,submitButton,7.888888889,-0.198148134,-0.426851908,0,0,0,0,16,16,3,1,19,68977,blockT,180,2022-02-16_21h19.33.409,orientation adjustment block,2021.2.3,Win32,59.95922773,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,-64.44444444,-38,20,75,-13.44444444,24.55555556,24.55555556,-0.17870369,-0.423148176,1,0,0,1.5632,submitButton,13.44444444,-0.184259245,-0.412963019,0,0,0,0,17,17,22,1,38,68977,blockT,180,2022-02-16_21h19.33.409,orientation adjustment block,2021.2.3,Win32,59.95922773,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,27.22222222,-24,20,75,-34.77777778,10.77777778,10.77777778,-0.162036981,-0.380555556,1,0,0,0.8672,submitButton,12.77777778,-0.167592536,-0.377777778,0,0,0,0,18,18,8,1,24,68977,blockT,180,2022-02-16_21h19.33.409,orientation adjustment block,2021.2.3,Win32,59.95922773,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,-37.22222222,54,20,75,54.77777778,0.777777778,0.777777778,-0.16851849,-0.423148176,1,0,0,0.4964,submitButton,10.37777778,-0.167592536,-0.429629686,0,0,0,0,19,19,38,1,54,68977,blockT,180,2022-02-16_21h19.33.409,orientation adjustment block,2021.2.3,Win32,59.95922773,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,-40,-67,20,75,-240,7,7,0.395370399,-0.305555556,1,0,0,2.0188,submitButton,9.814814815,-0.167592536,-0.422222222,0,0,0,0,20,20,51,1,67,68977,blockT,180,2022-02-16_21h19.33.409,orientation adjustment block,2021.2.3,Win32,59.95922773,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,-33.88888889,-48,20,75,-43.88888889,4.111111111,4.111111111,0.209259288,-0.307407464,1,0,0,0.29,submitButton,9,-0.192592578,-0.400925954,0,0,0,0,21,21,32,1,48,68977,blockT,180,2022-02-16_21h19.33.409,orientation adjustment block,2021.2.3,Win32,59.95922773,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,-28.88888889,-28,20,75,-29.88888889,1.888888889,1.888888889,0.250925954,-0.283333333,1,0,0,0.3026,submitButton,8.111111111,-0.132407379,-0.387963019,0,0,0,0,22,22,12,1,28,68977,blockT,180,2022-02-16_21h19.33.409,orientation adjustment block,2021.2.3,Win32,59.95922773,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,22.77777778,-73,20,75,-77.22222222,4.222222222,4.222222222,-0.157407379,-0.401851908,1,0,0,0.8336,submitButton,7.679012346,-0.155555556,-0.401851908,0,0,0,0,23,23,57,1,73,68977,blockT,180,2022-02-16_21h19.33.409,orientation adjustment block,2021.2.3,Win32,59.95922773,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,-24.44444444,-53,20,75,-57.44444444,4.444444444,4.444444444,-0.150925869,-0.416666667,1,0,0,0.4602,submitButton,7.355555556,-0.150925869,-0.416666667,0,0,0,0,24,24,37,1,53,68977,blockT,180,2022-02-16_21h19.33.409,orientation adjustment block,2021.2.3,Win32,59.95922773,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,-57.22222222,61,20,75,43.77777778,17.22222222,17.22222222,0.187037065,-0.301851908,1,0,0,0.0384,submitButton,8.252525253,-0.120370314,-0.394444444,0,0,0,0,25,25,45,1,61,68977,blockT,180,2022-02-16_21h19.33.409,orientation adjustment block,2021.2.3,Win32,59.95922773,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,64.44444444,-74,20,75,-64.55555556,9.444444444,9.444444444,-0.159259203,-0.445370399,1,0,0,1.0507,submitButton,8.351851852,-0.106481425,-0.425,0,0,0,0,26,26,58,1,74,68977,blockT,180,2022-02-16_21h19.33.409,orientation adjustment block,2021.2.3,Win32,59.95922773,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,-36.11111111,59,20,75,40.88888889,18.11111111,18.11111111,0.433333333,-0.278703732,1,0,0,1.1154,submitButton,9.102564103,-0.122222222,-0.411111111,0,0,0,0,27,27,43,1,59,68977,blockT,180,2022-02-16_21h19.33.409,orientation adjustment block,2021.2.3,Win32,59.95922773,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,-59.44444444,36,20,75,26.55555556,9.444444444,9.444444444,-0.120370314,-0.430555556,1,0,0,0.9839,submitButton,9.126984127,-0.157407379,-0.400925954,0,0,0,0,28,28,20,1,36,68977,blockT,180,2022-02-16_21h19.33.409,orientation adjustment block,2021.2.3,Win32,59.95922773,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,25.55555556,-17,20,75,-32.44444444,15.44444444,15.44444444,0.187963019,-0.297222222,1,0,0,0.8515,submitButton,9.548148148,0.358333333,-0.409259288,1,0,0,0,29,29,1,1,17,68977,blockT,180,2022-02-16_21h19.33.409,orientation adjustment block,2021.2.3,Win32,59.95922773,continueButton,,,,,,
,,,,,,,,,,,,,,,,,,,,,,-73.88888889,46,20,75,40.11111111,5.888888889,5.888888889,0.185185242,-0.286111111,1,0,0,1.3498,submitButton,9.319444444,-0.175,-0.410185242,0,0,0,0,30,30,30,1,46,68977,blockT,180,2022-02-16_21h19.33.409,orientation adjustment block,2021.2.3,Win32,59.95922773,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,-68.33333333,30,20,75,36.66666667,6.666666667,6.666666667,-0.147222222,-0.448148176,1,0,0,1.1122,submitButton,9.163398693,-0.157407379,-0.402777778,0,0,0,0,31,31,14,1,30,68977,blockT,180,2022-02-16_21h19.33.409,orientation adjustment block,2021.2.3,Win32,59.95922773,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,43.88888889,70,20,75,230.8888889,19.11111111,19.11111111,-0.17870369,-0.408333333,1,0,0,1.8846,submitButton,9.716049383,-0.16851849,-0.405555556,0,0,0,0,32,32,54,1,70,68977,blockT,180,2022-02-16_21h19.33.409,orientation adjustment block,2021.2.3,Win32,59.95922773,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,-37.77777778,37,20,75,49.22222222,12.22222222,12.22222222,-0.162962935,-0.412963019,1,0,0,1.0834,submitButton,9.847953216,-0.151851824,-0.411111111,0,0,0,0,33,33,21,1,37,68977,blockT,180,2022-02-16_21h19.33.409,orientation adjustment block,2021.2.3,Win32,59.95922773,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,-27.77777778,57,20,75,51.22222222,5.777777778,5.777777778,0.203703732,-0.282407464,1,0,0,0.3906,submitButton,9.644444444,-0.134259203,-0.416666667,0,0,0,0,34,34,41,1,57,68977,blockT,180,2022-02-16_21h19.33.409,orientation adjustment block,2021.2.3,Win32,59.95922773,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,45,-62,20,75,-57,5,5,-0.144444444,-0.412037065,1,0,0,0.5621,submitButton,9.423280423,-0.142592536,-0.413888889,0,0,0,0,35,35,46,1,62,68977,blockT,180,2022-02-16_21h19.33.409,orientation adjustment block,2021.2.3,Win32,59.95922773,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,30.55555556,52,20,75,248.5555556,16.55555556,16.55555556,0.195370399,-0.289814843,1,0,0,0.0679,submitButton,9.747474747,-0.154629601,-0.398148176,0,0,0,0,36,36,36,1,52,68977,blockT,180,2022-02-16_21h19.33.409,orientation adjustment block,2021.2.3,Win32,59.95922773,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,-23.33333333,33,20,75,41.66666667,8.666666667,8.666666667,-0.201851824,-0.423148176,1,0,0,0.7335,submitButton,9.700483092,-0.199074046,-0.423148176,0,0,0,0,37,37,17,1,33,68977,blockT,180,2022-02-16_21h19.33.409,orientation adjustment block,2021.2.3,Win32,59.95922773,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,21.11111111,63,20,75,57.11111111,5.888888889,5.888888889,0.437963019,-0.304629686,1,0,0,0.0497,submitButton,9.541666667,-0.131481425,-0.4,0,0,0,0,38,38,47,1,63,68977,blockT,180,2022-02-16_21h19.33.409,orientation adjustment block,2021.2.3,Win32,59.95922773,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,-42.77777778,-16,20,75,-12.77777778,3.222222222,3.222222222,-0.205555556,-0.433333333,1,0,0,1.1279,submitButton,9.288888889,-0.182407379,-0.402777778,0,0,0,0,39,39,0,1,16,68977,blockT,180,2022-02-16_21h19.33.409,orientation adjustment block,2021.2.3,Win32,59.95922773,,,,,,,
