consentMouse1.x,consentMouse1.y,consentMouse1.leftButton,consentMouse1.midButton,consentMouse1.rightButton,consentMouse1.clicked_name,consent_Mouse.x,consent_Mouse.y,consent_Mouse.leftButton,consent_Mouse.midButton,consent_Mouse.rightButton,consent_Mouse.clicked_name,startMouse.x,startMouse.y,startMouse.leftButton,startMouse.midButton,startMouse.rightButton,startMouse_2.x,startMouse_2.y,startMouse_2.leftButton,startMouse_2.midButton,startMouse_2.rightButton,start_distance,fixedOri,minimalDistance,maxOri,this_ori,accuracy,presented_accuracy,submitMouse.x,submitMouse.y,submitMouse.leftButton,submitMouse.midButton,submitMouse.rightButton,submitMouse.time,submitMouse.clicked_name,block_accuracy,continueMouse.x,continueMouse.y,continueMouse.leftButton,continueMouse.midButton,continueMouse.rightButton,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,startOri,participant,condition,nTrials,date,expName,psychopyVersion,OS,frameRate,continueMouse.clicked_name,EndButtonMouse.x,EndButtonMouse.y,EndButtonMouse.leftButton,EndButtonMouse.midButton,EndButtonMouse.rightButton,EndButtonMouse.clicked_name
0.372222222,-0.397222222,1,0,0,consent_button1,0.413888889,-0.400925926,1,0,0,consent_button,-0.074074074,-0.005555556,1,0,0,-0.077777778,-0.243518519,1,0,0,-41.66666667,-31,20,75,-91.66666667,60.66666667,60.66666667,0.365740741,-0.3,1,0,0,0.9171,submitButton,60.66666667,-0.428703704,-0.375925926,0,0,0,0,0,0,105,1,31,67285,blockT,180,2022-02-10_11h08.02.893,orientation adjustment block,2021.2.3,Win32,162.8664495,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,51.66666667,-3,20,75,-20.33333333,17.33333333,17.33333333,0.453703704,-0.309259259,1,0,0,0.2284,submitButton,39,-0.028703704,-0.230555556,0,0,0,0,1,1,2,1,3,67285,blockT,180,2022-02-10_11h08.02.893,orientation adjustment block,2021.2.3,Win32,162.8664495,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,38.33333333,68,20,75,230.3333333,17.66666667,17.66666667,0.215740741,-0.314814815,1,0,0,1.6683,submitButton,31.88888889,0.14537037,-0.116666667,0,0,0,0,2,2,67,1,68,67285,blockT,180,2022-02-10_11h08.02.893,orientation adjustment block,2021.2.3,Win32,162.8664495,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,-66.66666667,-15,20,75,-26.66666667,11.66666667,11.66666667,0.274074074,-0.315740741,1,0,0,0.0336,submitButton,11.66666667,-0.083333333,-0.312037037,0,0,0,0,3,3,14,1,15,67285,blockT,180,2022-02-10_11h08.02.893,orientation adjustment block,2021.2.3,Win32,162.8664495,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,63.33333333,40,20,75,214.3333333,5.666666667,5.666666667,-0.215740741,-0.418518519,1,0,0,2.3855,submitButton,8.666666667,0.006481481,-0.224074074,0,0,0,0,4,4,114,1,40,67285,blockT,180,2022-02-10_11h08.02.893,orientation adjustment block,2021.2.3,Win32,162.8664495,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,31.11111111,-79,20,75,-74.88888889,4.111111111,4.111111111,0.200925926,-0.308333333,1,0,0,0.3004,submitButton,7.148148148,0.167592593,-0.196296296,0,0,0,0,5,5,78,1,79,67285,blockT,180,2022-02-10_11h08.02.893,orientation adjustment block,2021.2.3,Win32,162.8664495,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,-58.88888889,10,20,75,16.11111111,6.111111111,6.111111111,0.251851852,-0.325925926,1,0,0,0.7675,submitButton,6.111111111,0.371296296,-0.255555556,0,0,0,0,6,6,9,1,10,67285,blockT,180,2022-02-10_11h08.02.893,orientation adjustment block,2021.2.3,Win32,162.8664495,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,-48.88888889,64,20,75,59.11111111,4.888888889,4.888888889,0.186111111,-0.289814815,1,0,0,0.5507,submitButton,5.5,0.211111111,-0.107407407,0,0,0,0,7,7,63,1,64,67285,blockT,180,2022-02-10_11h08.02.893,orientation adjustment block,2021.2.3,Win32,162.8664495,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,39.44444444,52,20,75,240.4444444,8.444444444,8.444444444,0.172222222,-0.309259259,1,0,0,3.1866,submitButton,6.481481481,-0.038888889,-0.094444444,0,0,0,0,8,8,51,1,52,67285,blockT,180,2022-02-10_11h08.02.893,orientation adjustment block,2021.2.3,Win32,162.8664495,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,63.88888889,-74,20,75,-79.11111111,5.111111111,5.111111111,0.410185185,-0.289814815,1,0,0,1.6351,submitButton,5.111111111,-0.064814815,-0.014814815,0,0,0,0,9,9,148,1,74,67285,blockT,180,2022-02-10_11h08.02.893,orientation adjustment block,2021.2.3,Win32,162.8664495,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,22.77777778,-50,20,75,-53.22222222,3.222222222,3.222222222,-0.310185185,-0.361111111,1,0,0,0.7176,submitButton,4.166666667,-0.194444444,-0.200925926,0,0,0,0,10,10,124,1,50,67285,blockT,180,2022-02-10_11h08.02.893,orientation adjustment block,2021.2.3,Win32,162.8664495,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,-32.22222222,26,20,75,25.77777778,0.222222222,0.222222222,-0.336111111,-0.375925926,1,0,0,0.6676,submitButton,2.851851852,-0.144444444,-0.053703704,0,0,0,0,11,11,25,1,26,67285,blockT,180,2022-02-10_11h08.02.893,orientation adjustment block,2021.2.3,Win32,162.8664495,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,-37.77777778,88,20,75,98.22222222,10.22222222,10.22222222,0.185185185,-0.30462963,1,0,0,0.05,submitButton,10.22222222,-0.158333333,-0.197222222,0,0,0,0,12,12,87,1,88,67285,blockT,180,2022-02-10_11h08.02.893,orientation adjustment block,2021.2.3,Win32,162.8664495,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,75,6,20,75,188,2,2,-0.285185185,-0.406481481,1,0,0,2.4857,submitButton,6.111111111,-0.285185185,-0.4,0,0,0,0,13,13,5,1,6,67285,blockT,180,2022-02-10_11h08.02.893,orientation adjustment block,2021.2.3,Win32,162.8664495,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,66.11111111,76,20,75,64.11111111,11.88888889,11.88888889,-0.362962963,-0.374074074,1,0,0,1.1511,submitButton,8.037037037,0.251851852,-0.410185185,1,0,0,0,14,14,75,1,76,67285,blockT,180,2022-02-10_11h08.02.893,orientation adjustment block,2021.2.3,Win32,162.8664495,continueButton,,,,,,
,,,,,,,,,,,,,,,,,,,,,,29.44444444,-44,20,75,-27.55555556,16.44444444,16.44444444,-0.222222222,-0.428703704,1,0,0,0.4504,submitButton,16.44444444,0.337962963,-0.242592593,0,0,0,0,15,15,43,1,44,67285,blockT,180,2022-02-10_11h08.02.893,orientation adjustment block,2021.2.3,Win32,162.8664495,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,37.77777778,51,20,75,241.7777778,10.77777778,10.77777778,0.250925926,-0.296296296,1,0,0,2.3524,submitButton,13.61111111,0.064814815,-0.357407407,0,0,0,0,16,16,50,1,51,67285,blockT,180,2022-02-10_11h08.02.893,orientation adjustment block,2021.2.3,Win32,162.8664495,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,25,28,20,75,24,4,4,0.391666667,-0.316666667,1,0,0,0.1504,submitButton,10.40740741,-0.150925926,-0.280555556,0,0,0,0,17,17,102,1,28,67285,blockT,180,2022-02-10_11h08.02.893,orientation adjustment block,2021.2.3,Win32,162.8664495,,,,,,,
