0,accuracy,rate,logA,logR,,block
0,16.77469136,0.384228089,1.224654538,-0.415410889,,1
0,15.76975309,0.36505369,1.197824894,-0.437643257,,2
0,15.09506173,0.340244123,1.178834893,-0.468209368,,3
0,15.12592593,0.357353828,1.179721969,-0.446901561,,4
0,16.77160494,0.407323061,1.224574624,-0.390061001,,5
0,15.69074074,0.384214252,1.195643447,-0.41542653,,6
0,16.77098765,0.375641091,1.224558639,-0.425226907,,7
0,16.88024691,0.358668792,1.227378795,-0.44530641,,8
0,15.77654321,0.3424248,1.198011851,-0.465434789,,9
0,15.52839506,0.352504438,1.191126571,-0.452835411,,10
0,15.6882716,0.3709605,1.195575099,-0.430672332,,11
0,16.25740741,0.363970264,1.211051289,-0.438934096,,12
