accuracy,accuracy,accuracy,accuracy,accuracy,accuracy,,,,,,,,,,average,logA,trial
18.44444444,55.11111111,5.555555556,60.66666667,59.44444444,29.11111111,,,,,,,,,,38.05555555,1.580418066,1
79.55555556,3,22.66666667,17.33333333,15.66666667,14.88888889,,,,,,,,,,25.51851852,1.406855458,2
23.44444444,1.555555556,7.333333333,17.66666667,22,4.555555556,,,,,,,,,,12.75925926,1.105825462,3
40.11111111,8.666666667,5.444444444,11.66666667,12.22222222,16.66666667,,,,,,,,,,15.7962963,1.198555271,4
0.444444444,1.444444444,3.555555556,5.666666667,13.11111111,5,,,,,,,,,,4.87037037,0.687561989,5
0.888888889,0.444444444,8.666666667,4.111111111,5.222222222,3.333333333,,,,,,,,,,3.777777778,0.577236408,6
10,10.11111111,13.55555556,6.111111111,7,1.555555556,,,,,,,,,,8.055555556,0.906095497,7
3.666666667,12.77777778,2.444444444,4.888888889,0.222222222,7.222222222,,,,,,,,,,5.203703704,0.71631256,8
14.11111111,1.777777778,3.666666667,8.444444444,5.222222222,4,,,,,,,,,,6.203703704,0.792651047,9
4.444444444,5.666666667,3,5.111111111,5.333333333,7.222222222,,,,,,,,,,5.12962963,0.710086009,10
8.333333333,5.333333333,3,3.222222222,1.333333333,9.333333333,,,,,,,,,,5.092592592,0.706938934,11
5.222222222,2.444444444,0.444444444,0.222222222,11.44444444,6.555555556,,,,,,,,,,4.388888888,0.642354586,12
11.55555556,6.222222222,7.777777778,10.22222222,21.44444444,1.888888889,,,,,,,,,,9.851851852,0.993517872,13
2.888888889,4.333333333,12.88888889,2,11,10.22222222,,,,,,,,,,7.222222222,0.858670847,14
0.555555556,7.777777778,2.444444444,11.88888889,1.666666667,5,,,,,,,,,,4.888888889,0.689210167,15
5.888888889,0.222222222,10.11111111,16.44444444,4.777777778,12.77777778,,,,,,,,,,8.37037037,0.922744675,16
1.111111111,0.222222222,1,10.77777778,6.222222222,4.222222222,,,,,,,,,,3.925925926,0.593942101,17
2.666666667,8.555555556,10.22222222,4,4.111111111,9.666666667,,,,,,,,,,6.537037037,0.815380946,18
25,2.222222222,15.44444444,9.555555556,3.888888889,12.33333333,,,,,,,,,,11.40740741,1.057186952,19
18.11111111,8,8.333333333,2,2.888888889,13,,,,,,,,,,8.722222222,0.940627147,20
9,4.333333333,0.111111111,9.777777778,7.222222222,11.33333333,,,,,,,,,,6.962962962,0.842794085,21
3.666666667,4.111111111,0.222222222,2.222222222,8.333333333,14.11111111,,,,,,,,,,5.444444444,0.735953571,22
3.888888889,1,5.666666667,4.888888889,12.88888889,20.55555556,,,,,,,,,,8.148148149,0.911058917,23
1.555555556,6.333333333,5.333333333,3.222222222,16.55555556,9.666666667,,,,,,,,,,7.111111112,0.851937465,24
