"","lp","lp.1","lp.2","lp.3","lp.4","lp.5","lp.6","lp.7","lp.8","lp.9","lp.10","lp.11","lp.12","lp.13","lp.14","lp.15","lp.16","lp.17"
"1",0.139240506,1,1.293478261,0.714285714,2.333333333,0.569230769,1.241237113,1.396610169,0.968224299,0.35037594,0.62,0.576470588,0.970491803,0.8,0.708860759,1.145945946,0.56,0.162790698
"2",0.11875,0.52038835,0.246511628,1.37173913,0.854135338,1.405940594,1.417910448,1.132307692,0.016793893,0.12195122,0.1,0.152066116,0.449411765,1.44,0.3952,0.150819672,0.546341463,0.169230769
"3",0.172,0.051685393,0.413953488,1,0.64,0.332692308,0.312149533,0.157142857,0.009756098,0.336842105,0.325,0.15890411,0.187234043,1.330769231,0.496,0.175572519,0.1,0.385365854
"4",1,0.1504,0.142857143,0.133333333,1.597468354,0.157142857,0.748837209,0.425,0.334246575,0.116981132,0.331506849,0.08,0.117241379,0.369230769,0.179310345,0.222727273,0.286206897,0.327118644
"5",0.625806452,1,0.178947368,0.0875,0.935714286,0.030769231,0.562616822,0.104545455,0.073786408,0.342372881,0.491304348,0.010526316,0.107692308,0.079389313,0.152,0.176744186,0.172580645,0.116981132
"6",0.226086957,0.020895522,0.044897959,0.503092783,1.165625,0.107692308,0.160902256,0.850943396,0.059677419,0.309090909,0.903571429,0.0625,0.3875,0.101492537,0.002272727,0.061538462,0.130232558,0.018181818
"7",0.338461538,0.46,0.248818898,0.06779661,0.905,0.214545455,1.542268041,0.286486487,0.038356164,0.032835821,0.148275862,0.097142857,0.008791209,0.143243243,0.011428571,0.28907563,0.157142857,0.022727273
"8",0.04516129,0.463414634,0.188235294,0.569565217,0.495384615,0.036956522,1.55,0.19,0.215384615,0.503529412,0.060714286,0.1,0.068965517,0.299130435,0.4,0.165853659,0.04375,0.155102041
"9",0.513513514,0.45,0.235,0.084090909,0.542857143,0.372131147,1,0.202857143,0.191011236,0.318918919,0.175700935,0.008695652,0.267256637,0.325,0.706976744,0.081632653,0.318309859,0.130508475
"10",1.183673469,0.668421053,0.429268293,0.287804878,0.924137931,0.157142857,0.036363636,0.2,0.201612903,2.8,0.080851064,0.485714286,0.055737705,0.068235294,0.361290322,0.272340426,0.084210526,0.119512195
"11",0.272340426,0.393023256,0.112328767,0.262686567,1.854237288,0.088888889,1.7,0.305511811,0.40625,0.435955056,0.503448276,0.036220472,0.141860465,0.139130435,0.02173913,0.08,0.121259843,0.2125
"12",0.322077922,0.193023256,0.249253731,0.233333333,0.685,0.051485149,1.571428571,0.247761194,0.605405405,0.063636364,0.069811321,0.1,0.134782609,0.133333333,0.091262136,0.265625,1.075,0.038461538
"13",0.097142857,0.361818182,0.113636364,0.128358209,1.827027027,0.119565217,1.124590164,0.24,0.5,0.1390625,0.56,0.158064516,0.256521739,0.1,0.068235294,0.074285714,0.1,0.210344828
"14",0.296875,0.01,0.119685039,0.029411765,0.3390625,0.098947368,1.356363636,0.277419355,0.242,3.4,0.35890411,0.01509434,0.179746835,0.737931035,0.214545455,0.35,0.086486486,0.113157895
"15",0.155223881,0.038461538,0.532,0.070689655,0.934545455,0.146902655,0.25,0.416216216,0.162376238,0.169072165,0.342857143,0.169230769,0.857142857,0.153125,0.338235294,0.12195122,0.152,0.030769231
"16",0.447826087,0.268181818,0.497674419,0.075675676,0.361538462,0.402325581,1.17173913,0.055769231,0.212244898,0.493333333,0.405660377,0.048695652,0.181818182,0.205882353,0.025806452,0.195744681,0.232307692,0.086206897
"17",1.654545454,0.228571429,0.064,0.542857143,0.845762712,0.134,0.396551724,0.046511628,0.171428571,0.255172414,0.065,0.036619718,0.045217391,0.12,0.106666667,0.037209302,0.040366972,0.175700935
"18",0.290909091,0.6,0.228571429,0.297560976,1.2,0.2,0.35,0.322580645,0.028571429,0.379220779,0.019277108,0.022857143,0.033057851,0.672727273,0.276923077,0.283185841,0.111764706,0.395
"19",0.37,0.206299213,0.284090909,0.448780488,0.657142857,0.060273973,0.492682927,0.04375,0.04375,0.85,0.08,0.05,0.133333333,0.341176471,0.565217391,0.316,0.117894737,0.243478261
"20",0.454545455,0.505172414,0.185714286,0.194029851,1.063793104,0.01369863,2.756521738,0.377443609,0.147368421,0.254545455,0.5875,0.421052632,0.166315789,0.114285714,0.65,0.113157895,0.191176471,0.136585366
"21",0.394545455,0.295652174,0.109090909,0.028571429,0.78317757,0.174311927,0.9872,0.331428571,0.008791209,0.246153846,0.133333333,1.459183674,0.13258427,0.75,0.108571429,0.13253012,0.0578125,0.2
"22",0.446153846,0.283333333,0.185714286,0.070491803,1.367391304,0.656,1,0.28,0.115492958,1.61509434,0.409160305,0.005194805,0.018181818,0.485714286,1,0.003846154,0.164705882,0.273170732
"23",0.026530612,0.220895522,0.189285714,0.090909091,1.208,0.189830508,0.281355932,0.304545455,0.120930233,0.243478261,0.181818182,0.008695652,1,0.07394958,0.142857143,0.433707865,0.06746988,0.396551724
"24",0.210344828,0.208,0.304545455,0.0512,0.473846154,0.169230769,1.7,0.770212766,0.44,0.099236641,0.416393443,0.1,0.457142857,1.252,0.589473684,0.285714286,0.117894737,0.135064935
"25",0.285714286,0.087323944,0.136842105,0.059090909,0.972519084,0.085950413,0.425,0.335483871,0.03125,0.147368421,0.222222222,0.144262295,0.169230769,0.044444444,0.305714286,0.455813954,0.075675676,0.173913043
"26",0.058823529,0.134351145,0.181679389,0.111111111,0.633333333,0.064788732,0.1375,0.075675676,0.046268657,0.872,0.135433071,0.085714286,0.276744186,0.1,0.131034483,0.244117647,0.116666667,0.68
"27",0.268181818,0.081632653,0.505494506,0.003076923,0.656818182,0.1952,1.34,0.460655738,0.035714286,0.264864865,0.115492958,0.075,2.24,0.094117647,0.32,0.703571429,0.14,0.890909091
"28",0.161290323,0.192125984,0.272340426,0.05631068,1.732142857,0.05,0.378723404,0.685106383,0.18630137,0.218421053,0.2,0.148387097,0.048275862,0.090909091,0.221621622,0.038834951,0.328571428,0.074193548
"29",0.1,0.053608247,0.082352941,0.119327731,0.59787234,0.07027027,0.242857143,0.153731343,0.134615385,0.496,0.072340426,0.167567568,0.464285714,0.045454545,0.009090909,0.2,0.371428571,0.8
"30",0.44,0.191836735,0.16,0.266666667,1.24,0.250847458,0.064788732,0.182089552,0.122772277,1.034951456,0.385365854,0.03539823,0.151428571,0.013592233,0.155102041,0.436521739,0.414285714,0.1
"31",0.263157895,0.666666667,0.26,0.164948454,0.878991597,0.4,0.153846154,0.424,0.016806723,1.333333333,0.36,0.390909091,0.712195122,0.045783133,0.266666667,0.074285714,0.228571429,0.077272727
"32",0.355223881,0.234042553,0.150561798,0.082706767,0.585074627,0.138028169,0.044444444,0.064935065,0.045945946,0.152,0.0546875,0.118918919,0.169230769,0.121311475,0.107563025,0.656,0.524528302,0.056521739
"33",0.678571429,0.037931034,0.1,0.141935484,1.52,0.120610687,2.76,0.003076923,0.1,0.443636364,0.242857143,0.205357143,0.2,0.2,0.473846154,0.1088,0.133333333,0.066666667
"34",0.294117647,0.541818182,0.254545455,0.008988764,1,0.049438202,4.115789474,0.195419847,0.048543689,0.213953488,0.073076923,0.115254237,0.161290323,0.633333333,0.119565217,1.24,0.169230769,0.196694215
"35",1,0.020895522,0.168067227,0.03943662,2.446428571,0.059677419,1.534653465,0.057142857,0.336842105,0.365714286,0.342307692,0.073076923,0.111111111,0.24516129,0.084745763,0.28,0.028318584,0.062295082
"36",0.126717557,0.172972973,0.098305085,0.218045113,0.379831933,0.397647059,0.285714286,0.024390244,0.185714286,0.054545455,0.007874016,0.128125,0.661538461,0.061702128,2.102040816,0.956521739,0.239655172,0.050393701
"37",0.34,0.385882353,0.041935484,0.040963855,1.1,0.07804878,0.238709677,0.475590551,0.015037594,0.158415842,0.089411765,0.158415842,0.4,1,1.283333333,0.125,0.050909091,0.106666667
"38",0.496774194,0.1,0.041121495,0.118367347,0.56626506,0.139130435,3.585714286,0.140458015,0.359322034,0.236521739,0.378378378,0.00733945,0.348031496,0.010526316,0.107692308,0.096363636,0.171052632,0.279518072
