StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q1,Q2,Q3,id
Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Distribution Channel,User Language,Did you notice anything unusual during the experiment?,Do you think the feedback is always accurate?,"If not accurate, how inaccurate do you think the feedback was?",id
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID8""}","{""ImportId"":""QID10""}","{""ImportId"":""QID5_TEXT""}","{""ImportId"":""id""}"
2021-12-09 16:39:46,2021-12-09 16:39:51,Survey Preview,100,4,True,2021-12-09 16:39:52,R_3L5Sd2bCknEIT16,preview,EN-GB,,,,
2021-12-09 16:48:33,2021-12-09 19:00:01,IP Address,100,7888,True,2021-12-09 19:00:01,R_1IbHuTFfdqrWbel,anonymous,EN-GB,,,,65368
2021-12-10 02:39:34,2021-12-10 02:40:15,IP Address,100,41,True,2021-12-10 02:40:15,R_2TL9YQLwEokCwiO,anonymous,EN-GB,no,no,,67372
2021-12-10 04:40:54,2021-12-10 04:42:05,IP Address,100,71,True,2021-12-10 04:42:05,R_3rZEv4QcxMv01n6,anonymous,EN-GB,no,yes,"i didnt notice any inaccuracies ",69277
2021-12-10 04:42:24,2021-12-10 04:42:34,IP Address,100,10,True,2021-12-10 04:42:34,R_1LtetkGTImlejPH,anonymous,EN-GB,no,yes,,69277
2021-12-10 06:30:00,2021-12-10 06:30:33,IP Address,100,33,True,2021-12-10 06:30:34,R_12eS3TSBhclppaH,anonymous,EN-GB,no,no,,69598
2021-12-10 06:31:45,2021-12-10 06:32:01,Spam,100,15,True,2021-12-10 06:32:01,R_2QgO2bnKUAUfmIP,anonymous,EN-GB,no,no,,69598
2021-12-10 06:32:22,2021-12-10 06:32:46,Spam,100,24,True,2021-12-10 06:32:47,R_0lHIydyKANm27Sh,anonymous,EN-GB,no,no,,69598
2021-12-10 06:33:16,2021-12-10 06:33:52,IP Address,100,36,True,2021-12-10 06:33:53,R_2Bf9HvVrs83ASGv,anonymous,EN-GB,no,yes,"Slightly inaccurate, 10 degrees maybe",69598
2021-12-10 06:45:12,2021-12-10 06:46:26,IP Address,100,74,True,2021-12-10 06:46:27,R_3KqKVnaNzswMapb,anonymous,EN-GB,yes,no,10 degrees,69598
2021-12-10 06:47:54,2021-12-10 06:48:37,IP Address,100,42,True,2021-12-10 06:48:37,R_1Kf1x1VIU9ldrNt,anonymous,EN-GB,yes,no,10 degrees,69598
2021-12-12 11:07:02,2021-12-12 11:07:34,IP Address,100,32,True,2021-12-12 11:07:34,R_3lrY080qeTnjcAG,anonymous,EN-GB,no,no,20%,69043
2021-12-12 11:07:45,2021-12-12 11:08:01,IP Address,100,15,True,2021-12-12 11:08:02,R_PNYHQYxItaIcVpv,anonymous,EN-GB,yes,no,20%,69043
2021-12-14 06:31:57,2021-12-14 06:32:23,IP Address,100,26,True,2021-12-14 06:32:24,R_216wiBiCCu1uKDJ,anonymous,EN-GB,yes,yes,,67297
2021-12-16 11:20:20,2021-12-16 11:21:15,IP Address,100,55,True,2021-12-16 11:21:15,R_2TSqMBE1AkM2QJS,anonymous,EN-GB,no,yes,,67522
2021-12-18 10:34:55,2021-12-18 10:35:00,Survey Preview,100,5,True,2021-12-18 10:35:01,R_WiiRmobCEaq3wDT,preview,EN-GB,,,,
2021-12-18 10:36:11,2021-12-18 10:36:20,Survey Preview,100,8,True,2021-12-18 10:36:20,R_3O2oC2E20v78Ost,preview,EN-GB,,,,
2021-12-19 10:09:02,2021-12-19 10:09:26,IP Address,100,24,True,2021-12-19 10:09:26,R_1QswGQ49TXmol1k,anonymous,EN-GB,yes,yes,,69793
2022-02-03 12:55:03,2022-02-03 12:55:17,IP Address,100,13,True,2022-02-03 12:55:17,R_3EbVeUHNwU2ZrZU,anonymous,EN-GB,no,yes,,20787
2022-02-03 13:23:59,2022-02-03 13:24:44,IP Address,100,45,True,2022-02-03 13:24:45,R_XYugSyAlFqWvpIZ,anonymous,EN-GB,no,yes,,69490
