"","ID","coeff (Intercept)","coeff trial","Std. Error (Intercept)","Std. Error trial","P-value (Intercept)","P-value trial","R-squared","BayesFactor","length"
"1","X67258","-1.48467948749275","-0.0140821077066762","0.201516233928942","0.00460776576387467","2.15688991868281e-10","0.00313054158676645","0.113433884517126","11.704665371517","75"
"2","X67507","-1.94618251402685","-0.00501001353777674","0.248041642060207","0.00473413065183983","9.54060979594786e-12","0.292826272520312","0.0125667334199575","0.36109137825762","90"
"3","X69202","-1.55187655569707","-0.0143335706026869","0.400602445793979","0.0151666480778396","0.000360338950535111","0.349902710053868","0.0203485143370388","0.42278385505094","45"
"4","X69352","-1.94989727820289","-0.00454724953867859","0.242670269044272","0.00463161245599983","3.92820486013287e-12","0.328897127171469","0.0108347606741999","0.337240794099482","90"
"5","X69484","-1.47827518190714","-0.00772445161603868","0.208859302764827","0.0029959064129277","1.12969933994797e-10","0.0111573515894048","0.0533327729044293","3.73349943708266","120"
"6","X69571","-2.13996822278578","-0.00287333217195994","0.206371472181436","0.00296022063067911","2.65717520101083e-18","0.333709030702543","0.00792114014538041","0.297404419603822","120"
"7","X69661","-1.96120558545586","-0.00569065929198673","0.238061092910391","0.00454364157403865","1.50940815226145e-12","0.213726169865438","0.0175130250619316","0.439314365341473","90"
"8","X69679","-1.64951024293728","-0.00407196797186197","0.199228970104317","0.00254199104039547","1.15367490982252e-13","0.111554328007741","0.0189282218569272","0.590780482662977","135"
"9","X69712","-1.79504946308031","-0.00579794790211148","0.20696174457075","0.00264065462029943","1.28295344918041e-14","0.029851259125346","0.0349792445842694","1.62458619991015","135"
"10","X67045","-0.700785648307287","-0.0424411461782693","0.447711190648495","0.0252189970343382","0.128754490331079","0.103513550622422","0.0918574874778439","0.982960452387346","30"
"11","X70516","-1.76654633393","-0.00796373865988468","0.227301168076101","0.00433827730719051","1.351632941149e-11","0.0697807898487496","0.0368805069233157","0.959494316768862","90"
"12","X67051","-1.41721643167785","-0.019295550527036","0.320029236269562","0.0091244706305177","4.26030857099001e-05","0.0387634819764966","0.071583640875528","1.66000903059654","60"
"13","X67174","-1.23315978098464","-0.0271485330528482","0.326627191418751","0.00931258734348432","0.000378037541769697","0.00504403504664236","0.12780237479305","8.1462844293099","60"
"14","X67609","0.285210939161864","-0.0372610228949135","0.398774767807845","0.0113696132874228","0.477343558936728","0.00177340648567142","0.156245120466247","19.1852818945301","60"
"15","X67630","-1.47113147425589","-0.00544264618764639","0.159564887764164","0.00183333248925949","2.7855563338867e-16","0.00348934656656736","0.0562024033931306","9.3709030634498","150"
