"","lp","lp.1","lp.2","lp.3","lp.4","lp.5","lp.6","lp.7","lp.8","lp.9","lp.10","lp.11","lp.12","lp.13","lp.14"
"1",1.014516129,1.003773585,0.882608696,1.64375,1.024324324,0.069172932,0.472727273,1.128571429,1,1,0.804651163,0.580582524,0.521276596,1.207692308,0.140298507
"2",0.182857143,0.444736842,0.464864865,0.2,1.375,0.109302326,0.029565217,0.209090909,0.5875,0.584615385,0.209836066,0.100970874,2.358490566,0.005263158,0.148275862
"3",0.273846154,0.242857143,0.157798165,0.29,0.191891892,0.021052632,0.08,0.26,0.269565217,0.610526316,0.271559633,0.283185841,1,3.365,0.096240602
"4",0.333333333,0.154716981,0.009756098,0.105263158,0.042553191,0.002409639,0.650746269,0.428235294,0.129032258,0.537142857,0.336842105,0.051162791,0.429268293,2.075324675,0.767741935
"5",0.294214876,0.146774194,0.048275862,0.208955224,0.074193548,0.03943662,0.291803279,0.028571429,0.161290323,0.260273973,0.120408163,0.704109589,0.037931034,1.595348837,0.330232558
"6",0.445901639,0.059090909,0.301492537,0.042553191,0.028947368,0.072727273,0.186046512,0.236363636,0.341935484,0.507368421,0.003571429,0.271910112,0.035051546,0.037623762,0.4
"7",0.114285714,0.074285714,0.527868852,0.01,0.327272727,0.356923077,0.225316456,0.145454545,0.039655172,1,0.116071429,0.26,0.228846154,1.062608696,0.5125
"8",0.213953488,0.296,0.120754717,0.233333333,0.450847458,0.305714286,0.003846154,0.321052632,0.273076923,0.123478261,0.16,0.044897959,0.438961039,0.56,0.1
"9",0.341818182,0.420338983,0.152066116,0.166197183,0.305,0.36,0.080851064,0.204651163,0.131428571,0.232608696,0.021621622,0.234645669,0.28,2.698113208,0.16
"10",0.25,0.042105263,0.010810811,0.0859375,0.470588235,0.295652174,0.562162162,0.2,0.205405405,0.282706767,0.2,0.273846154,0.313513513,1.144117647,0.367567568
"11",0.05,0.14368932,0.42,0.015384615,0.467692308,0.080851064,0.014893617,0.266666667,0.2,0.696103896,0.194736842,0.256521739,0.319327731,1.568421053,0.099115044
