0,trials,trialSegment,rate,,blocks,blockSegment,rateB
,1,1,1,,1,1,1.059563261
,2,1,1,,2,1,0.449296725
,3,1,1,,3,1,0.262333667
,4,1,1,,4,2,0.61748403
,5,1,1,,5,2,0.252130434
,6,1,1,,6,2,0.240411399
,7,1,1,,7,3,0.374848523
,8,1,1,,8,3,0.382130253
,9,1,1,,9,3,0.359954289
,10,1,1,,10,4,0.494819471
,11,1,1.394,,11,4,0.128959543
,12,1,0.244,,12,4,0.426632694
,13,1,0.393684211,,,,
,14,1,2.411764706,,,,
,15,1,1.45,,,,
,16,2,0.104545455,,,,
,17,2,0.27394958,,,,
,18,2,0.034146341,,,,
,19,2,0.030769231,,,,
,20,2,0.239175258,,,,
,21,2,0.195744681,,,,
,22,2,0.083018868,,,,
,23,2,0.1375,,,,
,24,2,1.723913043,,,,
,25,2,0.994594594,,,,
,26,2,0.303937008,,,,
,27,2,0.387628866,,,,
,28,2,1.536170213,,,,
,29,2,0.188235294,,,,
,30,2,0.506122449,,,,
,31,3,0.175206612,,,,
,32,3,0.146666667,,,,
,33,3,0.307692308,,,,
,34,3,0.134615385,,,,
,35,3,0.309090909,,,,
,36,3,0.211428571,,,,
,37,3,0.528767123,,,,
,38,3,0.266666667,,,,
,39,3,0.129411765,,,,
,40,3,0.203846154,,,,
,41,3,0.65,,,,
,42,3,0.117241379,,,,
,43,3,0.243478261,,,,
,44,3,0.065822785,,,,
,45,3,0.445070423,,,,
,46,4,1.517021277,,,,
,47,4,0.032,,,,
,48,4,0.537078652,,,,
,49,4,0.048275862,,,,
,50,4,0.291764706,,,,
,51,4,1.875,,,,
,52,4,0.847368421,,,,
,53,4,0.303448276,,,,
,54,4,0.246938775,,,,
,55,4,0.095652174,,,,
,56,4,0.034328358,,,,
,57,4,0.604347826,,,,
,58,4,0.173913043,,,,
,59,4,0.002061856,,,,
,60,4,2.653061225,,,,
,61,5,0.084745763,,,,
,62,5,0.074766355,,,,
,63,5,0.479518072,,,,
,64,5,0.028571429,,,,
,65,5,0.169230769,,,,
,66,5,0.651612903,,,,
,67,5,0.4,,,,
,68,5,0.542857143,,,,
,69,5,0.546456693,,,,
,70,5,0.083636364,,,,
,71,5,0.178947368,,,,
,72,5,0.218181818,,,,
,73,5,0.125,,,,
,74,5,0.163380282,,,,
,75,5,0.035051546,,,,
,76,6,0.12,,,,
,77,6,0.590697674,,,,
,78,6,0.08,,,,
,79,6,0.004651163,,,,
,80,6,0.102040816,,,,
,81,6,0.006779661,,,,
,82,6,0.325,,,,
,83,6,0.552941177,,,,
,84,6,0.186813187,,,,
,85,6,0.757142857,,,,
,86,6,0.248387097,,,,
,87,6,0.2875,,,,
,88,6,0.089156627,,,,
,89,6,0.147368421,,,,
,90,6,0.107692308,,,,
,91,7,2.624390244,,,,
,92,7,0.113157895,,,,
,93,7,0.025688073,,,,
,94,7,0.8,,,,
,95,7,0.270588235,,,,
,96,7,0.367567568,,,,
,97,7,0.089655172,,,,
,98,7,0.025882353,,,,
,99,7,0.311428571,,,,
,100,7,0.384615385,,,,
,101,7,0.186666667,,,,
,102,7,0.2,,,,
,103,7,0.015625,,,,
,104,7,0.2,,,,
,105,7,0.007462687,,,,
,106,8,0.514,,,,
,107,8,0.11011236,,,,
,108,8,1.605263158,,,,
,109,8,0.179746835,,,,
,110,8,0.36097561,,,,
,111,8,0.529032258,,,,
,112,8,0.2,,,,
,113,8,0.038461538,,,,
,114,8,0.337142857,,,,
,115,8,0.02,,,,
,116,8,0.045783133,,,,
,117,8,0.146774194,,,,
,118,8,0.977464789,,,,
,119,8,0.009302326,,,,
,120,8,0.657894737,,,,
,121,9,0.206,,,,
,122,9,1.616494845,,,,
,123,9,0.083018868,,,,
,124,9,0.491428572,,,,
,125,9,1.32,,,,
,126,9,0.4,,,,
,127,9,0.03902439,,,,
,128,9,0.047933884,,,,
,129,9,0.189285714,,,,
,130,9,0.133962264,,,,
,131,9,0.050549451,,,,
,132,9,0.28,,,,
,133,9,0.018181818,,,,
,134,9,0.332258065,,,,
,135,9,0.191176471,,,,
,136,10,0.248648649,,,,
,137,10,0.209756098,,,,
,138,10,0.107692308,,,,
,139,10,0.226373626,,,,
,140,10,0.365517241,,,,
,141,10,0.053658537,,,,
,142,10,0.301538462,,,,
,143,10,0.158878505,,,,
,144,10,0.386813187,,,,
,145,10,0.127272727,,,,
,146,10,0.153846154,,,,
,147,10,0.289552239,,,,
,148,10,3.009302325,,,,
,149,10,1.771052632,,,,
,150,10,0.012389381,,,,
,151,11,0.607272727,,,,
,152,11,0.08,,,,
,153,11,0.366666667,,,,
,154,11,0.015384615,,,,
,155,11,0.002173913,,,,
,156,11,0.103225806,,,,
,157,11,0.06746988,,,,
,158,11,0.133333333,,,,
,159,11,0.028571429,,,,
,160,11,0.043037975,,,,
,161,11,0.391549296,,,,
,162,11,0.022222222,,,,
,163,11,0.023529412,,,,
,164,11,0.013592233,,,,
,165,11,0.036363636,,,,
,166,12,0.987826087,,,,
,167,12,0.203278689,,,,
,168,12,1.458181818,,,,
,169,12,0.069565217,,,,
,170,12,0.512,,,,
,171,12,0.510714286,,,,
,172,12,1.057142857,,,,
,173,12,0.104950495,,,,
,174,12,0.542857143,,,,
,175,12,0.434375,,,,
,176,12,0.007476636,,,,
,177,12,0.080434783,,,,
,178,12,0.211538462,,,,
,179,12,0.1,,,,
,180,12,0.119148936,,,,
