"","group","frequency","content","feedback","before","after"
"1","BP","Block","positive","with",20.4842693553993,7.54081194624501
"2","BP","Block","positive","with",15.0873100767267,6.49571830219632
"3","BP","Block","positive","with",10.962407034589,5.87972732463041
"4","BP","Block","positive","with",14.8695541754191,3.56814899404736
"5","BP","Block","positive","with",11.1684762542287,3.61616658774281
"6","BP","Block","positive","with",9.99968841386644,11.479977714484
"7","BP","Block","positive","with",15.2887819918211,8.46379014880926
"8","BP","Block","positive","with",6.78413267796384,21.8347354731726
"9","BP","Block","positive","with",13.6252998078807,5.71986646876306
"10","BP","Block","positive","with",19.7617853418758,8.10230006348405
"11","BP","Block","positive","with",18.8882259448099,20.0366712596214
"12","BP","Block","positive","with",19.5842082061477,3.1511594686089
"13","BP","Block","positive","with",10.8715010722755,18.1537363162925
"14","BP","Block","positive","with",6.00558235258489,4.88521988371026
"15","BP","Block","positive","with",23.6680080104347,10.4328540880383
"16","BP","Block","positive","with",29.4217782376083,11.4215984013001
"17","BP","Block","positive","with",7.71187499089512,7.59449195580649
"18","BT","Block","True","with",17.6967631564237,7.09893360462436
"19","BT","Block","True","with",8.07531421044944,8.9607019751513
"20","BT","Block","True","with",22.4992128669446,3.83729953533656
"21","BT","Block","True","with",19.7928959513846,9.07763886279188
"22","BT","Block","True","with",21.7360251943124,19.2122584821645
"23","BT","Block","True","with",23.048725321515,10.872750161513
"24","BT","Block","True","with",9.8792533769537,5.81436320688785
"25","BT","Block","True","with",10.242543638407,12.6112451331494
"26","BT","Block","True","with",21.6495034451261,13.9940568555922
"27","BT","Block","True","with",19.7294069942456,16.6996323005923
"28","BT","Block","True","with",13.7938888570076,25.2057494632129
"29","BT","Block","True","with",25.1289513806547,10.5828941421773
"30","BT","Block","True","with",15.996498000717,8.33977176305334
"31","BT","Block","True","with",12.767799185297,6.35099181222638
"32","BT","Block","True","with",8.91973483958444,7.00313191044475
"33","BT","Block","True","with",10.7869037345588,5.39214705372141
"34","BT","Block","True","with",13.8160119774271,14.5712908210134
"35","BT","Block","True","with",14.0094114670268,4.94481004595981
"36","BT","Block","True","with",21.023208809703,6.34907539493322
"37","BT","Block","True","with",13.8469759131591,3.58284829169722
"38","N","None","None","without",5.89126436976938,7.82169761332067
"39","N","None","None","without",13.8106239301652,5.04730124464863
"40","N","None","None","without",9.06202417699218,9.55142029330745
"41","N","None","None","without",8.46824132281632,15.9302086040638
"42","N","None","None","without",7.98245430496087,6.26792549848468
"43","N","None","None","without",13.7647702725763,6.63344455796985
"44","N","None","None","without",23.5316390522753,8.58805070577958
"45","N","None","None","without",15.3448580256304,7.83188286360191
"46","N","None","None","without",11.3188100732989,6.90600365822792
"47","N","None","None","without",14.3840740856322,20.8455505635174
"48","N","None","None","without",10.3004654497166,6.43344253417537
"49","N","None","None","without",11.2644081107478,25.1100575702195
"50","N","None","None","without",24.52476702335,5.18848723198579
"51","N","None","None","without",8.68616718173931,5.47448788867092
"52","N","None","None","without",7.16000880203221,6.15851742428963
"53","N","None","None","without",16.2776829729474,11.6905122886913
"54","N","None","None","without",11.8496509206696,6.42219292962594
"55","N","None","None","without",16.3253120718178,6.75290779214182
"56","TP","Trial","positive","with",13.9677549210784,12.9801684753187
"57","TP","Trial","positive","with",9.94471490274159,15.8545342140156
"58","TP","Trial","positive","with",16.7176926127483,10.9237752338687
"59","TP","Trial","positive","with",16.0357551699881,3.06714972038265
"60","TP","Trial","positive","with",8.30353048249307,6.48237333254226
"61","TP","Trial","positive","with",32.0467710081701,27.4490538721572
"62","TP","Trial","positive","with",6.38846329286122,5.38825338483391
"63","TP","Trial","positive","with",11.9890357515552,5.97125192083373
"64","TP","Trial","positive","with",11.6231387544519,6.60725733651766
"65","TP","Trial","positive","with",4.57348388631833,6.32283544761648
"66","TP","Trial","positive","with",7.57847441980269,7.25128057346435
"67","TP","Trial","positive","with",14.5099126841569,16.2298199207128
"68","TP","Trial","positive","with",11.7863999581597,4.04999618839571
"69","TP","Trial","positive","with",14.2007319456823,6.98622984183743
"70","TT","Trial","True","with",20.7798770952733,18.4376955850073
"71","TT","Trial","True","with",9.3712194021406,10.7634061157965
"72","TT","Trial","True","with",23.6187706226938,9.90957351553122
"73","TT","Trial","True","with",19.3868791739416,4.9830400181598
"74","TT","Trial","True","with",6.12742411408994,4.00401033492588
"75","TT","Trial","True","with",10.0215347211348,15.7244123219403
"76","TT","Trial","True","with",13.7234078285277,11.0332190414911
"77","TT","Trial","True","with",11.7110167354948,7.61663762635751
"78","TT","Trial","True","with",11.0169395527813,11.0292753499578
"79","TT","Trial","True","with",11.6531642708756,8.74365479127629
"80","TT","Trial","True","with",5.8192649709318,6.81132300735242
"81","TT","Trial","True","with",7.64338155437235,4.12542909180525
"82","TT","Trial","True","with",13.4317706686359,19.3221186237608
"83","TT","Trial","True","with",9.62697562121563,5.28324139418103
"84","TT","Trial","True","with",22.5874614694272,22.7975704417706
"85","TT","Trial","True","with",8.94983734423736,21.3940191751877
"86","TT","Trial","True","with",8.22996203602815,12.2869761322483
"87","TT","Trial","True","with",13.7452166869968,4.60871041018116
