"","group","frequency","content","feedback","before","after"
"1","BP","Block","positive","with","40.0130718958235","17.8692810460588"
"2","BP","Block","positive","with","32.5555555550588","13.0457516328235"
"3","BP","Block","positive","with","15.3921568634118","8.679738562"
"4","BP","Block","positive","with","14.4771241823529","7.69281045788235"
"5","BP","Block","positive","with","13.2614379088824","10.9542483664118"
"6","BP","Block","positive","with","12.2222222214706","9.98692810447059"
"7","BP","Block","positive","with","14.6993464052353","11.2745098037059"
"8","BP","Block","positive","with","14.3660130722353","12.3725490193529"
"9","BP","Block","positive","with","12.9999999995294","15.2614379089412"
"10","BP","Block","positive","with","14.4444444444706","13.3398692808824"
"11","BP","Block","positive","with","16.6470588238824","11.7385620910588"
"12","BP","Block","positive","with","14.0326797388235","9.12418300647059"
"13","BP","Block","positive","with","13.5032679738824","10.843137255"
"14","BP","Block","positive","with","18.1562091501765","10.3006535945294"
"15","BP","Block","positive","with","11.6732026148235","8.47712418252941"
"16","BT","Block","True","with","41.65555555615","16.01111111045"
"21","BT","Block","True","with","23.4999999999","12.6944444444"
"31","BT","Block","True","with","17.23333333265","9.4216666667"
"41","BT","Block","True","with","18.8777777776","11.9000000003"
"51","BT","Block","True","with","16.2111111108","10.227777777"
"61","BT","Block","True","with","16.54999999955","10.1277777773"
"71","BT","Block","True","with","9.6499999999","10.161111111"
"81","BT","Block","True","with","12.26111111055","12.10555555605"
"91","BT","Block","True","with","16.93888888935","10.34444444515"
"101","BT","Block","True","with","11.6994444449","10.43333333285"
"111","BT","Block","True","with","15.1222222229","10.33333333335"
"121","BT","Block","True","with","15.92222222195","16.21666666625"
"131","BT","Block","True","with","11.84444444515","10.02777777755"
"141","BT","Block","True","with","10.35555555505","9.4444444447"
"151","BT","Block","True","with","14.2944444449","14.02777777815"
"17","N","None","None","without","34.38888889","15.5185185186111"
"22","N","None","None","without","20.7777777774444","7.75308642"
"32","N","None","None","without","21.9506172841667","12.0679012348889"
"42","N","None","None","without","17.5864197523889","11.7283950616667"
"52","N","None","None","without","18.5246913585556","8.56172839461111"
"62","N","None","None","without","13.7592592605","11.0246913577778"
"72","N","None","None","without","12.6543209868889","9.33950617244444"
"82","N","None","None","without","14.7222222221111","9.89506172894444"
"92","N","None","None","without","15.3827160492778","14.5370370366667"
"102","N","None","None","without","10.0802469128889","9.32716049361111"
"112","N","None","None","without","12.8395061732222","7.024691358"
"122","N","None","None","without","9.49382716027778","11.0864197537222"
"132","N","None","None","without","17.5802469137778","10.9074074071667"
"142","N","None","None","without","13.4814814801667","8.9074074075"
"152","N","None","None","without","14.2345679007222","11.0370370365556"
"18","TP","Trial","positive","with","40.9841269837857","15.1666666657143"
"23","TP","Trial","positive","with","17.5555555561429","11.7777777776429"
"33","TP","Trial","positive","with","16.0000000003571","11.2142857137857"
"43","TP","Trial","positive","with","17.7698412695714","10.6111111108571"
"53","TP","Trial","positive","with","14.1031746038571","14.9761904755"
"63","TP","Trial","positive","with","9.75396825357143","8.58730158692857"
"73","TP","Trial","positive","with","15.2301587307857","8.72222222264286"
"83","TP","Trial","positive","with","9.67460317485714","12.2222222225"
"93","TP","Trial","positive","with","15.0238095235","8.29365079328571"
"103","TP","Trial","positive","with","12.4365079369286","7.79365079335714"
"113","TP","Trial","positive","with","15.9444444446429","9.9841269835"
"123","TP","Trial","positive","with","13.1031746025714","10.1746031744286"
"133","TP","Trial","positive","with","18.5238095223571","12.6349206352143"
"143","TP","Trial","positive","with","11.7460317455","7.42063492028571"
"153","TP","Trial","positive","with","11.4047619052143","7.84920634914286"
"19","TT","Trial","True","with","27.5493827173333","18.6790123452222"
"24","TT","Trial","True","with","18.9691358021111","8.60493827188889"
"34","TT","Trial","True","with","16.1351851848333","13.0864197533889"
"44","TT","Trial","True","with","19.7654320995","11.5061728398889"
"54","TT","Trial","True","with","10.4197530867222","14.5493827155"
"64","TT","Trial","True","with","14.6358024689444","9.44444444522222"
"74","TT","Trial","True","with","11.1728395067222","9.03703703666667"
"84","TT","Trial","True","with","13.141975308","10.9444444446111"
"94","TT","Trial","True","with","11.7962962962778","14.2407407410556"
"104","TT","Trial","True","with","10.6419753083889","16.6851851855556"
"114","TT","Trial","True","with","16.7345679012778","10.4691358025"
"124","TT","Trial","True","with","11.7469135809444","7.56172839527778"
"134","TT","Trial","True","with","11.6728395057222","10.7469135802222"
"144","TT","Trial","True","with","16.6111111109444","12.0432098771111"
"154","TT","Trial","True","with","13.1666666668333","18.4012345681667"
