"","group","frequency","content","feedback","First","Last"
"accuracy_.67042","Block positive","Block","positive","with","18.866666667","9.155555556"
"accuracy_.67243","Block positive","Block","positive","with","18.1185185188667","12.5777777769333"
"accuracy_.67708","Block positive","Block","positive","with","12.4592592587333","9.01481481473333"
"accuracy_.68851","Block positive","Block","positive","with","17.1029629627333","5.39259259253333"
"accuracy_.68926","Block positive","Block","positive","with","11.0370370371333","7.140740741"
"accuracy_.69016","Block positive","Block","positive","with","10.8592592591333","12.9037037049333"
"accuracy_.69100","Block positive","Block","positive","with","13.8592592598","14.6592592589333"
"accuracy_.69139","Block positive","Block","positive","with","6.5407407402","12.525925926"
"accuracy_.69169","Block positive","Block","positive","with","11.9481481478667","9.1407407402"
"accuracy_.69241","Block positive","Block","positive","with","16.8592592599333","12.1111111106667"
"accuracy_.69247","Block positive","Block","positive","with","43.8444444446667","16.2296296290667"
"accuracy_.69637","Block positive","Block","positive","with","13.762962963","4.91111111106667"
"accuracy_.69670","Block positive","Block","positive","with","11.5481481484667","16.3037037035333"
"accuracy_.69739","Block positive","Block","positive","with","7.33333333306667","8.037037037"
"accuracy_.69745","Block positive","Block","positive","with","20.6666666668667","14.3777777772"
"accuracy_.69859","Block positive","Block","positive","with","45.7851851848667","19.5999999993333"
"accuracy_.70552","Block positive","Block","positive","with","12.3111111110667","9.6740740746"
"accuracy_.66961","Block true","Block","True","with","12.2296296291333","8.64370370373333"
"accuracy_.67072","Block true","Block","True","with","12.5629629632667","12.5111111109333"
"accuracy_.67120","Block true","Block","True","with","19.0740740726","5.9999999998"
"accuracy_.67360","Block true","Block","True","with","34.0222222222667","11.9333333331333"
"accuracy_.67378","Block true","Block","True","with","13.7925925918667","15.7185185186"
"accuracy_.67567","Block true","Block","True","with","38.3111111114","14.3851851866"
"accuracy_.67672","Block true","Block","True","with","10.4444444452","10.5851851844667"
"accuracy_.67684","Block true","Block","True","with","16.7111111119333","17.7037037034"
"accuracy_.67765","Block true","Block","True","with","15.3629629632","13.7037037038"
"accuracy_.68812","Block true","Block","True","with","18.3629629626","18.3703703693333"
"accuracy_.68818","Block true","Block","True","with","24.7259259270667","35.7777777784"
"accuracy_.68932","Block true","Block","True","with","19.8666666659333","8.92592592593333"
"accuracy_.68977","Block true","Block","True","with","11.8074074077333","9.38518518546667"
"accuracy_.69094","Block true","Block","True","with","12.3629629629333","5.5555555552"
"accuracy_.69298","Block true","Block","True","with","8.47407407413333","7.9481481478"
"accuracy_.69478","Block true","Block","True","with","13.865925926","6.7037037036"
"accuracy_.69592","Block true","Block","True","with","13.9111111108","7.61481481473333"
"accuracy_.69610","Block true","Block","True","with","15.8814814815333","5.7333333336"
"accuracy_.69622","Block true","Block","True","with","16.3333333333333","8.24444444393333"
"accuracy_.69844","Block true","Block","True","with","8.05185185213333","5.85925925913333"
"accuracy_.21486","No feedback","None","None","without","9.90370370293333","12.6592592593333"
