"","ID","coeff (Intercept)","coeff trial","Std. Error (Intercept)","Std. Error trial","P-value (Intercept)","P-value trial","R-squared"
"1","accuracy_.66961","2.05657122759927","-0.00150535784278174","0.150402671777383","0.00144124657422312","1.46346350113247e-29","0.297678268278037","0.00609157077722783"
"2","accuracy_.67072","2.02624542589496","-0.00159941147918268","0.164743464942071","0.0015786684615872","1.46841811850269e-25","0.312368678069917","0.0057335202083609"
"3","accuracy_.67120","1.52143899438908","-0.000173105874879747","0.183518645388544","0.00175858324753564","2.67413791949825e-14","0.921697764373677","5.44319770247383e-05"
"4","accuracy_.67360","2.86662165194299","-0.00508247590328078","0.165113063794908","0.00158221017447164","3.79136199132166e-40","0.00156317183755518","0.0547934958834632"
"5","accuracy_.67378","2.12201500780417","0.00142991088513082","0.177311965464319","0.00169910720184857","1.3484540182519e-24","0.401160109831753","0.00396307071252632"
"6","accuracy_.67567","2.76268098694077","-0.00478030000940586","0.157032837905335","0.0015047807129822","8.50967950692073e-41","0.00175598909798305","0.0536530317735124"
"7","accuracy_.67672","1.83215369963953","0.000645778495632711","0.171251167874462","0.00164102908621263","6.07449632035226e-21","0.694406083555884","0.000869234450144728"
"8","accuracy_.67684","2.06240509229721","0.00173618585874841","0.178975079896975","0.00171504413933964","2.60319081249412e-23","0.312755714751358","0.00572438207159436"
"9","accuracy_.67765","1.88567597102181","0.00137326368658639","0.179389368091153","0.00171901409169184","2.06943077082062e-20","0.425432158361448","0.0035725201937688"
"10","accuracy_.68812","2.29747168342167","-0.00117821472827767","0.16750350891774","0.00160511682103208","1.1029263830534e-29","0.463892128664538","0.00301788694940732"
"11","accuracy_.68818","2.73788359301259","0.000785781170162182","0.19574309248764","0.00187572506619576","1.79270077814063e-30","0.675778723549161","0.000984956150860636"
"12","accuracy_.68932","1.87176136910594","0.00060545520859578","0.173313389551834","0.00166079050329836","3.12273921290049e-21","0.71587376873771","0.000746088229557832"
"13","accuracy_.68977","1.9274288373963","-0.000296774901880815","0.162112439552948","0.00155345643387549","2.27312547176986e-24","0.848710679926565","0.000204996829116845"
"14","accuracy_.69094","2.26953168120551","-0.0045933020588423","0.173681135574099","0.00166431446127404","8.55159853780791e-28","0.00638748794851699","0.0410356845415752"
"15","accuracy_.69298","1.80096080407438","-0.000131525066390113","0.166777779060825","0.00159816245208551","3.14956582221974e-21","0.934502466893365","3.80486004418308e-05"
"16","accuracy_.69478","1.89027268837526","-0.0030721523412384","0.168187380584682","0.00161167008026306","1.718112450213e-22","0.0582366016430279","0.0200049327367864"
"17","accuracy_.69592","1.81256544353331","-0.00170269699157875","0.187355793504812","0.00179535305030578","4.6914542075275e-18","0.344216150460538","0.00502766131827082"
"18","accuracy_.69610","2.07564056293407","-0.00286590117074231","0.186261625637832","0.00178486809235076","3.23109241417816e-22","0.110120044342604","0.0142772623627201"
"19","accuracy_.69622","2.03048412283148","-0.00472436104178699","0.190543742424554","0.00182590184578315","8.02241792528736e-21","0.010467808450244","0.0362474003069713"
"20","accuracy_.69844","1.75391744888814","0.00217460423101917","0.155309036020359","0.00148826223274511","1.20130845055059e-22","0.145731781363212","0.0118523205421748"
