"","ID","coeff (Intercept)","coeff trial","Std. Error (Intercept)","Std. Error trial","P-value (Intercept)","P-value trial","R-squared"
"1","accuracy_.21486","1.83529937354462","-0.000637226022425696","0.167792274146533","0.00160788393874239","1.2577586776937e-21","0.692348490770748","0.000881606053729705"
"2","accuracy_.21589","1.9473643002835","-0.00291623116474917","0.180379205688283","0.00172849929583777","3.20430044763601e-21","0.0933268480025636","0.0157396641584268"
"3","accuracy_.22223","1.87109921886755","0.000153589444081793","0.148220126514554","0.00142033214600209","1.67253471016754e-26","0.914009379923487","6.56892604296372e-05"
"4","accuracy_.66943","1.88380890742653","-0.000730106734616595","0.185710908521194","0.00177959079808237","2.27472081532199e-19","0.682103746367908","0.000944717421548266"
"5","accuracy_.67084","1.29725775477508","0.00190042112728138","0.181672846047054","0.00174089571614947","2.28136863438574e-11","0.276469337221965","0.00665022565066226"
"6","accuracy_.67246","2.44519062154252","-0.000788672145221871","0.141228315431008","0.00135333251326491","5.16614383527642e-40","0.560790362662694","0.00190430345009158"
"7","accuracy_.67312","2.04611075710832","-0.00100254614899211","0.163138074051837","0.00156328466491992","2.88923980481127e-26","0.52214781768677","0.00230520903601751"
"8","accuracy_.67429","2.08216956396735","-0.0022836272789603","0.144579138129925","0.00138544206077874","1.12015180883518e-31","0.101054599681454","0.0150340136038615"
"9","accuracy_.67501","2.08817778217658","-0.000290429122486345","0.155665559261444","0.00149167864745219","8.32489998755565e-29","0.845850227401656","0.000212920411484898"
"10","accuracy_.67561","2.17982952731165","-0.000701550172229977","0.1720224674514","0.00164842013093161","1.21256555527402e-26","0.670921163282813","0.00101652941920883"
"11","accuracy_.68857","2.13933898064922","-0.00232159691344233","0.154291832898766","0.0014785147961008","4.04783732984763e-30","0.118139302990664","0.013662427178035"
"12","accuracy_.68929","2.4085029016682","-0.000297916134812106","0.203160530037222","0.00194680330125313","2.85734204873301e-24","0.8785492387372","0.00013154270465395"
"13","accuracy_.68998","2.42273903636675","-0.00152041612645575","0.202649370686656","0.0019419050726899","1.46452241988047e-24","0.434696434313979","0.00343206771730709"
"14","accuracy_.69190","1.6675498631554","-0.000116243453778204","0.168457858762868","0.0016142619607337","1.10861795229468e-18","0.942674575300689","2.91310628540208e-05"
"15","accuracy_.69214","1.85772556406576","-0.00151613817045146","0.163446405558936","0.00156623927817965","7.40831606034616e-23","0.334351883092472","0.00523674076734058"
"16","accuracy_.69364","2.20521310276206","-0.00339158570703959","0.181974725733526","0.00174378850428158","4.93228347653463e-25","0.0533563469239181","0.0208096649591471"
"17","accuracy_.69700","2.4305537603871","-0.00434609651052132","0.166473660395036","0.00159524820874099","2.97248941493607e-32","0.00708435649977325","0.0400294929722448"
"18","accuracy_.69757","1.84761193416348","0.00100139893827565","0.171791371544107","0.00164620563446844","4.19514322456531e-21","0.543759094815475","0.00207455131244972"
