"","ID","coeff (Intercept)","coeff trial","Std. Error (Intercept)","Std. Error trial","P-value (Intercept)","P-value trial","R-squared"
"1","accuracy_.67060","2.6525515909493","-0.00592964185555906","0.196145277245968","0.00187957903633003","4.01078516432395e-29","0.00188605327968074","0.0529526191813902"
"2","accuracy_.67276","2.13109568978978","0.00136708983354255","0.163214849033748","0.00156402036780577","9.1593387114032e-28","0.383248660937439","0.00427394733610637"
"3","accuracy_.67417","2.51936398496114","-0.00216792226685931","0.183224905079111","0.001755768455686","8.77244855200788e-30","0.218553745359871","0.00849237152345791"
"4","accuracy_.67486","1.31670463278372","0.00159055414318885","0.181922835166813","0.0017432912584506","1.3150695415517e-11","0.362799731819467","0.00465490356943244"
"5","accuracy_.67759","1.74926182875965","-0.00130192286489271","0.161888662512571","0.00155131207108577","3.01229884711849e-21","0.40246044211984","0.00394127832774446"
"6","accuracy_.68965","2.48307527069425","-0.00220183650797952","0.145724209762755","0.00139641480846036","3.0576259798441e-39","0.116622124787358","0.0137751765152304"
"7","accuracy_.68995","2.40685041121801","-0.0024860016048623","0.162135612968369","0.00155367849512741","5.82343623562235e-33","0.111355401643727","0.0141794171486741"
"8","accuracy_.69058","2.17014871208037","0.000174305066828599","0.17383587069656","0.00166579722393061","4.26984680481493e-26","0.916781169554749","6.15076366046344e-05"
"9","accuracy_.69076","2.13522814266904","-0.00011252344366727","0.18946555510961","0.00181557002284629","1.40228285718239e-22","0.950650745894452","2.15789668970467e-05"
"10","accuracy_.69160","2.50378091098801","-0.00399777560455428","0.166286970054728","0.00159345923245333","1.41701790826808e-33","0.0130054187465891","0.0341540928539282"
"11","accuracy_.69175","1.49234507455178","0.000774314152956334","0.189565448038482","0.00181652725545277","3.28050565400231e-13","0.670432929090567","0.00101973532512873"
"12","accuracy_.69199","2.03550313795655","-0.00181552179142027","0.167325416973336","0.00160341023961477","3.60964365203167e-25","0.259036462515151","0.00715116428315455"
"13","accuracy_.69220","1.98940915237807","0.000763228995171271","0.167239916057833","0.00160259091971769","2.1826994160243e-24","0.634482519602185","0.00127259827361713"
"14","accuracy_.69358","1.9970470587034","-0.0025396884196","0.158477263460563","0.00151862204544386","1.94228111745972e-26","0.0962094158104544","0.0154693026618466"
"15","accuracy_.69727","2.39033101184042","-0.00325186848318179","0.184258355960245","0.00176567158788746","1.6120249287337e-27","0.0671804948765595","0.018699420231027"
"16","accuracy_.69850","2.35970437957361","0.00185520730158624","0.196031930278173","0.00187849287923519","8.46842832591931e-25","0.324687130292244","0.00544969923187757"
"17","accuracy_.69853","2.46610558292863","-0.000832283980969358","0.162322819165765","0.00155547241466011","5.75301547658014e-34","0.593270434917748","0.00160583336457406"
"18","accuracy_.69862","1.89249944667023","-0.00256488098327572","0.162119340322625","0.00155352256109609","9.5902870061241e-24","0.100499786844118","0.0150826991955888"
