"","ID","coeff (Intercept)","coeff log(trial)","Std. Error (Intercept)","Std. Error log(trial)","P-value (Intercept)","P-value log(trial)","R-squared"
"1","accuracy_.67060","44.8201917770281","-6.70825725905655","6.24228230247644","1.44565943216291","1.82442424990341e-11","6.72582390976527e-06","0.107913193405561"
"2","accuracy_.67276","11.6938178664888","0.550364421413652","3.67282509769032","0.850595020839452","0.00171558093452198","0.518443060468976","0.00234646873225661"
"3","accuracy_.67417","28.5657804672282","-2.38980180116665","6.83398371063275","1.58269244032819","4.56559300819407e-05","0.132826796438772","0.0126468746827793"
"4","accuracy_.67486","12.5430964525195","-1.18504397965457","3.37197871013435","0.780921558998438","0.000267064742743624","0.130915964839007","0.0127717870041677"
"5","accuracy_.67759","10.5381728599971","-0.541004391822933","3.64446332960514","0.844026676833463","0.00431124950013586","0.522359938874537","0.00230286223884663"
"6","accuracy_.68965","18.9212484534182","-1.13747910926975","3.63695569602335","0.842287972818678","5.37112692983212e-07","0.178581829842314","0.0101418832324593"
"7","accuracy_.68995","14.4732174000896","-0.0519636693417124","5.40568607609322","1.25191086922096","0.00811340133526966","0.966937848641168","9.67895777520814e-06"
"8","accuracy_.69058","10.2258240703159","1.21847612537875","5.65548044817982","1.30976111895493","0.0722747886995659","0.353473626283793","0.00483864057137104"
"9","accuracy_.69076","13.3356030624231","0.128853020807142","4.04383655382331","0.936518115151666","0.0011767620209343","0.890722085662173","0.000106338531186935"
"10","accuracy_.69160","18.3355518213411","-1.03185133513077","4.83691861845404","1.12018916872734","0.000205437170062807","0.358223958225383","0.00474423531694936"
"11","accuracy_.69175","5.82699144490111","0.551428101791962","2.79829442049461","0.648061162077211","0.0387416253839142","0.395974207870587","0.0040510060711062"
"12","accuracy_.69199","13.4374113944564","-0.793892360533374","3.26579500336795","0.756330316598526","5.92212277851092e-05","0.29529587798963","0.00615177287546078"
"13","accuracy_.69220","9.4415941760105","0.906111707906585","5.02001270122107","1.16259219936573","0.0616334492153732","0.436785535507758","0.00340101941345886"
"14","accuracy_.69358","14.2990388951704","-1.21690496038947","3.31493749957762","0.767711300303374","2.65851314870214e-05","0.114716872216438","0.0139190635225564"
"15","accuracy_.69727","27.3390158513714","-2.73822796355846","6.8716539091566","1.59141653756837","0.000100795981298076","0.0870569903972181","0.0163601611271117"
"16","accuracy_.69850","7.68480042423986","3.46949221277323","6.98717453924977","1.61817013191276","0.272885440745836","0.033382969660819","0.0251761668954564"
"17","accuracy_.69853","12.0877941994671","0.999346502239973","4.15853224543083","0.963080660766606","0.00411649103533709","0.300837734990998","0.00601267477641862"
"18","accuracy_.69862","16.6359109040037","-1.98927493084417","2.69764018317886","0.624750497722132","4.553189764369e-09","0.0017142618082984","0.053888807772997"
