accuracy_ 67042,accuracy_ 67243,accuracy_ 67708,accuracy_ 68851,accuracy_ 68926,accuracy_ 69016,accuracy_ 69100,accuracy_ 69139,accuracy_ 69169,accuracy_ 69241,accuracy_ 69247,accuracy_ 69637,accuracy_ 69670,accuracy_ 69739,accuracy_ 69745,accuracy_ 69859,accuracy_ 70552
28,45.77777778,31.11111111,54.44444444,47.11111111,32.88888889,66.11111111,27.22222222,57.55555556,50,70,24.66666667,28,3.888888889,25.88888889,66.88888889,20.66666667
72,40.88888889,27.44444444,29.77777778,10.22222222,21.22222222,17.66666667,10.22222222,1.222222222,70.11111111,63.11111111,78.88888889,37.33333333,12.22222222,2.777777778,52.77777778,5.555555556
57.66666667,6.111111111,34.44444444,2.555555556,12.77777778,9.777777778,9.888888889,6.444444444,0.222222222,26.66666667,14.22222222,19.22222222,4.777777778,17.55555556,10.66666667,18.55555556,10.11111111
24,11.33333333,5.777777778,10.44444444,10.88888889,5.666666667,8.333333333,6,13.55555556,6,70.11111111,8.555555556,9.222222222,21.44444444,3.444444444,17.88888889,13.44444444
5.777777778,5.111111111,10.55555556,21.66666667,12.66666667,7,5.666666667,0.666666667,4.222222222,4.666666667,58.22222222,2,11.88888889,6.888888889,22.44444444,33.44444444,12.55555556
7.555555556,50.11111111,0.111111111,1.555555556,1.333333333,10.33333333,2.444444444,1.666666667,4.111111111,27.11111111,41.44444444,4.666666667,3.111111111,0.888888889,11.33333333,11.88888889,28.11111111
5.888888889,17.66666667,0.666666667,15.33333333,19.11111111,0.444444444,17.55555556,5.666666667,1.555555556,2.222222222,60.33333333,6.555555556,6.111111111,1.666666667,1.222222222,83.11111111,4.777777778
19.11111111,8.444444444,12,31.66666667,7.555555556,2.222222222,5.333333333,4.222222222,14,14.55555556,17.88888889,1.888888889,3.111111111,4.222222222,23.77777778,72.33333333,1.888888889
8.666666667,7.888888889,16.88888889,9,2.222222222,16.77777778,10.44444444,0.333333333,9.444444444,4.111111111,35.88888889,25.22222222,12.55555556,8.555555556,13.11111111,29.44444444,10.44444444
3.222222222,15,12.44444444,28.22222222,7.111111111,1.888888889,9.777777778,11.33333333,13.88888889,19.66666667,29.77777778,7.333333333,2.666666667,5.444444444,71.55555556,2,4.222222222
7.111111111,21.55555556,1.111111111,18.77777778,4,6.777777778,4.555555556,2.555555556,14.44444444,9.777777778,60.77777778,4,8.555555556,11.33333333,21.55555556,69.88888889,16.22222222
10,9.222222222,5.222222222,9.222222222,9.444444444,3.444444444,18.55555556,4.888888889,12.44444444,7,45.66666667,2.888888889,28.66666667,2.777777778,3.888888889,61.11111111,4.111111111
4.777777778,6,3.222222222,22.11111111,4.333333333,6.555555556,8.333333333,5.444444444,10,4.777777778,37.55555556,6.111111111,3.444444444,6.777777778,9.888888889,76.22222222,14
23.77777778,9.555555556,13.11111111,0.1,14,7.888888889,8.444444444,0.444444444,13.44444444,1.666666667,24.11111111,5.222222222,5.333333333,4.777777778,79.33333333,82.88888889,14.55555556
5.444444444,17.11111111,12.77777778,1.666666667,2.777777778,30,14.77777778,11,9.111111111,4.555555556,28.55555556,9.222222222,8.444444444,1.555555556,9.111111111,8.333333333,24
11.66666667,3.222222222,1.333333333,19.66666667,5.111111111,11.11111111,23.77777778,3.111111111,5.777777778,4.666666667,15.66666667,19.22222222,16.77777778,2.777777778,37,59.88888889,23.88888889
3,2.222222222,8,14.22222222,0.888888889,2.888888889,2.666666667,1.444444444,12,14.77777778,55.44444444,7.444444444,2.444444444,10.44444444,16.44444444,12.77777778,4.333333333
20.55555556,16.66666667,18,18,17.77777778,2.222222222,7.111111111,0.888888889,1.111111111,13.55555556,72,11,6.333333333,8.777777778,16.22222222,16.33333333,0.888888889
9.666666667,1.555555556,14.44444444,14.55555556,8.777777778,4,13.88888889,1.666666667,2.333333333,10.22222222,23,2.444444444,6.222222222,9.333333333,22.66666667,11.22222222,4.666666667
4,27.88888889,13,32.55555556,4.777777778,8.777777778,8.666666667,8.888888889,3.111111111,7.222222222,68.55555556,0.555555556,7.222222222,9.333333333,14,70.44444444,15.66666667
15,19.33333333,6.333333333,15.11111111,6.111111111,6.555555556,6,79.44444444,0.444444444,2.111111111,46.55555556,10.55555556,4.111111111,5.333333333,8.888888889,68.55555556,4
