accuracy_ 66961,accuracy_ 67072,accuracy_ 67120,accuracy_ 67360,accuracy_ 67378,accuracy_ 67567,accuracy_ 67672,accuracy_ 67684,accuracy_ 67765,accuracy_ 68812,accuracy_ 68818,accuracy_ 68932,accuracy_ 68977,accuracy_ 69094,accuracy_ 69298,accuracy_ 69478,accuracy_ 69592,accuracy_ 69610,accuracy_ 69622,accuracy_ 69844
73,14.55555556,68.44444444,50.55555556,88.44444444,21.66666667,14.55555556,31.11111111,46.33333333,40.66666667,26.77777778,86.11111111,15.55555556,52.44444444,24.55555556,0.333333333,22.22222222,29.11111111,71,55.66666667
14.44444444,24.77777778,13.44444444,53.33333333,1.777777778,31.66666667,10.55555556,16.66666667,21.88888889,17.44444444,5,57.33333333,7,1.111111111,7.222222222,26.11111111,48.88888889,52.88888889,57.77777778,0.666666667
17.44444444,22.11111111,3.777777778,42.22222222,2.888888889,32.77777778,0.444444444,17.33333333,8.333333333,22.33333333,17.55555556,26.22222222,13.44444444,9,8.222222222,35.88888889,40.77777778,4.111111111,16.22222222,3.555555556
1.444444444,10.44444444,12.44444444,53.88888889,24.33333333,42.77777778,4,0.444444444,15.88888889,20.11111111,46.55555556,1.111111111,66.77777778,5.555555556,2,10.55555556,18.11111111,14.33333333,24.11111111,2.666666667
3.222222222,22.33333333,0.222222222,33.33333333,7.777777778,52.22222222,15.66666667,2.222222222,81.77777778,5.333333333,17.11111111,8.666666667,9.666666667,7,7.666666667,21,13.22222222,3.555555556,4.888888889,7.333333333
14.44444444,4.666666667,74.11111111,41.11111111,11.44444444,56.11111111,3.444444444,33.55555556,7,8.888888889,8,0.333333333,3.777777778,9.111111111,4.444444444,22.22222222,6.777777778,5.666666667,14.88888889,1
1,9.222222222,28.22222222,23.88888889,2.444444444,43.88888889,5.222222222,12.22222222,1.777777778,0.444444444,32.88888889,0.888888889,1.777777778,3.111111111,2.666666667,4.777777778,6.666666667,8.444444444,2,1.444444444
2.888888889,5.222222222,14.22222222,72.22222222,2.555555556,39.44444444,1.111111111,11.77777778,3.444444444,8.333333333,31.44444444,6.777777778,1.666666667,2.888888889,10.11111111,13.88888889,7.333333333,5.222222222,2.111111111,2.555555556
12.55555556,6.777777778,8.777777778,52.77777778,6.555555556,69.77777778,24.22222222,9,3.555555556,5.555555556,48.88888889,3.888888889,11,23.33333333,2.777777778,26.77777778,0.666666667,11,8,2.888888889
8.222222222,25.55555556,13.33333333,20,4.333333333,9.222222222,3,19.55555556,2.222222222,7.444444444,14.55555556,50.22222222,5.444444444,9.777777778,7,0.1,5.222222222,18.55555556,0.111111111,10.11111111
