accuracy_ 21486,accuracy_ 21589,accuracy_ 22223,accuracy_ 66943,accuracy_ 67084,accuracy_ 67246,accuracy_ 67312,accuracy_ 67429,accuracy_ 67501,accuracy_ 67561,accuracy_ 68857,accuracy_ 68929,accuracy_ 68998,accuracy_ 69190,accuracy_ 69214,accuracy_ 69364,accuracy_ 69700,accuracy_ 69757
3.111111111,9.222222222,33.88888889,7,32.66666667,56.66666667,63.88888889,63.22222222,3.666666667,50.77777778,37,48.66666667,41.11111111,30.66666667,19.66666667,25.22222222,22.77777778,69.77777778
8.222222222,5.777777778,22.11111111,6.333333333,8.666666667,4.222222222,70,4,0.444444444,45.33333333,1.666666667,49.44444444,42,15.88888889,1.111111111,33.33333333,43.88888889,11.55555556
13.33333333,22.55555556,3.888888889,1,0.888888889,4,59.55555556,4.888888889,19.33333333,5.444444444,33.88888889,61.11111111,57.22222222,3.444444444,12.55555556,54,25.11111111,12.88888889
7.333333333,8.333333333,5.222222222,0.777777778,0.666666667,20.44444444,25.22222222,4.777777778,40.11111111,8,13.22222222,48.88888889,41.66666667,1.222222222,15.77777778,42.33333333,12.33333333,20.22222222
18.44444444,3.333333333,1.666666667,18.22222222,2.333333333,6.666666667,5.555555556,3.666666667,19.66666667,1.777777778,14.55555556,68.33333333,72.77777778,2.444444444,7,47.55555556,34.55555556,4.888888889
15.22222222,7.888888889,9.222222222,10.33333333,0.666666667,9.666666667,21.66666667,8.555555556,13.55555556,7.222222222,16.66666667,38.88888889,20.55555556,8.222222222,4.444444444,19.55555556,22.55555556,12.77777778
8.777777778,3.888888889,2,1.222222222,6.666666667,22.33333333,2.777777778,2.111111111,8.333333333,7.555555556,16.88888889,41.11111111,48.33333333,8.444444444,1.555555556,15.22222222,20.44444444,10.11111111
1.888888889,0.333333333,5.777777778,24,13,10,7.111111111,5.222222222,33.22222222,16.77777778,4.333333333,45.55555556,71.11111111,1,13.44444444,7.666666667,0.444444444,4.111111111
13.88888889,6.666666667,13.44444444,30.33333333,4.111111111,15,1.888888889,8.666666667,6,13.66666667,11.11111111,45,60.55555556,0.555555556,2.555555556,20,22.33333333,1.111111111
0.222222222,9.444444444,21.11111111,8.111111111,1.555555556,21.77777778,10.44444444,4.444444444,9.555555556,15.11111111,0.777777778,29.44444444,7.555555556,6.777777778,9,1.888888889,16.44444444,7.777777778
9.777777778,6.888888889,2.777777778,8.777777778,7.444444444,5.888888889,15.88888889,19.88888889,24.22222222,3.777777778,9.666666667,51.66666667,3.333333333,22.66666667,25.22222222,1.777777778,0.555555556,10.88888889
6.888888889,0.555555556,12.77777778,4,9.888888889,23,9.111111111,4,8.666666667,8.111111111,8.222222222,37.22222222,8.111111111,10.44444444,8.111111111,3.888888889,4.666666667,3.222222222
17,57,5.444444444,10.55555556,8.777777778,0.444444444,14.33333333,6.555555556,6.111111111,19.77777778,10.11111111,51.66666667,58.55555556,2.222222222,4.333333333,18.11111111,17.44444444,8
6.222222222,9.111111111,13.33333333,14.66666667,10,10.66666667,5.666666667,8.222222222,22.44444444,10.11111111,20.33333333,29.44444444,10.22222222,14.33333333,3.111111111,17.44444444,27.22222222,10.11111111
18.22222222,11.33333333,8.666666667,10,6,22.33333333,3.111111111,1.888888889,9.222222222,21.88888889,11.11111111,62.77777778,13.88888889,8.111111111,4.333333333,15.33333333,15,13
5.777777778,13.22222222,1.555555556,26.33333333,1.111111111,10.44444444,31.11111111,18.77777778,4.222222222,26,16.11111111,31.66666667,2.333333333,0.555555556,18.33333333,26.55555556,7.555555556,11.77777778
11,13.22222222,5.666666667,8,0.666666667,15.88888889,1.555555556,6,5.666666667,10.77777778,13.88888889,0.222222222,13.44444444,3.555555556,1.555555556,0.777777778,12.22222222,15.33333333
75.88888889,16.22222222,23.44444444,6.777777778,6.222222222,33.66666667,5.333333333,2.444444444,2,2.111111111,16.66666667,40.44444444,85.22222222,9.444444444,8.555555556,16.88888889,6.555555556,8.444444444
13.33333333,6.333333333,2,5.222222222,3.222222222,40.22222222,6,2.777777778,14.33333333,15.22222222,3,6.777777778,50.66666667,6.444444444,2.888888889,8.111111111,7.666666667,10.88888889
2.444444444,15.11111111,4,7.222222222,1.888888889,26,1.888888889,1.555555556,2.222222222,21.11111111,13.11111111,5.555555556,5.888888889,5.777777778,15.33333333,9.222222222,5.777777778,2.444444444
1.222222222,6.666666667,18.55555556,7.444444444,0.444444444,15.88888889,17,12.77777778,12.33333333,6.888888889,12,1.555555556,11.88888889,18.66666667,7.777777778,5.222222222,11.66666667,11.11111111
3.888888889,22.66666667,6.888888889,2.555555556,11.22222222,1.666666667,17,8.222222222,6.111111111,20.22222222,20.44444444,12.22222222,25.55555556,7.888888889,18.22222222,4.222222222,15.44444444,11.55555556
