"","ID","coeff (Intercept)","coeff distance","Std. Error (Intercept)","Std. Error distance","P-value (Intercept)","P-value distance","R-squared"
"1","c_distance_.67042","11.1373124298847","-0.0186614773808754","2.60700857121283","0.0543653988342965","3.14850913567337e-05","0.731807798766916","0.000661514699447486"
"2","c_distance_.67243","3.42219087597216","0.190970371386069","2.34300547466737","0.0475510483038387","0.145888435928784","8.71378272839502e-05","0.0830846921127844"
"3","c_distance_.67708","8.40995332069415","0.0439602477211103","2.27151863034826","0.0449470015651679","0.000284708862494283","0.329378818596601","0.00534528854401709"
"4","c_distance_.68851","3.34921949046915","0.133059413053471","1.80298027249369","0.0349609699831861","0.064877413653734","0.000194121907688581","0.0752535400786539"
"5","c_distance_.68926","5.23915059436797","0.101855680105556","2.09469219466123","0.0412433515007379","0.013281955211372","0.0144680288242335","0.0331292074054881"
"6","c_distance_.69016","6.41365422915839","0.170145490244803","3.22789861601763","0.0654716555475012","0.0484626579360872","0.0101403218630155","0.0365545439257832"
"7","c_distance_.69100","3.27827564811152","0.188439911582591","2.50757189009847","0.0479367026422222","0.19277985586532","0.000120983279303473","0.0798793028855975"
"8","c_distance_.69139","4.72156041103993","0.0639988055978349","2.79165919391708","0.0581580473530745","0.0925277160755487","0.272631165161945","0.00675708802409445"
"9","c_distance_.69169","6.47904440001596","0.0192425288513508","1.59211781429944","0.0322207634798601","7.07510129704795e-05","0.551126788026576","0.00199969293176515"
"10","c_distance_.69241","6.49403742600424","0.0639578561866307","2.19100297301704","0.0442027140352452","0.00345300027076936","0.149677662793146","0.0116249659434919"
"11","c_distance_.69247","9.96472514179951","0.213009590858296","4.53430253805096","0.0897415034944496","0.0292661546659359","0.0186814465840697","0.0306802362375984"
"12","c_distance_.69637","5.32770930770432","0.0095618440726494","1.92881899231418","0.0373395123815453","0.00634480783088099","0.798185972432806","0.000368269761788839"
"13","c_distance_.69670","14.606022969075","-0.0363497574708078","3.61752789356208","0.0726771676056926","8.01521388914435e-05","0.617584596768659","0.00140338598427841"
"14","c_distance_.69739","11.6760500737739","-0.00962457464470534","3.3572176226053","0.0682763388886694","0.000635211339657966","0.888056986702662","0.000111623119938597"
"15","c_distance_.69745","10.8839173735691","0.0559231936556289","2.9090780011622","0.0585087068202667","0.000246695987792585","0.340464648614362","0.00510622143484687"
"16","c_distance_.69859","25.8953331079583","-0.0689698403499523","5.80712013180444","0.114936264011044","1.45314616902874e-05","0.549222539574092","0.00201886193468277"
"17","c_distance_.70552","5.16175136541941","0.067392220222593","2.0172944239445","0.0398176705584631","0.0113371940118601","0.0922963849417227","0.0158385054195188"
