"","accuracy_ 67045","accuracy_ 67051","accuracy_ 67174","accuracy_ 67258","accuracy_ 67507","accuracy_ 67609","accuracy_ 67630","accuracy_ 69202","accuracy_ 69484","accuracy_ 69571","accuracy_ 69661","accuracy_ 69679","accuracy_ 69712","accuracy_ 70516"
"1",61.11111111,33.22222222,27.22222222,69.88888889,29.55555556,69.77777778,5.222222222,45.11111111,42.11111111,5.111111111,20.22222222,61.44444444,46.11111111,57.66666667
"2",12.66666667,5.777777778,69.44444444,10.66666667,18.77777778,0.333333333,9.555555556,28.66666667,36.66666667,5.222222222,1.888888889,7.666666667,31.33333333,7.111111111
"3",12.88888889,17.77777778,30.55555556,19.77777778,5.666666667,74.77777778,7.111111111,9.555555556,7.888888889,1.333333333,2.666666667,7.222222222,10.33333333,16.44444444
"4",20.88888889,3.666666667,9.777777778,10,9.111111111,88.77777778,26.44444444,0.666666667,1.111111111,0.111111111,24.22222222,20.22222222,8.888888889,24.88888889
"5",10.55555556,28.55555556,1.222222222,19.77777778,10.11111111,76.22222222,15.77777778,2.333333333,5.111111111,1.555555556,9.888888889,1.444444444,8.333333333,6.555555556
"6",26.77777778,13.44444444,1.888888889,15.11111111,2.888888889,2.111111111,18,11.22222222,1.222222222,4,13.33333333,8.666666667,17.66666667,0.222222222
"7",20.55555556,10.11111111,13.22222222,6.666666667,2.888888889,67.88888889,13.66666667,17.88888889,18,12.88888889,9.888888889,9.777777778,2.555555556,7.222222222
"8",7.888888889,1.222222222,18.77777778,10.22222222,8.222222222,18.66666667,2.555555556,3.555555556,14.77777778,11.88888889,0.111111111,20.33333333,7.888888889,9.333333333
"9",11.88888889,16.55555556,10.11111111,10.44444444,13.77777778,79.44444444,10.66666667,10.22222222,20.33333333,9,2.111111111,9.777777778,5.111111111,0.888888889
"10",20.88888889,9.888888889,19.33333333,8.333333333,1.333333333,43.22222222,7.555555556,0.666666667,17.77777778,7.555555556,11.55555556,5,12.66666667,8.333333333
"11",29.77777778,13.11111111,21.11111111,1.333333333,8.222222222,82.77777778,6.222222222,21,16.88888889,4.222222222,0.777777778,8,5.666666667,4.111111111
