"","accuracy_ 67060","accuracy_ 67276","accuracy_ 67417","accuracy_ 67486","accuracy_ 67759","accuracy_ 68965","accuracy_ 68995","accuracy_ 69058","accuracy_ 69076","accuracy_ 69160","accuracy_ 69175","accuracy_ 69199","accuracy_ 69220","accuracy_ 69358","accuracy_ 69727","accuracy_ 69850","accuracy_ 69853","accuracy_ 69862"
"1",68.88888889,18.66666667,50.66666667,5.444444444,14.88888889,21.77777778,58.66666667,6.555555556,7.333333333,21.77777778,19.66666667,13.22222222,50.55555556,16.55555556,52.11111111,6.666666667,7.222222222,55.22222222
"2",37.22222222,0.777777778,73.66666667,13.44444444,19,16.33333333,22.66666667,12.33333333,0.111111111,42.88888889,2.888888889,1.111111111,7.444444444,14.88888889,63.22222222,5.888888889,3.777777778,3.777777778
"3",45,33,10.22222222,0,13.33333333,26,11,20,21.66666667,1.444444444,8.777777778,19.44444444,3.111111111,21.88888889,19.11111111,1.444444444,12.33333333,22.55555556
"4",20.55555556,13.66666667,42.11111111,78.55555556,6.111111111,43.55555556,8.222222222,4.222222222,21.22222222,14.77777778,2.666666667,25.44444444,19,16.33333333,0.555555556,15.55555556,3.333333333,19.88888889
"5",28.88888889,16.88888889,18.88888889,11,0.444444444,18.55555556,3,6.333333333,3.777777778,1.444444444,1.555555556,5.111111111,5.111111111,43.11111111,2.333333333,4.222222222,8,8.888888889
"6",37.77777778,5.666666667,45.44444444,3.444444444,0.888888889,7.333333333,6,41.33333333,2.111111111,11.22222222,11.55555556,9.777777778,23.66666667,7.222222222,17.33333333,16.66666667,10.33333333,5.666666667
"7",28.88888889,4.666666667,5.555555556,12.11111111,9.666666667,10.11111111,5.111111111,2.666666667,21.66666667,33.77777778,3,8.333333333,3.222222222,4.777777778,1.555555556,27,0.444444444,18.55555556
"8",74.44444444,8,24.22222222,19.88888889,1.333333333,12.22222222,10.44444444,8.666666667,4,10.88888889,10.77777778,1.555555556,9.555555556,13.44444444,1.444444444,22.88888889,2,0.777777778
"9",29.44444444,9.555555556,7.555555556,5.444444444,14.22222222,4.777777778,6.666666667,28.66666667,8,15.88888889,14.44444444,6.888888889,8.666666667,13.66666667,10,1.555555556,11.11111111,15.77777778
"10",38.33333333,32.22222222,2.666666667,4.888888889,6.222222222,19.11111111,12.88888889,2.444444444,9.888888889,0.888888889,5,23.88888889,2.666666667,7.111111111,8.333333333,4.888888889,8.333333333,1.777777778
"11",77.44444444,5.888888889,2.444444444,22.11111111,3.777777778,13.44444444,11.88888889,1.111111111,15.88888889,8.777777778,11.11111111,6.555555556,2.555555556,18.66666667,63.77777778,15.77777778,9.111111111,10.88888889
"12",13.55555556,7.777777778,2.888888889,4.888888889,1.444444444,28.88888889,10.11111111,19.44444444,21.55555556,14.55555556,1,15.88888889,3.777777778,7.777777778,7.777777778,11.55555556,29.22222222,9.333333333
"13",20.77777778,15.77777778,4.111111111,3.222222222,11.44444444,26.33333333,4.222222222,15.33333333,41.66666667,6.555555556,0.111111111,4.666666667,8.444444444,8.222222222,3.888888889,4.777777778,24.44444444,6.111111111
"14",68.33333333,11.33333333,8,28.33333333,14,23.11111111,4.444444444,1.555555556,13.77777778,9.444444444,5.555555556,13.88888889,27.66666667,7,17.88888889,22.77777778,20.22222222,1.666666667
"15",48.33333333,17.11111111,55.66666667,7,3.555555556,10.22222222,8.333333333,1.222222222,5.222222222,15.55555556,12.88888889,5.666666667,1.444444444,6.666666667,1.222222222,24.88888889,7.111111111,4.888888889
"16",2.555555556,36.77777778,3.333333333,4.888888889,10.88888889,35.66666667,6,21.88888889,13,11.44444444,2.444444444,5.222222222,4.777777778,12.22222222,28.33333333,36.55555556,4.666666667,16.55555556
"17",18.11111111,8.666666667,15.88888889,3,8.222222222,4.111111111,6.666666667,2.666666667,6.333333333,5.333333333,0.111111111,0.555555556,2.888888889,13.22222222,16,84.55555556,65.11111111,2.333333333
"18",0.777777778,5.222222222,4.555555556,2.444444444,1.555555556,7,16.55555556,25.11111111,9.888888889,14.88888889,2,0.555555556,19,6.555555556,15.55555556,1.111111111,18,2.666666667
"19",0.666666667,9.666666667,10.22222222,1.444444444,7,14.55555556,9.444444444,25.66666667,8.222222222,0.222222222,8.555555556,0.111111111,52.11111111,15.33333333,9.555555556,20.77777778,33.88888889,14.77777778
"20",12.88888889,40.22222222,10.11111111,3.111111111,6.777777778,21,14.22222222,10.66666667,13.55555556,13.22222222,10,12.77777778,12,10.33333333,5.444444444,6.666666667,17.66666667,5.222222222
