"","distance_ 67060","distance_ 67276","distance_ 67417","distance_ 67486","distance_ 67759","distance_ 68965","distance_ 68995","distance_ 69058","distance_ 69076","distance_ 69160","distance_ 69175","distance_ 69199","distance_ 69220","distance_ 69358","distance_ 69727","distance_ 69850","distance_ 69853","distance_ 69862"
"1",-68.88888889,33.33333333,-56.66666667,70.55555556,28.88888889,-57.22222222,56.66666667,55.55555556,-21.66666667,57.77777778,-68.33333333,22.22222222,-50.55555556,30.55555556,-56.11111111,48.33333333,52.77777778,47.77777778
"2",-37.22222222,-52.77777778,73.33333333,-55.55555556,30,-51.66666667,-66.66666667,-33.33333333,21.11111111,-28.88888889,-53.88888889,-66.11111111,-60.55555556,-61.11111111,-47.22222222,-23.88888889,-52.77777778,47.22222222
"3",-45,-40,-22.77777778,-55,68.33333333,-75,20,35,-21.66666667,-55.55555556,57.22222222,64.44444444,-73.88888889,-43.88888889,71.11111111,59.44444444,46.66666667,-45.55555556
"4",-20.55555556,-36.66666667,26.11111111,40.55555556,61.11111111,29.44444444,22.77777778,52.77777778,-52.22222222,-52.77777778,23.33333333,-74.44444444,-40,41.66666667,-29.44444444,44.44444444,-21.66666667,61.11111111
"5",28.88888889,-38.88888889,-53.88888889,45,35.55555556,-40.55555556,-35,-26.66666667,-67.77777778,45.55555556,65.55555556,41.11111111,58.88888889,38.88888889,-28.33333333,-42.22222222,45,-31.11111111
"6",37.77777778,26.66666667,69.44444444,25.55555556,-23.88888889,-28.33333333,-30,-41.66666667,-21.11111111,-67.77777778,70.55555556,-52.77777778,71.66666667,42.77777778,-61.66666667,-28.33333333,-58.33333333,31.66666667
"7",-28.88888889,36.66666667,-45.55555556,41.11111111,21.66666667,31.11111111,-63.88888889,71.66666667,21.66666667,32.22222222,-55,-28.33333333,-62.77777778,52.22222222,35.55555556,-35,-39.44444444,-55.55555556
"8",74.44444444,40,-57.22222222,71.11111111,41.66666667,52.77777778,-34.44444444,73.33333333,75,21.11111111,32.22222222,-30.55555556,-39.44444444,-40.55555556,-55.55555556,63.88888889,35,72.77777778
"9",29.44444444,-69.44444444,-64.44444444,-60.55555556,67.22222222,-57.22222222,61.66666667,33.33333333,40,-56.11111111,-20.55555556,-21.11111111,-63.33333333,31.66666667,-35,59.44444444,73.88888889,72.77777778
"10",38.33333333,-67.22222222,-46.66666667,43.88888889,-57.22222222,53.88888889,-68.88888889,-25.55555556,43.88888889,48.88888889,-55,23.88888889,28.33333333,-58.88888889,58.33333333,26.11111111,43.33333333,-27.77777778
"11",55.55555556,68.88888889,55.55555556,-71.11111111,47.77777778,39.44444444,66.11111111,53.88888889,-21.11111111,-52.22222222,53.88888889,60.55555556,-39.44444444,-71.66666667,57.22222222,-42.77777778,-26.11111111,23.88888889
"12",-55.55555556,-22.77777778,-36.11111111,-33.88888889,-45.55555556,-43.88888889,66.11111111,54.44444444,-74.44444444,-54.44444444,25,-66.11111111,-67.22222222,-67.77777778,-37.77777778,-50.55555556,-72.77777778,66.66666667
"13",-52.77777778,47.77777778,53.88888889,-52.22222222,74.44444444,-38.33333333,-42.77777778,-28.33333333,33.33333333,-49.44444444,26.11111111,73.33333333,-54.44444444,-72.77777778,38.88888889,57.22222222,59.44444444,-31.11111111
"14",-28.33333333,73.33333333,30,-63.33333333,65,46.11111111,-39.44444444,45.55555556,-62.77777778,40.55555556,34.44444444,-23.88888889,61.66666667,60,41.11111111,-52.77777778,62.22222222,66.66666667
"15",33.33333333,-66.11111111,28.33333333,25,-44.44444444,52.22222222,-31.66666667,-52.22222222,-57.22222222,54.44444444,-68.88888889,-21.66666667,-40.55555556,-21.66666667,-72.22222222,58.88888889,-26.11111111,-58.88888889
"16",24.44444444,-57.77777778,-53.33333333,-71.11111111,73.88888889,71.66666667,-45,-73.88888889,-40,-44.44444444,54.44444444,22.22222222,47.22222222,-32.77777778,43.33333333,-64.44444444,-66.66666667,-70.55555556
"17",-66.11111111,31.66666667,-23.88888889,-75,27.22222222,-31.11111111,-41.66666667,-48.33333333,-43.33333333,-71.66666667,41.11111111,-55.55555556,-58.88888889,72.77777778,75,50.55555556,-36.11111111,36.66666667
"18",-22.77777778,-22.22222222,44.44444444,30.55555556,34.44444444,25,-24.44444444,73.88888889,-26.11111111,-61.11111111,35,-50.55555556,-40,40.55555556,-65.55555556,-23.88888889,-60,43.33333333
"19",21.66666667,-36.66666667,47.22222222,-59.44444444,-60,-45.55555556,44.44444444,71.66666667,-42.22222222,-72.22222222,-55.55555556,-21.11111111,61.11111111,-33.33333333,24.44444444,62.77777778,51.11111111,27.77777778
"20",-53.88888889,67.22222222,-38.88888889,-33.88888889,-47.77777778,45,22.77777778,21.66666667,-65.55555556,22.77777778,35,42.77777778,-55,-38.33333333,-49.44444444,23.33333333,31.66666667,52.22222222
"21",52.22222222,-22.22222222,-61.11111111,24.44444444,41.66666667,-72.22222222,44.44444444,31.66666667,-32.22222222,-70.55555556,-56.66666667,-38.33333333,25.55555556,-23.33333333,-52.22222222,-70.55555556,-27.77777778,66.11111111
"22",-29.44444444,58.33333333,34.44444444,-33.33333333,55.55555556,-68.88888889,-48.33333333,62.22222222,-35.55555556,66.66666667,66.11111111,-33.33333333,-23.88888889,22.22222222,52.22222222,-36.66666667,24.44444444,-74.44444444
"23",-26.66666667,31.11111111,-26.11111111,-53.88888889,-50,47.22222222,40,72.77777778,-23.88888889,-26.11111111,-61.66666667,23.88888889,68.33333333,28.88888889,-34.44444444,-31.11111111,-50.55555556,-59.44444444
"24",51.11111111,-53.33333333,-67.22222222,-35.55555556,60,52.22222222,-37.22222222,60.55555556,-67.77777778,-60.55555556,-47.77777778,-65,66.66666667,-50.55555556,68.33333333,48.33333333,-68.88888889,-52.77777778
"25",-20.55555556,-71.11111111,-71.66666667,-57.22222222,-48.88888889,32.77777778,-32.22222222,-71.11111111,66.66666667,-27.77777778,-70.55555556,-26.11111111,-60,-27.22222222,-31.66666667,42.77777778,70.55555556,72.22222222
"26",-70.55555556,33.88888889,24.44444444,-31.11111111,35.55555556,36.11111111,-60,58.33333333,-44.44444444,-27.77777778,24.44444444,-23.88888889,-69.44444444,-65,58.33333333,-53.88888889,-57.77777778,52.22222222
"27",53.88888889,-43.33333333,33.33333333,-27.77777778,-34.44444444,22.77777778,-26.11111111,-45,-63.33333333,37.22222222,-23.88888889,-31.66666667,30,70,55.55555556,-44.44444444,-61.11111111,71.66666667
"28",26.11111111,-35,50,-53.33333333,-65,-60.55555556,-26.11111111,-70.55555556,40,-26.11111111,34.44444444,65,48.88888889,-62.22222222,-47.22222222,64.44444444,-36.11111111,35
"29",28.33333333,-46.11111111,-48.33333333,22.77777778,-68.33333333,-20.55555556,53.88888889,53.33333333,22.22222222,-44.44444444,37.22222222,53.88888889,40.55555556,43.88888889,51.11111111,25.55555556,-73.88888889,-67.77777778
"30",-27.22222222,34.44444444,-47.22222222,-46.11111111,73.33333333,-24.44444444,50,-27.22222222,-58.33333333,-71.66666667,42.22222222,-63.33333333,-59.44444444,61.66666667,-71.66666667,-20.55555556,-55.55555556,-22.77777778
"31",67.22222222,-66.66666667,41.66666667,-64.44444444,73.33333333,59.44444444,27.22222222,59.44444444,67.22222222,44.44444444,-72.77777778,47.77777778,38.33333333,39.44444444,65,26.11111111,-22.77777778,59.44444444
"32",-75,-57.22222222,-47.22222222,74.44444444,-53.88888889,-63.33333333,42.22222222,48.33333333,-25.55555556,56.66666667,51.11111111,-27.22222222,-71.66666667,-31.11111111,63.88888889,65,22.22222222,37.22222222
"33",50.55555556,60,33.88888889,57.22222222,42.22222222,-21.66666667,-57.22222222,-64.44444444,49.44444444,-62.22222222,-71.11111111,57.22222222,-66.11111111,40.55555556,-32.22222222,-32.77777778,52.77777778,62.22222222
"34",57.77777778,61.66666667,-58.33333333,51.66666667,-59.44444444,33.33333333,-20,44.44444444,47.77777778,-67.22222222,-22.77777778,23.33333333,54.44444444,-46.11111111,48.33333333,-67.22222222,-33.33333333,40
"35",48.88888889,-28.33333333,-22.77777778,-72.22222222,64.44444444,-69.44444444,-32.22222222,-21.66666667,-47.77777778,-45.55555556,33.33333333,-42.22222222,47.77777778,31.66666667,-58.88888889,-46.66666667,-34.44444444,-57.22222222
"36",-58.33333333,-40.55555556,72.22222222,-21.11111111,-64.44444444,-50,45,-62.77777778,-62.77777778,-72.77777778,62.22222222,61.66666667,-23.88888889,-25.55555556,-31.66666667,61.11111111,32.77777778,-42.22222222
"37",-40.55555556,-48.88888889,48.88888889,71.11111111,-30,50.55555556,-37.77777778,-41.11111111,66.66666667,-70.55555556,-47.22222222,-62.22222222,-38.88888889,-75,51.11111111,27.77777778,-35.55555556,-73.33333333
"38",-30,-48.88888889,70,39.44444444,-53.33333333,53.33333333,75,-45.55555556,26.66666667,-72.22222222,21.66666667,-35.55555556,43.88888889,48.88888889,47.77777778,-43.88888889,57.77777778,-58.88888889
"39",28.33333333,60.55555556,40,-68.88888889,-21.66666667,-50.55555556,50.55555556,35.55555556,-25,35,65,-34.44444444,45,31.11111111,59.44444444,-30,-44.44444444,-44.44444444
"40",-28.88888889,48.88888889,74.44444444,22.22222222,-75,47.22222222,56.66666667,-23.88888889,24.44444444,-61.11111111,41.66666667,52.22222222,31.11111111,-48.33333333,-46.11111111,31.66666667,54.44444444,48.33333333
"41",20,-26.66666667,26.66666667,71.66666667,-23.33333333,20,31.11111111,32.77777778,-28.88888889,-46.11111111,-32.22222222,36.11111111,-40,-20,-47.22222222,68.33333333,-53.33333333,-38.33333333
"42",-32.22222222,22.77777778,-23.88888889,32.77777778,-27.22222222,-70,-26.66666667,39.44444444,-20.55555556,-61.11111111,-53.33333333,-42.77777778,-33.88888889,26.66666667,74.44444444,-41.11111111,-40,-35.55555556
"43",38.33333333,-20.55555556,-31.11111111,72.22222222,-67.77777778,48.33333333,-41.11111111,-63.88888889,67.77777778,-25,-55,50,48.33333333,-56.66666667,58.33333333,57.77777778,-55,47.77777778
"44",43.88888889,-69.44444444,55.55555556,62.22222222,-56.11111111,31.11111111,-30,71.66666667,21.11111111,26.11111111,-42.77777778,73.88888889,-49.44444444,45.55555556,-63.88888889,29.44444444,35.55555556,-39.44444444
"45",-39.44444444,-28.33333333,67.77777778,-25,-29.44444444,-58.33333333,42.77777778,-45.55555556,58.88888889,20.55555556,40.55555556,56.11111111,68.33333333,67.77777778,-20,30.55555556,-68.88888889,39.44444444
"46",52.22222222,-50.55555556,29.44444444,-46.66666667,-40,68.33333333,66.11111111,42.77777778,36.11111111,71.66666667,-46.66666667,-36.66666667,30.55555556,51.11111111,-48.33333333,54.44444444,-55.55555556,-69.44444444
"47",41.66666667,-37.77777778,-40,-23.33333333,-53.88888889,-60.55555556,69.44444444,24.44444444,42.77777778,-26.11111111,50,52.22222222,-30.55555556,-47.77777778,25,63.33333333,-55.55555556,47.77777778
"48",-49.44444444,-26.66666667,-56.66666667,-41.66666667,75,-26.11111111,-20.55555556,-50.55555556,42.22222222,-30,45.55555556,-28.33333333,45,-62.77777778,-67.77777778,26.66666667,63.33333333,-20.55555556
"49",-48.33333333,-44.44444444,28.33333333,-36.66666667,-70.55555556,55.55555556,-33.88888889,-36.11111111,-52.77777778,-57.22222222,-45,-49.44444444,30,-70,23.88888889,40.55555556,24.44444444,-41.66666667
"50",-47.22222222,-70,-54.44444444,39.44444444,65.55555556,-35.55555556,-31.11111111,-62.22222222,-34.44444444,-67.77777778,31.66666667,-30.55555556,-48.33333333,71.11111111,-23.88888889,21.11111111,75,47.77777778
"51",40,44.44444444,-36.11111111,66.11111111,-30.55555556,43.33333333,-25,66.66666667,72.22222222,-68.33333333,32.77777778,20,-28.33333333,20,-37.77777778,-31.11111111,-33.33333333,58.33333333
"52",-21.11111111,30.55555556,-38.33333333,-52.22222222,-25.55555556,38.33333333,-36.66666667,-50.55555556,-27.77777778,-57.77777778,25.55555556,21.11111111,72.22222222,-30.55555556,33.33333333,41.66666667,-60,-69.44444444
"53",-32.22222222,-40.55555556,-26.66666667,62.22222222,66.66666667,-65.55555556,73.33333333,-49.44444444,-21.11111111,40,43.33333333,74.44444444,-25.55555556,51.11111111,-70.55555556,-51.11111111,68.88888889,-59.44444444
"54",-54.44444444,-67.22222222,-68.88888889,-44.44444444,-25.55555556,38.88888889,69.44444444,-36.11111111,-61.66666667,-28.88888889,-63.33333333,-42.77777778,-40.55555556,46.11111111,48.88888889,38.88888889,-26.11111111,44.44444444
"55",-38.33333333,67.22222222,74.44444444,40,-53.88888889,37.77777778,36.11111111,-62.77777778,-48.33333333,-45,-26.66666667,68.33333333,72.77777778,68.33333333,39.44444444,-63.33333333,-46.11111111,29.44444444
"56",74.44444444,61.66666667,-46.11111111,47.22222222,-72.77777778,-53.88888889,63.88888889,-57.77777778,-53.33333333,-40.55555556,-27.77777778,-56.66666667,-50.55555556,55,-21.11111111,54.44444444,-56.11111111,-51.66666667
"57",25.55555556,-74.44444444,-71.66666667,-36.11111111,36.66666667,-45,-25,36.11111111,-55.55555556,21.11111111,-48.33333333,22.77777778,-67.22222222,-33.33333333,-65,67.22222222,-33.88888889,55.55555556
"58",51.11111111,-33.33333333,27.77777778,35.55555556,63.88888889,36.11111111,48.88888889,-52.22222222,-27.77777778,58.88888889,-40,-38.33333333,68.88888889,-59.44444444,-31.11111111,-42.77777778,-59.44444444,71.66666667
"59",-53.88888889,-62.22222222,31.11111111,41.11111111,-28.88888889,-46.11111111,-20,52.22222222,68.88888889,55,-33.88888889,43.88888889,27.22222222,20,-50.55555556,63.88888889,61.11111111,-65
"60",27.22222222,-35,-56.11111111,40,60,-26.11111111,43.88888889,48.33333333,-48.33333333,-73.88888889,-60,53.88888889,-55.55555556,25.55555556,-38.33333333,-62.77777778,63.33333333,-72.77777778
"61",-32.77777778,-65,-20,-57.22222222,30.55555556,22.77777778,-25,-73.33333333,45.55555556,62.77777778,71.66666667,-59.44444444,32.77777778,27.77777778,61.11111111,-68.33333333,-21.66666667,34.44444444
"62",59.44444444,-40,22.77777778,32.77777778,-52.22222222,-65,30,-22.22222222,71.11111111,40,-69.44444444,57.77777778,-37.22222222,-66.11111111,37.77777778,-59.44444444,-43.33333333,73.33333333
"63",46.11111111,32.22222222,47.77777778,57.22222222,-75,-26.66666667,-25,22.77777778,-26.11111111,33.88888889,50,-38.33333333,-50,70.55555556,35,69.44444444,-50,24.44444444
"64",-35,47.22222222,-50,35,22.77777778,35.55555556,-30.55555556,68.88888889,52.22222222,67.22222222,-69.44444444,23.33333333,-68.88888889,50.55555556,-70.55555556,41.11111111,63.88888889,73.88888889
"65",-57.77777778,-27.22222222,47.77777778,21.11111111,-24.44444444,-55,47.22222222,26.66666667,-57.22222222,38.33333333,-23.88888889,-71.11111111,-21.66666667,-69.44444444,-61.11111111,-40,66.66666667,-31.11111111
"66",34.44444444,66.66666667,-59.44444444,-26.11111111,48.88888889,-20.55555556,-21.11111111,-56.11111111,-68.88888889,54.44444444,-53.33333333,-43.88888889,-69.44444444,-33.88888889,-47.77777778,27.22222222,-40,-60
"67",-25,-42.22222222,-31.66666667,-60,-33.33333333,-23.88888889,72.22222222,20.55555556,55.55555556,27.77777778,-67.77777778,-38.33333333,41.11111111,-67.77777778,60.55555556,-24.44444444,-36.11111111,-45.55555556
"68",-27.22222222,-68.88888889,-35,49.44444444,41.11111111,-41.66666667,57.77777778,-54.44444444,38.33333333,68.33333333,42.22222222,-36.11111111,-51.66666667,-55.55555556,-40,28.88888889,72.77777778,-51.11111111
"69",-70.55555556,63.88888889,-29.44444444,-22.22222222,-57.22222222,48.88888889,-21.66666667,-38.33333333,-48.33333333,51.11111111,28.88888889,-42.77777778,-36.11111111,73.88888889,-20,-27.77777778,-58.33333333,-32.77777778
"70",61.11111111,28.33333333,70.55555556,21.11111111,-26.11111111,41.11111111,-73.33333333,-53.88888889,45.55555556,-40,-68.88888889,-66.66666667,28.33333333,26.11111111,22.22222222,28.33333333,-67.22222222,57.22222222
"71",-31.66666667,-49.44444444,26.11111111,-29.44444444,32.22222222,-38.33333333,40.55555556,31.11111111,68.33333333,41.11111111,38.33333333,-63.33333333,-39.44444444,-60.55555556,-27.22222222,57.22222222,21.11111111,-41.66666667
"72",55,-43.33333333,-47.22222222,49.44444444,56.66666667,66.66666667,65.55555556,44.44444444,66.66666667,-40,-72.22222222,-66.11111111,69.44444444,55.55555556,-25.55555556,70.55555556,58.33333333,-63.33333333
"73",40,47.22222222,28.88888889,25.55555556,62.77777778,-54.44444444,64.44444444,-35.55555556,-51.11111111,-57.77777778,51.11111111,-43.33333333,-63.33333333,-23.33333333,59.44444444,-40,65,-58.88888889
"74",-39.44444444,-47.77777778,-46.66666667,20,55.55555556,-42.22222222,-47.77777778,-67.22222222,66.11111111,-70,50,-66.11111111,-58.33333333,-27.77777778,26.11111111,39.44444444,-35.55555556,26.11111111
"75",-53.88888889,-67.77777778,-50,51.11111111,-73.88888889,49.44444444,68.33333333,44.44444444,-62.22222222,24.44444444,-47.77777778,28.88888889,-60.55555556,48.33333333,41.66666667,68.33333333,59.44444444,-38.88888889
"76",50,22.22222222,43.33333333,56.66666667,-47.22222222,-62.22222222,-31.11111111,-47.77777778,50.55555556,-36.66666667,-63.33333333,-45,-33.88888889,52.77777778,-46.66666667,-72.77777778,67.22222222,21.11111111
"77",23.88888889,-52.77777778,37.22222222,39.44444444,-22.22222222,73.88888889,-45.55555556,30.55555556,-54.44444444,-73.33333333,36.66666667,-65.55555556,34.44444444,-27.77777778,26.66666667,75,65.55555556,-66.66666667
"78",-50,-49.44444444,45,58.88888889,-68.33333333,33.88888889,70,37.77777778,-21.66666667,40.55555556,38.33333333,-64.44444444,43.33333333,-66.66666667,-31.11111111,-45,60.55555556,-51.11111111
"79",47.77777778,-20,-52.77777778,41.66666667,62.22222222,-29.44444444,-40.55555556,-68.88888889,-61.66666667,70.55555556,31.11111111,28.88888889,26.66666667,-26.66666667,42.22222222,71.66666667,26.11111111,40.55555556
"80",-54.44444444,20,31.66666667,-66.11111111,-33.88888889,-55,26.11111111,-57.22222222,47.77777778,-51.11111111,-28.88888889,-65,42.22222222,-43.33333333,27.77777778,58.88888889,-38.33333333,67.77777778
"81",32.77777778,73.33333333,60.55555556,-54.44444444,-46.66666667,-56.11111111,-35,-22.22222222,36.66666667,70.55555556,-58.33333333,-30,52.77777778,-50,-37.77777778,37.77777778,51.11111111,-33.88888889
"82",-40,56.66666667,-32.22222222,21.66666667,61.11111111,-36.11111111,-71.66666667,-20,60,35,-46.11111111,-67.77777778,-72.77777778,-38.88888889,51.66666667,25,26.66666667,31.11111111
"83",28.33333333,-40,36.66666667,36.11111111,-30,-68.33333333,-28.88888889,31.11111111,-20,24.44444444,-32.77777778,46.11111111,-25.55555556,72.77777778,63.33333333,24.44444444,53.88888889,-47.77777778
"84",-50.55555556,43.88888889,62.77777778,-68.88888889,-53.33333333,24.44444444,-20.55555556,-36.11111111,-47.22222222,-27.77777778,-60,-68.33333333,-23.88888889,46.11111111,-75,-45.55555556,36.11111111,-42.77777778
"85",-23.33333333,50,55.55555556,-56.66666667,-68.88888889,-36.11111111,-42.22222222,-64.44444444,57.22222222,-70,-20,-47.22222222,-54.44444444,-30,26.66666667,-26.11111111,33.33333333,23.33333333
"86",-34.44444444,68.33333333,-38.88888889,-22.22222222,72.22222222,-65,30,-67.77777778,-29.44444444,-47.22222222,-71.11111111,21.66666667,-33.33333333,50.55555556,27.22222222,-33.88888889,64.44444444,-23.33333333
"87",53.33333333,-65,-27.22222222,25,-40,-54.44444444,47.77777778,28.33333333,56.66666667,61.11111111,46.11111111,-60,-73.33333333,-55,41.11111111,63.88888889,-72.22222222,-63.88888889
"88",-46.11111111,63.33333333,36.66666667,-39.44444444,31.11111111,-73.33333333,-54.44444444,-70,-56.66666667,28.33333333,-55,-37.77777778,60,50.55555556,24.44444444,-74.44444444,60.55555556,66.11111111
