0,blocks,TT,TP,BT,BP,N,,three,four
,1,0.350192717,0.430321258,0.411547057,0.397732176,0.383588393,,1,1
,2,0.281175292,0.378100907,0.316476817,0.329263304,0.248632234,,1,1
,3,0.312333369,0.353631036,0.262702849,0.329085454,0.275209653,,1,1
,4,0.32779365,0.311223315,0.284182428,0.240861835,0.243606216,,2,1
,5,0.374937052,0.312333834,0.291671039,0.26178426,0.250113773,,2,2
,6,0.337875843,0.321958964,0.310049531,0.255621646,0.279888178,,2,2
,7,0.298962079,0.325940352,0.285492073,0.213575251,0.258381699,,3,2
,8,0.302514524,0.395515576,0.282451974,0.262227394,0.256047502,,3,2
,9,0.305673523,0.348581561,0.277135738,0.273007803,0.282688407,,3,3
,10,0.26750895,0.348044714,0.27223075,0.222488531,0.260328428,,4,3
,11,0.291616234,0.355846669,0.29575703,0.24743505,0.280885345,,4,3
,12,0.272453979,0.314458468,0.264048445,0.261077629,0.245841157,,4,3
