group,frequency,feedback,intercept,,,,
loginterceptTT,Trial,Genuine,-0.991306466,,,,
loginterceptTT,Trial,Genuine,-1.6192027,,,,
loginterceptTT,Trial,Genuine,-1.241640272,,,,
loginterceptTT,Trial,Genuine,-1.272027661,,,,
loginterceptTT,Trial,Genuine,-1.25814163,,,,
loginterceptTT,Trial,Genuine,-1.318767983,,,,
loginterceptTT,Trial,Genuine,-2.275156594,,,,
loginterceptTT,Trial,Genuine,-1.422379022,,,,
loginterceptTT,Trial,Genuine,-1.970531503,,,,
loginterceptTT,Trial,Genuine,-1.674233929,,,,
loginterceptTT,Trial,Genuine,-1.848403018,,,,
loginterceptTT,Trial,Genuine,-1.757806681,,,,
loginterceptTT,Trial,Genuine,-1.629146232,,,,
loginterceptTT,Trial,Genuine,-1.593274738,,,,
loginterceptTT,Trial,Genuine,-1.400347009,,,,
loginterceptTT,Trial,Genuine,-1.362919419,,,,
loginterceptTT,Trial,Genuine,-2.40318155, ,,,
loginterceptTT,Trial,Genuine,-2.095993988, ,,,
loginterceptTT,Trial,Genuine,-1.618581133, ,,,
loginterceptTP,Trial,Positive,-1.917729958, ,, , 
loginterceptTP,Trial,Positive,-2.025770247, ,, , 
loginterceptTP,Trial,Positive,-1.759656556,,,,
loginterceptTP,Trial,Positive,-2.019462279,,,,
loginterceptTP,Trial,Positive,-1.669294581,,,,
loginterceptTP,Trial,Positive,-2.143199542,,,,
loginterceptTP,Trial,Positive,-2.230975677,,,,
loginterceptTP,Trial,Positive,-1.760885818,,,,
loginterceptTP,Trial,Positive,-1.929191903,,,,
loginterceptTP,Trial,Positive,-1.281485599,,,,
loginterceptTP,Trial,Positive,-2.089556703,,,,
loginterceptTP,Trial,Positive,-2.02583954,,,,
loginterceptTP,Trial,Positive,-1.937783292,,,,
loginterceptTP,Trial,Positive,-0.826973109,,,,
loginterceptTP,Trial,Positive,-1.52186396,,,,
loginterceptTP,Trial,Positive,-1.809311251,,,,
loginterceptBT,Block,Genuine,-1.855026725,,,,
loginterceptBT,Block,Genuine,-1.647630077,,,,
loginterceptBT,Block,Genuine,-1.914100113,,,,
loginterceptBT,Block,Genuine,-0.986628249,,,,
loginterceptBT,Block,Genuine,-1.940502863,,,,
loginterceptBT,Block,Genuine,-2.061608015,,,,
loginterceptBT,Block,Genuine,-1.788242301,,,,
loginterceptBT,Block,Genuine,-1.496035209,,,,
loginterceptBT,Block,Genuine,-1.432848077,,,,
loginterceptBT,Block,Genuine,-2.019338534,,,,
loginterceptBT,Block,Genuine,-1.757702314,,,,
loginterceptBT,Block,Genuine,-2.18636617,,,,
loginterceptBT,Block,Genuine,-0.908307164,,,,
loginterceptBT,Block,Genuine,-0.987056049,,,,
loginterceptBT,Block,Genuine,-2.029681044,,,,
loginterceptBT,Block,Genuine,-1.754111934,,,,
loginterceptBT,Block,Genuine,-1.91704664,,,,
loginterceptBT,Block,Genuine,-1.985400441,,,,
loginterceptBT,Block,Genuine,-1.726298781,,,,
loginterceptBT,Block,Genuine,-1.620722754,,,,
loginterceptBT,Block,Genuine,-1.700732673,,,,
loginterceptBP,Block,Positive,-1.412730663,,,,
loginterceptBP,Block,Positive,-1.760250217,,,,
loginterceptBP,Block,Positive,-1.903382292,,,,
loginterceptBP,Block,Positive,-2.051053314,,,,
loginterceptBP,Block,Positive,-0.425028477,,,,
loginterceptBP,Block,Positive,-2.093004505,,,,
loginterceptBP,Block,Positive,-0.616706277,,,,
loginterceptBP,Block,Positive,-1.654991057,,,,
loginterceptBP,Block,Positive,-2.354911348,,,,
loginterceptBP,Block,Positive,-1.545152394,,,,
loginterceptBP,Block,Positive,-1.914711654,,,,
loginterceptBP,Block,Positive,-2.522385627,,,,
loginterceptBP,Block,Positive,-1.644027796,,,,
loginterceptBP,Block,Positive,-1.77392694,,,,
loginterceptBP,Block,Positive,-1.961781709,,,,
loginterceptBP,Block,Positive,-1.453022433,,,,
loginterceptBP,Block,Positive,-1.945591765,,,,
loginterceptBP,Block,Positive,-1.97541961,,,,
loginterceptBP,Block,Positive,-1.722671004,,,,
loginterceptN,None,None,-1.915875851,,,,
loginterceptN,None,None,-1.871409089,,,,
loginterceptN,None,None,-1.999256507,,,,
loginterceptN,None,None,-1.739723788,,,,
loginterceptN,None,None,-1.815014679,,,,
loginterceptN,None,None,-1.563017939,,,,
loginterceptN,None,None,-1.637663846,,,,
loginterceptN,None,None,-1.400639668,,,,
loginterceptN,None,None,-2.024113253,,,,
loginterceptN,None,None,-1.609066737,,,,
loginterceptN,None,None,-1.355746687,,,,
loginterceptN,None,None,-1.95325942,,,,
loginterceptN,None,None,-1.929271158,,,,
loginterceptN,None,None,-2.466386668,,,,
loginterceptN,None,None,-1.364548346,,,,
loginterceptN,None,None,-1.43129194,,,,
loginterceptN,None,None,-1.921332446,,,,
loginterceptN,None,None,-1.801524776,,,,
loginterceptN,None,None,-1.766619044,,,,
