"","x"
"1",-0.00127838526098523
"2",0.0023112130581941
"3",-0.0201119683369512
"4",-0.0143761941598063
"5",-0.00063107304229261
"6",0.00234911369823396
"7",-0.0281484184324246
"8",-0.00796775101499413
"9",-0.00590454796346971
"10",-0.0295729740037638
"11",-0.00693969165262699
"12",-0.0496805402452748
"13",-0.0064893734589608
"14",-0.00829607585056607
"15",-0.00300878674604702
"16",-0.00634039783078291
"17",-0.0028485392756954
"18",0.00103950526632338
"19",-0.00380813932967939
"20",-0.0035902440670066
