"","ID","t-value","p-value","Std error","bayes factor"
"t","X66961","0.772702045614929","0.449103661846697","0.0787512723849983","0.431848118739085"
"t1","X67378","0.947344469050625","0.358681294245495","0.186478563364642","0.483424694665296"
"t2","X67765","1.29469531921953","0.215710722771029","0.232970869662596","0.645514362654096"
"t3","X68818","1.23379420746571","0.228193108550169","0.144268426335824","0.609873403449"
"t4","X69298","0.771061619961063","0.448275355795326","0.0593978762280756","0.431436237947712"
"t5","X69844","0.644310429499899","0.527729849568485","0.0732560723924679","0.403182642980732"
"t6","X67684","1.0279469611775","0.312802992769985","0.0690768936677384","0.513063668369924"
"t7","X68812","1.28070962774027","0.215351033553617","0.105132913568841","0.637005972189665"
"t8","X69094","2.30223623524992","0.0340971369996007","0.0997252793688266","2.33406338213927"
"t9","X69592","2.01008904749537","0.0585951660515323","0.0911040241533155","1.5093542434697"
"t10","X69622","2.39115794801737","0.0305370493406624","0.120368849231386","2.69005499222587"
"t11","X67120","2.27877814045543","0.0382991647212696","0.196288989550604","2.24985069241827"
"t12","X67360","3.85743371725854","0.000617079292178512","0.124017317971352","45.9260906019022"
"t13","X67567","5.26482750029253","9.63814771737429e-05","0.145081698604097","1184.44665839469"
"t14","X67672","1.57637115822163","0.129607165313446","0.0561416653718198","0.867244836044542"
"t15","X68977","1.97896906464051","0.0628269670167424","0.0704385712190616","1.44500530902815"
"t16","X69478","2.56750940048622","0.020320293015605","0.0963044371923915","3.60787804389849"
"t17","X68932","1.61000415800961","0.128793927608983","0.27884847516275","0.901513771477826"
"t18","X67072","2.18589596046828","0.0402874742278444","0.0785605633749126","1.95091993443364"
"t19","X69610","2.4472767999036","0.0247059528899842","0.118970298256196","2.94842430108101"
