"","ID","t-value","p-value","Std error","bayes factor"
"t","X21486","1.34506690886236","0.189800455076509","0.0669122573806548","0.677861240596404"
"t1","X21589","1.34486168370884","0.199644127291665","0.183131057354634","0.677723843837113"
"t2","X22223","2.06786479049592","0.0513749256303053","0.0731892240870531","1.63896722334158"
"t3","X67429","0.875050123518452","0.391393567361445","0.107341325800086","0.460127033724693"
"t4","X67501","2.17862826790957","0.0420058669433085","0.0709956795039102","1.92966482391085"
"t5","X67561","1.18559281140121","0.253142990793672","0.161962257997379","0.584125207346446"
"t6","X68857","2.84950628928927","0.00881127154145698","0.0538392941413482","5.95167601512993"
"t7","X68929","27.5384865976495","9.29098199472506e-14","0.0306371984631385","2122748279000402432"
"t8","X69190","1.53848338617041","0.137597657950054","0.0650372965346519","0.830928672006503"
"t9","X69364","3.31853321042337","0.00487256276250192","0.132253306437156","14.7462475552225"
"t10","X69700","3.83945455582372","0.00129434553337145","0.0825891190678871","44.1591877092631"
"t11","X69757","1.88638909284959","0.077575914884128","0.0840973186998715","1.27365480579528"
"t12","X66943","0.966455653128226","0.342263939361845","0.0520701058937499","0.490087019702326"
"t13","X67084","1.32773585979202","0.199811524708703","0.0747292201243069","0.666422968395903"
"t14","X67246","0.742265449004808","0.464108333565746","0.0794661028779089","0.424406375056837"
"t15","X68998","3.27783361884724","0.00508163389744407","0.201163359769685","13.5846710720293"
"t16","X69214","1.42201880142517","0.167746627579238","0.0459090113303978","0.732861565971937"
"t17","X67312","2.46755333966385","0.0261060571308507","0.0996489757340618","3.04896846262847"
