"","ID","t-value","p-value","Std error","bayes factor"
"t","X67258","2.77890808886177","0.0118977842756891","0.0637947163410071","5.23276816151138"
"t1","X67507","2.54120628894357","0.0215672630730506","0.0660077971617169","3.44990786269093"
"t2","X69202","1.10791761466837","0.279578070718688","0.0763814957113611","0.546761756112246"
"t3","X69352","1.47501264812942","0.160794196249621","0.103973544268354","0.775097471422068"
"t4","X69484","2.96988611195789","0.00912437014190473","0.0976756023175453","7.44959266971682"
"t5","X69571","1.44866568061867","0.161994490430395","0.0380165732302111","0.753627134387914"
"t6","X69661","1.4061054165038","0.173246519609269","0.0636161535378205","0.720897541836223"
"t7","X69679","2.05074951065578","0.0551747594729959","0.0705781827804588","1.59912978704456"
"t8","X69712","2.25706913489845","0.0361912833974757","0.0679052482251778","2.17520164517514"
"t9","X67045","1.84888106743015","0.0757164269460845","0.0929006678106167","1.21193522007007"
"t10","X70516","1.53261078875492","0.141265550154113","0.0537905801904912","0.825506636794902"
"t11","X67051","2.20069521284089","0.0385836011458721","0.0613064121795563","1.99510914223659"
"t12","X67174","2.13769732964299","0.0485008359146189","0.153733090294352","1.81521026016648"
"t13","X67609","3.56343168352305","0.00164129907634839","0.298518353619258","24.4450908994019"
"t14","X67630","3.13580003373422","0.00562715916354662","0.0530964141448755","10.2504184472126"
