"","ID","t-value","p-value","Std error","bayes factor"
"t","X67060","7.02164544078251","1.56998079019401e-06","0.132533567245499","78902.1683050684"
"t1","X67267","0.860244055803972","0.39717217465258","0.071322653208368","0.455708826135184"
"t2","X67417","2.19015111128549","0.0442460600242814","0.15706752873234","1.96349979758229"
"t3","X68965","2.35935227771465","0.0279283523127561","0.0960803417140589","2.55565814279947"
"t4","X68995","0.319477663278755","0.751945679218195","0.079535382450705","0.358011805593378"
"t5","X69160","1.11777040629046","0.274645201262943","0.12433318507798","0.551236266322209"
"t6","X69175","0.658008953910856","0.516283149379544","0.0567909389549066","0.405912069957791"
"t7","X69862","2.04794536092354","0.0560163194260435","0.0784083791478304","1.59272147561249"
"t8","X69199","2.25191380420211","0.0368648188278153","0.0720253298464066","2.15792248431624"
"t9","X69220","1.81570395750998","0.0896003893081178","0.0678693147215085","1.16066848810178"
"t10","X69358","2.78728972243509","0.0122113047070184","0.0726712131034011","5.312741646127"
"t11","X69058","1.48317369437876","0.154512580281861","0.0883047259376173","0.781944233836187"
"t12","X69076","1.34296152082629","0.192227042140685","0.122003362562855","0.676453938422643"
"t13","X69727","1.54948087578898","0.14033043264371","0.114589085786291","0.841229381023745"
"t14","X67486","1.76103013581724","0.0984612562322909","0.122440843012568","1.08247130265979"
"t15","X67759","1.84722987238173","0.0794440604003041","0.0549337957972511","1.20931174633339"
