"","ID","t-value","p-value","Std error","bayes factor"
"t","X68803","0.944479589825274","0.353395957898636","0.110487020285219","0.482444737178625"
"t1","X68851","2.5565345125445","0.0202227398131198","0.0885136564189951","3.5409584996555"
"t2","X69100","0.528393552721865","0.603547907509688","0.0848256556168207","0.382946194195293"
"t3","X69241","1.17584065729685","0.255714388958097","0.107709094720782","0.579163297073812"
"t4","X69247","3.23867789786778","0.00308704219101514","0.211211755281484","12.5605920334967"
"t5","X69637","1.66898669221195","0.114787100803302","0.0930419072390541","0.966609633846046"
"t6","X69859","2.76453198598745","0.0109334892648212","0.176009270670891","5.0987666655432"
"t7","X67243","1.46708999963459","0.161164764073559","0.103790016134838","0.768540491174497"
"t8","X69169","0.554176580993883","0.584824451247217","0.0792602560984405","0.387021545696103"
"t9","X69745","1.23932887102257","0.233912169862314","0.269076903634829","0.612964774037608"
"t10","X70552","1.36952433042706","0.181742542702277","0.0871647600663234","0.694578255704512"
"t11","X69139","-1.15387888499007","0.263120644041086","0.112167940746324","0.568281035227693"
"t12","X69016","-0.336650257452159","0.738912482982804","0.0994039079407377","0.359551127477205"
"t13","X67042","1.42120800533668","0.170212096772826","0.131287322028886","0.732244217209977"
"t14","X67708","0.287491457138686","0.775856419715966","0.0844036964025719","0.355374007068879"
"t15","X68926","1.64541788882984","0.12055507922614","0.0697215879192765","0.93980141197352"
"t16","X69670","-0.77362327113234","0.448153595132497","0.164794011534922","0.432079968317387"
"t17","X69739","-1.18292082079843","0.24722959530021","0.0438007637442953","0.58275763971063"
