"","ID","t-value","p-value","Std error","bayes factor"
"t","X66961","-0.0646976055893544","0.94888062942416","0.0965262213819483","0.344898771250081"
"t1","X67378","-0.110868769929182","0.912513069762423","0.26642235096683","0.345967300477907"
"t2","X67765","0.645717923467614","0.52649871930688","0.248365438588775","0.403459645733217"
"t3","X68818","-0.968925149977336","0.341317164491952","0.184273649212404","0.490963984075327"
"t4","X69298","0.771061619961063","0.448275355795326","0.0593978762280756","0.431436237947712"
"t5","X69844","0.644310429499899","0.527729849568485","0.0732560723924679","0.403182642980732"
"t6","X67684","-0.948347495482627","0.353304827669813","0.0976007305770289","0.48376893480707"
"t7","X68812","-0.236227484054861","0.814985210333755","0.130767430062566","0.351756465898923"
"t8","X69094","2.30223623524992","0.0340971369996007","0.0997252793688266","2.33406338213927"
"t9","X69592","1.46909904227601","0.154128346200347","0.10224404941001","0.770194924159034"
"t10","X69622","1.56774728304959","0.135557413610441","0.124567795191318","0.858771068912607"
"t11","X67120","1.90167673462005","0.076872923033783","0.197318755234341","1.30002069576828"
"t12","X67360","3.7856825619257","0.000758206804875319","0.119904460989927","39.2896039541291"
"t13","X67567","3.52621486488532","0.00174459887758632","0.169237525977989","22.6097021776999"
"t14","X67672","-0.458258650649707","0.650315751041744","0.0680376119958939","0.373016516627668"
"t15","X68977","1.05302676193646","0.30341079774804","0.0756608180785","0.523146574042455"
"t16","X69478","2.10044063482285","0.0505924322740435","0.0977309004898296","1.71835135564234"
"t17","X68932","1.61000415800961","0.128793927608983","0.27884847516275","0.901513771477826"
"t18","X67072","0.419977340223073","0.67773958950183","0.0940385665704945","0.368280343074181"
"t19","X69610","2.4472767999036","0.0247059528899842","0.118970298256196","2.94842430108101"
