"","ID","t-value","p-value","Std error","bayes factor"
"t","X21486","-0.419104498733173","0.678836205009608","0.0618828422944512","0.368177803338545"
"t1","X21589","0.895277589960508","0.384860815205887","0.185180255367105","0.466352296236606"
"t2","X22223","1.01643231853052","0.319252984261159","0.0791744605776398","0.508576028646494"
"t3","X67429","0.746399621210866","0.464701747651606","0.103056372682164","0.425392588936159"
"t4","X67501","0.907853171090637","0.371708107840756","0.0930478849333296","0.470335285902126"
"t5","X67561","0.711112761244523","0.484641387102358","0.178012007235618","0.417217006689355"
"t6","X68857","1.97105775356519","0.0586765329376781","0.0641116520836403","1.42921837205343"
"t7","X68929","1.13668525743547","0.274746551297496","0.225715391123766","0.560036233308374"
"t8","X69190","1.24344218348507","0.226134922304381","0.0653119561798872","0.6152808312985"
"t9","X69364","2.36107943403285","0.0293792942920832","0.141506715269348","2.56274598411193"
"t10","X69700","3.83945455582372","0.00129434553337145","0.0825891190678871","44.1591877092631"
"t11","X69757","1.22589763724735","0.233539402677258","0.0922272778994303","0.605511966595539"
"t12","X66943","-0.30292797549518","0.765357643867957","0.0921035072920955","0.35661000570355"
"t13","X67084","0.595672895379945","0.558400168703193","0.0745210506375082","0.394083105866049"
"t14","X67246","-0.743437948550048","0.463731076104019","0.0715298799364693","0.424685301365906"
"t15","X68998","3.27783361884724","0.00508163389744407","0.201163359769685","13.5846710720293"
"t16","X69214","1.32954446401317","0.195299576988201","0.0476712368651092","0.667601178455872"
"t17","X67312","0.450135151101169","0.656230265202019","0.125861167832385","0.371972068351657"
