"","ID","t-value","p-value","Std error","bayes factor"
"t","X67258","2.7601567270888","0.0131970268958116","0.0619127799964607","5.05876319875846"
"t1","X67507","1.82955139970586","0.0810823459784556","0.0723391901540881","1.18170026792465"
"t2","X69202","1.06693338644497","0.298809477294229","0.072830092350545","0.528924519637824"
"t3","X69352","1.02586314654644","0.318461198480214","0.109437372789878","0.512245022843206"
"t4","X69484","1.96400036955096","0.0605616519772679","0.116537636693859","1.41532518695804"
"t5","X69571","0.633320916704837","0.531802038537179","0.0440093769180266","0.401046677281718"
"t6","X69661","0.13324373523362","0.895164628580424","0.0638834887939926","0.346689050733392"
"t7","X69679","0.0946109895621241","0.925297690890976","0.093673632499608","0.345526566158849"
"t8","X69712","1.13561161449056","0.26656210034315","0.0780273637594693","0.559529226339356"
"t9","X67045","0.544244562073335","0.590724303935254","0.114824083549127","0.385423825898098"
"t10","X70516","0.544102623773399","0.591530189613233","0.0574226032030286","0.38540124705351"
"t11","X67051","0.0187836539848691","0.985179743074006","0.106881728209922","0.34439460405347"
"t12","X67174","1.2434252466627","0.229423738326935","0.160165469269546","0.61527126213331"
"t13","X67609","2.14458205344808","0.0417421021705917","0.313722405064859","1.83385515730281"
"t14","X67630","0.993369748813601","0.329273505019039","0.0645957324651467","0.499847767128583"
