"","ID","t-value","p-value","Std error","bayes factor"
"t","X67060","3.78726487108812","0.000750816494055473","0.167120755675626","39.424497543379"
"t1","X67267","-0.851607278665428","0.401791046252223","0.0830600355023381","0.453184551053414"
"t2","X67417","1.285586588222","0.214722102659962","0.164454657044195","0.639950388368969"
"t3","X68965","1.31686404459771","0.199122024179518","0.108241014946139","0.65941518706762"
"t4","X68995","0.0224202624924364","0.982272115840875","0.0884779560751894","0.344414300509165"
"t5","X69160","1.11777040629046","0.274645201262943","0.12433318507798","0.551236266322209"
"t6","X69175","-0.905289081403933","0.373041595382552","0.0647298254267285","0.469516062752632"
"t7","X69850","-2.31445548039256","0.0327264157453491","0.155358538158478","2.37944874066052"
"t8","X69862","2.01479032507518","0.0612557374995869","0.0764200441192749","1.51939639658754"
"t9","X69199","2.25169028348882","0.0375201122785747","0.0710217861840592","2.1571771259349"
"t10","X69220","-0.958711461812142","0.346788867090876","0.115338421069523","0.487360906896506"
"t11","X69358","2.21392830028346","0.0365781360679422","0.0810737054930907","2.035677614535"
"t12","X69058","1.48317369437876","0.154512580281861","0.0883047259376173","0.781944233836187"
"t13","X69076","0.656632954253169","0.517644852622764","0.123985127671916","0.405634516378352"
"t14","X69727","0.625546663270983","0.536680971675279","0.157321773809918","0.399564150888992"
"t15","X69853","-2.6684095394301","0.0140829045992441","0.0656958645251433","4.29724054442929"
"t16","X67486","1.36011071967747","0.193468964589428","0.122909374397335","0.68806268319244"
"t17","X67759","1.35231902687497","0.190565468246523","0.0558677193018488","0.682746925105265"
