consentMouse1.x,consentMouse1.y,consentMouse1.leftButton,consentMouse1.midButton,consentMouse1.rightButton,consentMouse1.clicked_name,consent_Mouse.x,consent_Mouse.y,consent_Mouse.leftButton,consent_Mouse.midButton,consent_Mouse.rightButton,consent_Mouse.clicked_name,startMouse.x,startMouse.y,startMouse.leftButton,startMouse.midButton,startMouse.rightButton,start_distance,fixedOri,minimalDistance,maxOri,this_ori,accuracy,presented_accuracy,submitMouse.x,submitMouse.y,submitMouse.leftButton,submitMouse.midButton,submitMouse.rightButton,submitMouse.time,submitMouse.clicked_name,block_accuracy,continueMouse.x,continueMouse.y,continueMouse.leftButton,continueMouse.midButton,continueMouse.rightButton,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,startOri,participant,condition,nTrials,date,expName,psychopyVersion,OS,frameRate,continueMouse.clicked_name,EndButtonMouse.x,EndButtonMouse.y,EndButtonMouse.leftButton,EndButtonMouse.midButton,EndButtonMouse.rightButton,EndButtonMouse.clicked_name
0.306481517,-0.412963047,1,0,0,consent_button1,0.37222226,-0.409259286,1,0,0,consent_button,0.169444476,-0.318518599,1,0,0,-30,-49,20,75,-56,7,7,0.220370403,-0.298148172,1,0,0,0.18,submitButton,7,0.12500003,-0.298148172,0,0,0,0,0,0,33,1,49,66943,N,180,2022-02-20_17h07.16.100,orientation adjustment blockN,2021.2.3,Win32,60.24822268,,,,,,,
,,,,,,,,,,,,,,,,,-56.66666667,-51,20,75,-44.66666667,6.333333333,6.333333333,0.203703736,-0.303703728,1,0,0,1.2682,submitButton,6.666666667,0.16388892,-0.352777803,0,0,0,0,1,1,35,1,51,66943,N,180,2022-02-20_17h07.16.100,orientation adjustment blockN,2021.2.3,Win32,60.24822268,,,,,,,
,,,,,,,,,,,,,,,,,-45,31,20,75,32,1,1,-0.265740722,-0.402777805,1,0,0,0.7295,submitButton,4.777777778,0.186111143,-0.354629712,0,0,0,0,2,2,15,1,31,66943,N,180,2022-02-20_17h07.16.100,orientation adjustment blockN,2021.2.3,Win32,60.24822268,,,,,,,
,,,,,,,,,,,,,,,,,-57.22222222,32,20,75,32.77777778,0.777777778,0.777777778,-0.284259241,-0.412963047,1,0,0,1.1855,submitButton,0.777777778,0.124074104,-0.337037062,0,0,0,0,3,3,16,1,32,66943,N,180,2022-02-20_17h07.16.100,orientation adjustment blockN,2021.2.3,Win32,60.24822268,,,,,,,
,,,,,,,,,,,,,,,,,-52.22222222,-22,20,75,-40.22222222,18.22222222,18.22222222,0.195370403,-0.296296377,1,0,0,0.3011,submitButton,9.5,0.083333362,-0.329629711,0,0,0,0,4,4,6,1,22,66943,N,180,2022-02-20_17h07.16.100,orientation adjustment blockN,2021.2.3,Win32,60.24822268,,,,,,,
,,,,,,,,,,,,,,,,,61.66666667,63,20,75,232.6666667,10.33333333,10.33333333,-0.206481461,-0.394444471,1,0,0,1.4809,submitButton,9.777777778,0.200000032,-0.260185264,0,0,0,0,5,5,47,1,63,66943,N,180,2022-02-20_17h07.16.100,orientation adjustment blockN,2021.2.3,Win32,60.24822268,,,,,,,
,,,,,,,,,,,,,,,,,-27.22222222,-20,20,75,-21.22222222,1.222222222,1.222222222,-0.208333313,-0.400925953,1,0,0,1.168,submitButton,1.222222222,0.083333362,-0.275925949,0,0,0,0,6,6,4,1,20,66943,N,180,2022-02-20_17h07.16.100,orientation adjustment blockN,2021.2.3,Win32,60.24822268,,,,,,,
,,,,,,,,,,,,,,,,,75,71,20,75,227,24,24,-0.237962944,-0.401851935,1,0,0,1.3511,submitButton,12.61111111,-0.23888887,-0.412037064,0,0,0,0,7,7,55,1,71,66943,N,180,2022-02-20_17h07.16.100,orientation adjustment blockN,2021.2.3,Win32,60.24822268,,,,,,,
,,,,,,,,,,,,,,,,,-66.66666667,-75,20,75,-224.6666667,30.33333333,30.33333333,0.412037076,-0.298148172,1,0,0,0.4981,submitButton,18.51851852,0.971064877,0.494791667,0,0,0,0,8,8,59,1,75,66943,N,180,2022-02-20_17h07.16.100,orientation adjustment blockN,2021.2.3,Win32,60.24822268,,,,,,,
,,,,,,,,,,,,,,,,,38.88888889,-36,20,75,-44.11111111,8.111111111,8.111111111,0.199884499,-0.322068264,1,0,0,4.3898,submitButton,8.111111111,0.091276754,-0.225014535,0,0,0,0,9,9,20,1,36,66943,N,180,2022-02-20_17h07.16.100,orientation adjustment blockN,2021.2.3,Win32,60.24822268,,,,,,,
