consentMouse1.x,consentMouse1.y,consentMouse1.leftButton,consentMouse1.midButton,consentMouse1.rightButton,consentMouse1.clicked_name,consent_Mouse.x,consent_Mouse.y,consent_Mouse.leftButton,consent_Mouse.midButton,consent_Mouse.rightButton,consent_Mouse.clicked_name,startMouse.x,startMouse.y,startMouse.leftButton,startMouse.midButton,startMouse.rightButton,start_distance,fixedOri,minimalDistance,maxOri,this_ori,accuracy,presented_accuracy,submitMouse.x,submitMouse.y,submitMouse.leftButton,submitMouse.midButton,submitMouse.rightButton,submitMouse.time,submitMouse.clicked_name,block_accuracy,continueMouse.x,continueMouse.y,continueMouse.leftButton,continueMouse.midButton,continueMouse.rightButton,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,startOri,participant,condition,nTrials,date,expName,psychopyVersion,OS,frameRate,continueMouse.clicked_name,EndButtonMouse.x,EndButtonMouse.y,EndButtonMouse.leftButton,EndButtonMouse.midButton,EndButtonMouse.rightButton,EndButtonMouse.clicked_name
0.398888889,-0.404444444,1,0,0,consent_button1,0.381111111,-0.401111111,1,0,0,consent_button,0.14,-0.332222222,1,0,0,71.66666667,-54,20,75,2.666666667,56.66666667,56.66666667,0.372222222,-0.281111111,1,0,0,1.131,submitButton,56.66666667,-0.293333333,-0.388888889,0,0,0,0,0,0,38,1,54,67246,N,180,2022-02-24_17h24.27,orientation adjustment blockN,2021.2.3,MacIntel,58.82352941,,,,,,,
,,,,,,,,,,,,,,,,,-22.22222222,-45,20,75,-49.22222222,4.222222222,4.222222222,0.207777778,-0.307777778,1,0,0,0.116,submitButton,30.44444444,0.301111111,-0.006666667,0,0,0,0,1,1,29,1,45,67246,N,180,2022-02-24_17h24.27,orientation adjustment blockN,2021.2.3,MacIntel,58.82352941,,,,,,,
,,,,,,,,,,,,,,,,,75,-21,20,75,-17,4,4,0.398888889,-0.313333333,1,0,0,0.033,submitButton,21.62962963,-0.022222222,-0.184444444,0,0,0,0,2,2,5,1,21,67246,N,180,2022-02-24_17h24.27,orientation adjustment blockN,2021.2.3,MacIntel,58.82352941,,,,,,,
,,,,,,,,,,,,,,,,,-39.44444444,48,20,75,27.55555556,20.44444444,20.44444444,0.442222222,-0.296666667,1,0,0,0.101,submitButton,20.44444444,0.066666667,-0.213333333,0,0,0,0,3,3,32,1,48,67246,N,180,2022-02-24_17h24.27,orientation adjustment blockN,2021.2.3,MacIntel,58.82352941,,,,,,,
,,,,,,,,,,,,,,,,,-66.66666667,19,20,75,12.33333333,6.666666667,6.666666667,0.196666667,-0.286666667,1,0,0,1.05,submitButton,13.55555556,-0.338888889,-0.402222222,0,0,0,0,4,4,3,1,19,67246,N,180,2022-02-24_17h24.27,orientation adjustment blockN,2021.2.3,MacIntel,58.82352941,,,,,,,
,,,,,,,,,,,,,,,,,-66.66666667,40,20,75,30.33333333,9.666666667,9.666666667,0.22,-0.306666667,1,0,0,0.5,submitButton,12.25925926,-0.246666667,-0.422222222,0,0,0,0,5,5,24,1,40,67246,N,180,2022-02-24_17h24.27,orientation adjustment blockN,2021.2.3,MacIntel,58.82352941,,,,,,,
,,,,,,,,,,,,,,,,,-58.33333333,62,20,75,39.66666667,22.33333333,22.33333333,-0.305555556,-0.404444444,1,0,0,1.366,submitButton,22.33333333,-0.305555556,-0.404444444,0,0,0,0,6,6,46,1,62,67246,N,180,2022-02-24_17h24.27,orientation adjustment blockN,2021.2.3,MacIntel,58.82352941,,,,,,,
,,,,,,,,,,,,,,,,,-75,18,20,75,8,10,10,-0.25,-0.398888889,1,0,0,1.484,submitButton,16.16666667,-0.25,-0.398888889,0,0,0,0,7,7,2,1,18,67246,N,180,2022-02-24_17h24.27,orientation adjustment blockN,2021.2.3,MacIntel,58.82352941,,,,,,,
,,,,,,,,,,,,,,,,,-70,-59,20,75,-224,15,15,0.408888889,-0.268888889,1,0,0,0.1,submitButton,15.77777778,-0.227777778,-0.404444444,0,0,0,0,8,8,43,1,59,67246,N,180,2022-02-24_17h24.27,orientation adjustment blockN,2021.2.3,MacIntel,58.82352941,,,,,,,
,,,,,,,,,,,,,,,,,47.77777778,-64,20,75,-42.22222222,21.77777778,21.77777778,0.393333333,-0.282222222,1,0,0,0.633,submitButton,21.77777778,0.078888889,-0.087777778,0,0,0,0,9,9,48,1,64,67246,N,180,2022-02-24_17h24.27,orientation adjustment blockN,2021.2.3,MacIntel,58.82352941,,,,,,,
,,,,,,,,,,,,,,,,,28.88888889,-75,20,75,-69.11111111,5.888888889,5.888888889,-0.21,-0.391111111,1,0,0,0.867,submitButton,13.83333333,-0.21,-0.391111111,0,0,0,0,10,10,59,1,75,67246,N,180,2022-02-24_17h24.27,orientation adjustment blockN,2021.2.3,MacIntel,58.82352941,,,,,,,
,,,,,,,,,,,,,,,,,45,-44,20,75,113,23,23,0.194444444,-0.296666667,1,0,0,1.6,submitButton,16.88888889,-0.035555556,-0.213333333,0,0,0,0,11,11,28,1,44,67246,N,180,2022-02-24_17h24.27,orientation adjustment blockN,2021.2.3,MacIntel,58.82352941,,,,,,,
,,,,,,,,,,,,,,,,,25.55555556,36,20,75,35.55555556,0.444444444,0.444444444,0.415555556,-0.31,1,0,0,0.3,submitButton,0.444444444,-0.297777778,-0.39,0,0,0,0,12,12,20,1,36,67246,N,180,2022-02-24_17h24.27,orientation adjustment blockN,2021.2.3,MacIntel,58.82352941,,,,,,,
,,,,,,,,,,,,,,,,,-73.33333333,-30,20,75,-199.3333333,10.66666667,10.66666667,-0.201111111,-0.41,1,0,0,1.75,submitButton,5.555555556,-0.201111111,-0.41,0,0,0,0,13,13,14,1,30,67246,N,180,2022-02-24_17h24.27,orientation adjustment blockN,2021.2.3,MacIntel,58.82352941,,,,,,,
,,,,,,,,,,,,,,,,,-53.33333333,-16,20,75,-38.33333333,22.33333333,22.33333333,-0.263333333,-0.411111111,1,0,0,0.85,submitButton,11.14814815,0.334444444,-0.382222222,1,0,0,0,14,14,0,1,16,67246,N,180,2022-02-24_17h24.27,orientation adjustment blockN,2021.2.3,MacIntel,58.82352941,continueButton,,,,,,
,,,,,,,,,,,,,,,,,-29.44444444,34,20,75,23.55555556,10.44444444,10.44444444,-0.267777778,-0.384444444,1,0,0,0.8,submitButton,10.44444444,-0.211111111,-0.348888889,0,0,0,0,15,15,18,1,34,67246,N,180,2022-02-24_17h24.27,orientation adjustment blockN,2021.2.3,MacIntel,58.82352941,,,,,,,
,,,,,,,,,,,,,,,,,53.88888889,-47,20,75,-31.11111111,15.88888889,15.88888889,-0.348888889,-0.388888889,1,0,0,0.584,submitButton,13.16666667,0.098888889,-0.046666667,0,0,0,0,16,16,31,1,47,67246,N,180,2022-02-24_17h24.27,orientation adjustment blockN,2021.2.3,MacIntel,58.82352941,,,,,,,
,,,,,,,,,,,,,,,,,-61.66666667,-23,20,75,-56.66666667,33.66666667,33.66666667,-0.325555556,-0.433333333,1,0,0,0.917,submitButton,20,-0.302222222,-0.397777778,0,0,0,0,17,17,7,1,23,67246,N,180,2022-02-24_17h24.27,orientation adjustment blockN,2021.2.3,MacIntel,58.82352941,,,,,,,
,,,,,,,,,,,,,,,,,37.77777778,72,20,75,211.7777778,40.22222222,40.22222222,0.146666667,-0.26,1,0,0,0.117,submitButton,25.05555556,-0.241111111,-0.385555556,0,0,0,0,18,18,56,1,72,67246,N,180,2022-02-24_17h24.27,orientation adjustment blockN,2021.2.3,MacIntel,58.82352941,,,,,,,
,,,,,,,,,,,,,,,,,75,-68,20,75,-42,26,26,-0.252222222,-0.385555556,1,0,0,1.216,submitButton,25.24444444,-0.252222222,-0.385555556,0,0,0,0,19,19,52,1,68,67246,N,180,2022-02-24_17h24.27,orientation adjustment blockN,2021.2.3,MacIntel,58.82352941,,,,,,,
,,,,,,,,,,,,,,,,,-43.88888889,55,20,75,39.11111111,15.88888889,15.88888889,0.143333333,-0.287777778,1,0,0,0.067,submitButton,23.68518519,0.024444444,-0.301111111,0,0,0,0,20,20,39,1,55,67246,N,180,2022-02-24_17h24.27,orientation adjustment blockN,2021.2.3,MacIntel,58.82352941,,,,,,,
,,,,,,,,,,,,,,,,,-61.66666667,17,20,75,15.33333333,1.666666667,1.666666667,-0.317777778,-0.394444444,1,0,0,0.967,submitButton,20.53968254,-0.317777778,-0.394444444,0,0,0,0,21,21,1,1,17,67246,N,180,2022-02-24_17h24.27,orientation adjustment blockN,2021.2.3,MacIntel,58.82352941,,,,,,,
,,,,,,,,,,,,,,,,,30.55555556,53,20,75,221.5555556,11.44444444,11.44444444,-0.276666667,-0.366666667,1,0,0,2.35,submitButton,19.40277778,-0.303333333,-0.408888889,0,0,0,0,22,22,37,1,53,67246,N,180,2022-02-24_17h24.27,orientation adjustment blockN,2021.2.3,MacIntel,58.82352941,,,,,,,
,,,,,,,,,,,,,,,,,-28.88888889,-41,20,75,-48.88888889,7.888888889,7.888888889,-0.188888889,-0.397777778,1,0,0,0.833,submitButton,18.12345679,-0.188888889,-0.397777778,0,0,0,0,23,23,25,1,41,67246,N,180,2022-02-24_17h24.27,orientation adjustment blockN,2021.2.3,MacIntel,58.82352941,,,,,,,
,,,,,,,,,,,,,,,,,33.88888889,-39,20,75,-26.11111111,12.88888889,12.88888889,0.335555556,-0.297777778,1,0,0,0.333,submitButton,17.6,-0.238888889,-0.4,0,0,0,0,24,24,23,1,39,67246,N,180,2022-02-24_17h24.27,orientation adjustment blockN,2021.2.3,MacIntel,58.82352941,,,,,,,
,,,,,,,,,,,,,,,,,-40.55555556,28,20,75,19.44444444,8.555555556,8.555555556,0.204444444,-0.292222222,1,0,0,0.65,submitButton,16.77777778,-0.321111111,-0.382222222,0,0,0,0,25,25,12,1,28,67246,N,180,2022-02-24_17h24.27,orientation adjustment blockN,2021.2.3,MacIntel,58.82352941,,,,,,,
,,,,,,,,,,,,,,,,,30.55555556,74,20,75,201.5555556,52.44444444,52.44444444,-0.323333333,-0.401111111,1,0,0,1.584,submitButton,19.75,0.213333333,-0.184444444,0,0,0,0,26,26,58,1,74,67246,N,180,2022-02-24_17h24.27,orientation adjustment blockN,2021.2.3,MacIntel,58.82352941,,,,,,,
,,,,,,,,,,,,,,,,,74.44444444,-67,20,75,-29.55555556,37.44444444,37.44444444,-0.277777778,-0.375555556,1,0,0,0.983,submitButton,21.11111111,-0.161111111,-0.27,0,0,0,0,27,27,51,1,67,67246,N,180,2022-02-24_17h24.27,orientation adjustment blockN,2021.2.3,MacIntel,58.82352941,,,,,,,
,,,,,,,,,,,,,,,,,68.88888889,63,20,75,61.88888889,1.111111111,1.111111111,-0.22,-0.397777778,1,0,0,1.35,submitButton,19.68253968,-0.22,-0.397777778,0,0,0,0,28,28,47,1,63,67246,N,180,2022-02-24_17h24.27,orientation adjustment blockN,2021.2.3,MacIntel,58.82352941,,,,,,,
