accuracy,accuracy,accuracy,,,,,,,,,,,,average,logA,,,trial
66.44444444,40.55555556,85.11111111,,,,,,,,,,,,64.03703704,1.806431229,,,1
9.666666667,8.777777778,28.88888889,,,,,,,,,,,,15.77777778,1.198045835,,,2
17.11111111,12.77777778,9.444444444,,,,,,,,,,,,13.11111111,1.117639498,,,3
17.22222222,11.22222222,9.777777778,,,,,,,,,,,,12.74074074,1.105194678,,,4
19.33333333,4.333333333,9.777777778,,,,,,,,,,,,11.14814815,1.047202731,,,5
3,1.222222222,4.444444444,,,,,,,,,,,,2.888888889,0.460730838,,,6
0.111111111,13,3.444444444,,,,,,,,,,,,5.518518518,0.741822504,,,7
3.888888889,3.333333333,5.222222222,,,,,,,,,,,,4.148148148,0.617854258,,,8
1.666666667,1,21.33333333,,,,,,,,,,,,7.999999999,0.903089987,,,9
6.111111111,2,5.222222222,,,,,,,,,,,,4.444444444,0.647817482,,,10
16.66666667,17.44444444,4.555555556,,,,,,,,,,,,12.88888889,1.11021548,,,11
9.111111111,1.666666667,0.333333333,,,,,,,,,,,,3.703703704,0.568636236,,,12
13.11111111,5.444444444,17.11111111,,,,,,,,,,,,11.88888889,1.075141268,,,13
3.222222222,24.88888889,2.111111111,,,,,,,,,,,,10.07407407,1.00320514,,,14
16.66666667,4.111111111,1.444444444,,,,,,,,,,,,7.407407408,0.869666232,,,15
8.666666667,7.666666667,3,,,,,,,,,,,,6.444444445,0.809185484,,,16
4.333333333,14,2.111111111,,,,,,,,,,,,6.814814815,0.833454059,,,17
11.44444444,13.44444444,7.555555556,,,,,,,,,,,,10.81481481,1.034019087,,,18
15.44444444,20.66666667,14.77777778,,,,,,,,,,,,16.96296296,1.229501714,,,19
2.111111111,5.666666667,7.777777778,,,,,,,,,,,,5.185185185,0.714764272,,,20
4.666666667,10.66666667,9.222222222,,,,,,,,,,,,8.185185186,0.91302851,,,21
4.111111111,29.55555556,1,,,,,,,,,,,,11.55555556,1.06279083,,,22
4.111111111,22.33333333,0.111111111,,,,,,,,,,,,8.851851851,0.947034137,,,23
11.11111111,0.111111111,3.444444444,,,,,,,,,,,,4.888888888,0.689210167,,,24
13.22222222,13.22222222,1.333333333,,,,,,,,,,,,9.259259258,0.966576244,,,25
2.333333333,4.555555556,1,,,,,,,,,,,,2.62962963,0.419894585,,,26
5.888888889,14.55555556,3.111111111,,,,,,,,,,,,7.851851853,0.894972097,,,27
9.111111111,18.66666667,9.222222222,,,,,,,,,,,,12.33333333,1.091080469,,,28
0.111111111,19,20.88888889,,,,,,,,,,,,13.33333333,1.124938737,,,29
19.22222222,10.11111111,4.555555556,,,,,,,,,,,,11.2962963,1.052936075,,,30
2.777777778,18.11111111,0.111111111,,,,,,,,,,,,7,0.84509804,,,31
6.555555556,4.444444444,12.77777778,,,,,,,,,,,,7.925925927,0.899050009,,,32
11.22222222,17.22222222,2.555555556,,,,,,,,,,,,10.33333333,1.014240439,,,33
21.55555556,10.11111111,0.222222222,,,,,,,,,,,,10.62962963,1.026518133,,,34
7.111111111,0.111111111,9.444444444,,,,,,,,,,,,5.555555555,0.744727495,,,35
4.444444444,1.444444444,6.333333333,,,,,,,,,,,,4.074074074,0.610028921,,,36
2.777777778,0.222222222,5.222222222,,,,,,,,,,,,2.740740741,0.437867956,,,37
4.333333333,3.666666667,1.666666667,,,,,,,,,,,,3.222222222,0.508155488,,,38
29.44444444,26,20.66666667,,,,,,,,,,,,25.37037037,1.404326807,,,39
11.66666667,13.33333333,2.333333333,,,,,,,,,,,,9.111111111,0.959571343,,,40
2.222222222,3.222222222,15.22222222,,,,,,,,,,,,6.888888888,0.83814918,,,41
8,3.111111111,8.555555556,,,,,,,,,,,,6.555555556,0.816609502,,,42
9.666666667,11.55555556,9,,,,,,,,,,,,10.07407408,1.00320514,,,43
11.11111111,9.555555556,10,,,,,,,,,,,,10.22222222,1.009545318,,,44
9.444444444,3.888888889,0.777777778,,,,,,,,,,,,4.703703704,0.672439957,,,45
22.44444444,88.55555556,17.66666667,,,,,,,,,,,,42.88888889,1.632344795,,,46
1.555555556,3.888888889,2.111111111,,,,,,,,,,,,2.518518519,0.401145149,,,47
29.11111111,3.222222222,0.777777778,,,,,,,,,,,,11.03703704,1.0428525,,,48
7.666666667,13.33333333,10.22222222,,,,,,,,,,,,10.40740741,1.017342556,,,49
14.22222222,5,9.666666667,,,,,,,,,,,,9.629629629,0.983609584,,,50
9,3.333333333,4.777777778,,,,,,,,,,,,5.703703704,0.756156957,,,51
17.33333333,8,1.888888889,,,,,,,,,,,,9.074074073,0.95780232,,,52
13.77777778,7.777777778,3,,,,,,,,,,,,8.185185186,0.91302851,,,53
2.222222222,32,1.555555556,,,,,,,,,,,,11.92592593,1.076492108,,,54
4.111111111,12,0.777777778,,,,,,,,,,,,5.62962963,0.750479824,,,55
4.555555556,11,0.111111111,,,,,,,,,,,,5.222222222,0.717855349,,,56
6.222222222,3.333333333,3,,,,,,,,,,,,4.185185185,0.621714679,,,57
6,3.888888889,8.555555556,,,,,,,,,,,,6.148148148,0.788744324,,,58
0,7.222222222,2.888888889,,,,,,,,,,,,3.37037037,0.527677628,,,59
3.555555556,0.222222222,5.222222222,,,,,,,,,,,,3,0.477121255,,,60
10.88888889,51.22222222,10.77777778,,,,,,,,,,,,24.2962963,1.385540075,,,61
7.666666667,8.333333333,3.444444444,,,,,,,,,,,,6.481481481,0.811674285,,,62
