consentMouse1.x,consentMouse1.y,consentMouse1.leftButton,consentMouse1.midButton,consentMouse1.rightButton,consentMouse1.clicked_name,consent_Mouse.x,consent_Mouse.y,consent_Mouse.leftButton,consent_Mouse.midButton,consent_Mouse.rightButton,consent_Mouse.clicked_name,startMouse.x,startMouse.y,startMouse.leftButton,startMouse.midButton,startMouse.rightButton,start_distance,fixedOri,minimalDistance,maxOri,this_ori,accuracy,presented_accuracy,submitMouse.x,submitMouse.y,submitMouse.leftButton,submitMouse.midButton,submitMouse.rightButton,submitMouse.time,submitMouse.clicked_name,block_accuracy,continueMouse.x,continueMouse.y,continueMouse.leftButton,continueMouse.midButton,continueMouse.rightButton,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,startOri,participant,condition,nTrials,date,expName,psychopyVersion,OS,frameRate,continueMouse.clicked_name,EndButtonMouse.x,EndButtonMouse.y,EndButtonMouse.leftButton,EndButtonMouse.midButton,EndButtonMouse.rightButton,EndButtonMouse.clicked_name
0.375937216,-0.399399896,1,0,0,consent_button1,0.395479356,-0.399999278,1,0,0,consent_button,0.259747682,-0.378823227,1,0,0,-20.55555556,25,20,75,6.444444444,18.55555556,18.55555556,0.213738082,-0.284779884,1,0,0,0.1633,submitButton,18.55555556,-0.255546495,-0.411139505,0,0,0,0,0,0,24,1,25,22212,N,180,2022-02-10_11h16.47.976,orientation adjustment blockN,2021.2.3,Linux x86_64,60.0024001,,,,,,,
,,,,,,,,,,,,,,,,,41.66666667,-68,20,75,-24.33333333,43.66666667,43.66666667,0.202971952,-0.307862031,1,0,0,0.3706,submitButton,31.11111111,-0.149896217,-0.404464908,0,0,0,0,1,1,142,1,68,22212,N,180,2022-02-10_11h16.47.976,orientation adjustment blockN,2021.2.3,Linux x86_64,60.0024001,,,,,,,
,,,,,,,,,,,,,,,,,54.44444444,67,20,75,121.4444444,54.44444444,54.44444444,-0.242001309,-0.397331951,1,0,0,0.5863,submitButton,38.88888889,-0.242001309,-0.397331951,0,0,0,0,2,2,66,1,67,22212,N,180,2022-02-10_11h16.47.976,orientation adjustment blockN,2021.2.3,Linux x86_64,60.0024001,,,,,,,
,,,,,,,,,,,,,,,,,-66.11111111,5,20,75,-61.11111111,66.11111111,66.11111111,-0.274371126,-0.391432178,1,0,0,0.8977,submitButton,66.11111111,-0.274371126,-0.391432178,0,0,0,0,3,3,4,1,5,22212,N,180,2022-02-10_11h16.47.976,orientation adjustment blockN,2021.2.3,Linux x86_64,60.0024001,,,,,,,
,,,,,,,,,,,,,,,,,-38.33333333,80,20,75,41.66666667,38.33333333,38.33333333,-0.378344408,-0.396483198,1,0,0,0.5289,submitButton,52.22222222,-0.378344408,-0.396483198,0,0,0,0,4,4,79,1,80,22212,N,180,2022-02-10_11h16.47.976,orientation adjustment blockN,2021.2.3,Linux x86_64,60.0024001,,,,,,,
,,,,,,,,,,,,,,,,,28.88888889,-73,20,75,-44.11111111,28.88888889,28.88888889,-0.378344408,-0.396483198,1,0,0,0.4408,submitButton,44.44444444,-0.378344408,-0.396483198,0,0,0,0,5,5,147,1,73,22212,N,180,2022-02-10_11h16.47.976,orientation adjustment blockN,2021.2.3,Linux x86_64,60.0024001,,,,,,,
,,,,,,,,,,,,,,,,,68.88888889,-66,20,75,2.888888889,68.88888889,68.88888889,0.385863656,-0.307952097,1,0,0,0.7122,submitButton,68.88888889,-0.129902157,-0.384086337,0,0,0,0,6,6,65,1,66,22212,N,180,2022-02-10_11h16.47.976,orientation adjustment blockN,2021.2.3,Linux x86_64,60.0024001,,,,,,,
,,,,,,,,,,,,,,,,,-58.33333333,31,20,75,-27.33333333,58.33333333,58.33333333,-0.143325121,-0.395030771,1,0,0,0.6169,submitButton,63.61111111,-0.143325121,-0.395030771,0,0,0,0,7,7,105,1,31,22212,N,180,2022-02-10_11h16.47.976,orientation adjustment blockN,2021.2.3,Linux x86_64,60.0024001,,,,,,,
,,,,,,,,,,,,,,,,,36.66666667,9,20,75,45.66666667,36.66666667,36.66666667,-0.163769513,-0.385634871,1,0,0,0.5496,submitButton,54.62962963,-0.163769513,-0.385634871,0,0,0,0,8,8,8,1,9,22212,N,180,2022-02-10_11h16.47.976,orientation adjustment blockN,2021.2.3,Linux x86_64,60.0024001,,,,,,,
,,,,,,,,,,,,,,,,,-71.66666667,-51,20,75,-122.6666667,71.66666667,71.66666667,-0.214680526,-0.407941241,1,0,0,1.709,submitButton,71.66666667,-0.214680526,-0.407941241,0,0,0,0,9,9,125,1,51,22212,N,180,2022-02-10_11h16.47.976,orientation adjustment blockN,2021.2.3,Linux x86_64,60.0024001,,,,,,,
,,,,,,,,,,,,,,,,,68.33333333,1,20,75,69.33333333,68.33333333,68.33333333,-0.196094535,-0.401608227,1,0,0,0.5665,submitButton,70,-0.196094535,-0.401608227,0,0,0,0,10,10,0,1,1,22212,N,180,2022-02-10_11h16.47.976,orientation adjustment blockN,2021.2.3,Linux x86_64,60.0024001,,,,,,,
,,,,,,,,,,,,,,,,,65,85,20,75,150,65,65,-0.197281453,-0.39840575,1,0,0,1.2876,submitButton,68.33333333,-0.197281453,-0.39840575,0,0,0,0,11,11,84,1,85,22212,N,180,2022-02-10_11h16.47.976,orientation adjustment blockN,2021.2.3,Linux x86_64,60.0024001,,,,,,,
,,,,,,,,,,,,,,,,,52.77777778,-48,20,75,4.777777778,52.77777778,52.77777778,-0.19980601,-0.390293671,1,0,0,0.484,submitButton,52.77777778,-0.19980601,-0.390293671,0,0,0,0,12,12,122,1,48,22212,N,180,2022-02-10_11h16.47.976,orientation adjustment blockN,2021.2.3,Linux x86_64,60.0024001,,,,,,,
,,,,,,,,,,,,,,,,,-42.22222222,73,20,75,30.77777778,42.22222222,42.22222222,-0.20818781,-0.398592162,1,0,0,0.4006,submitButton,47.5,-0.20818781,-0.398592162,0,0,0,0,13,13,72,1,73,22212,N,180,2022-02-10_11h16.47.976,orientation adjustment blockN,2021.2.3,Linux x86_64,60.0024001,,,,,,,
,,,,,,,,,,,,,,,,,51.11111111,63,20,75,114.1111111,51.11111111,51.11111111,-0.214103641,-0.406173542,1,0,0,0.4997,submitButton,48.7037037,0.489076263,-0.406215595,1,0,0,0,14,14,137,1,63,22212,N,180,2022-02-10_11h16.47.976,orientation adjustment blockN,2021.2.3,Linux x86_64,60.0024001,continueButton,,,,,,
,,,,,,,,,,,,,,,,,-58.88888889,89,20,75,30.11111111,58.88888889,58.88888889,-0.223027549,-0.410852454,1,0,0,0.4861,submitButton,58.88888889,-0.223027549,-0.410852454,0,0,0,0,15,15,88,1,89,22212,N,180,2022-02-10_11h16.47.976,orientation adjustment blockN,2021.2.3,Linux x86_64,60.0024001,,,,,,,
,,,,,,,,,,,,,,,,,-61.11111111,-72,20,75,-133.1111111,61.11111111,61.11111111,-0.223027549,-0.410852454,1,0,0,0.3545,submitButton,60,-0.223027549,-0.410852454,0,0,0,0,16,16,146,1,72,22212,N,180,2022-02-10_11h16.47.976,orientation adjustment blockN,2021.2.3,Linux x86_64,60.0024001,,,,,,,
,,,,,,,,,,,,,,,,,-71.11111111,-82,20,75,-153.1111111,71.11111111,71.11111111,-0.227567982,-0.418004966,1,0,0,2.0327,submitButton,63.7037037,-0.22467696,-0.419450557,0,0,0,0,17,17,81,1,82,22212,N,180,2022-02-10_11h16.47.976,orientation adjustment blockN,2021.2.3,Linux x86_64,60.0024001,,,,,,,
,,,,,,,,,,,,,,,,,-51.66666667,35,20,75,-16.66666667,51.66666667,51.66666667,-0.22373055,-0.38787341,1,0,0,8.4601,submitButton,60.69444444,-0.22373055,-0.38787341,0,0,0,0,18,18,34,1,35,22212,N,180,2022-02-10_11h16.47.976,orientation adjustment blockN,2021.2.3,Linux x86_64,60.0024001,,,,,,,
,,,,,,,,,,,,,,,,,-65,83,20,75,18,65,65,-0.22373055,-0.38787341,1,0,0,5.3999,submitButton,61.55555556,-0.22373055,-0.38787341,0,0,0,0,19,19,82,1,83,22212,N,180,2022-02-10_11h16.47.976,orientation adjustment blockN,2021.2.3,Linux x86_64,60.0024001,,,,,,,
,,,,,,,,,,,,,,,,,-56.66666667,40,20,75,-16.66666667,56.66666667,56.66666667,-0.22373055,-0.38787341,1,0,0,7.6286,submitButton,60.74074074,-0.22373055,-0.38787341,0,0,0,0,20,20,114,1,40,22212,N,180,2022-02-10_11h16.47.976,orientation adjustment blockN,2021.2.3,Linux x86_64,60.0024001,,,,,,,
,,,,,,,,,,,,,,,,,-38.88888889,10,20,75,-28.88888889,38.88888889,38.88888889,-0.22373055,-0.38787341,1,0,0,6.842,submitButton,57.61904762,-0.22373055,-0.38787341,0,0,0,0,21,21,9,1,10,22212,N,180,2022-02-10_11h16.47.976,orientation adjustment blockN,2021.2.3,Linux x86_64,60.0024001,,,,,,,
,,,,,,,,,,,,,,,,,-33.88888889,21,20,75,-12.88888889,33.88888889,33.88888889,-0.22373055,-0.38787341,1,0,0,3.9826,submitButton,54.65277778,-0.22373055,-0.38787341,0,0,0,0,22,22,20,1,21,22212,N,180,2022-02-10_11h16.47.976,orientation adjustment blockN,2021.2.3,Linux x86_64,60.0024001,,,,,,,
,,,,,,,,,,,,,,,,,44.44444444,56,20,75,100.4444444,44.44444444,44.44444444,-0.248314012,-0.414503275,1,0,0,0.3487,submitButton,53.51851852,-0.248314012,-0.414503275,0,0,0,0,23,23,55,1,56,22212,N,180,2022-02-10_11h16.47.976,orientation adjustment blockN,2021.2.3,Linux x86_64,60.0024001,,,,,,,
,,,,,,,,,,,,,,,,,51.11111111,-46,20,75,5.111111111,51.11111111,51.11111111,-0.274023143,-0.401906726,1,0,0,0.5309,submitButton,53.27777778,-0.241985967,-0.402361111,0,0,0,0,24,24,120,1,46,22212,N,180,2022-02-10_11h16.47.976,orientation adjustment blockN,2021.2.3,Linux x86_64,60.0024001,,,,,,,
,,,,,,,,,,,,,,,,,-25.55555556,-35,20,75,-60.55555556,25.55555556,25.55555556,-0.250342052,-0.402548,1,0,0,0.9346,submitButton,50.75757576,-0.250342052,-0.402548,0,0,0,0,25,25,109,1,35,22212,N,180,2022-02-10_11h16.47.976,orientation adjustment blockN,2021.2.3,Linux x86_64,60.0024001,,,,,,,
,,,,,,,,,,,,,,,,,-70,-27,20,75,-97,70,70,-0.260200088,-0.397719164,1,0,0,0.2156,submitButton,52.36111111,-0.260200088,-0.397719164,0,0,0,0,26,26,26,1,27,22212,N,180,2022-02-10_11h16.47.976,orientation adjustment blockN,2021.2.3,Linux x86_64,60.0024001,,,,,,,
,,,,,,,,,,,,,,,,,30,13,20,75,43,30,30,-0.286692032,-0.38683737,1,0,0,0.4234,submitButton,50.64102564,-0.286692032,-0.38683737,0,0,0,0,27,27,12,1,13,22212,N,180,2022-02-10_11h16.47.976,orientation adjustment blockN,2021.2.3,Linux x86_64,60.0024001,,,,,,,
,,,,,,,,,,,,,,,,,60,-22,20,75,38,60,60,-0.286692032,-0.38683737,1,0,0,0.4431,submitButton,51.30952381,-0.281529521,-0.391793635,0,0,0,0,28,28,96,1,22,22212,N,180,2022-02-10_11h16.47.976,orientation adjustment blockN,2021.2.3,Linux x86_64,60.0024001,,,,,,,
,,,,,,,,,,,,,,,,,39.44444444,-22,20,75,17.44444444,39.44444444,39.44444444,-0.248587629,-0.405132654,1,0,0,1.3458,submitButton,50.51851852,0.348754791,-0.417247234,1,0,0,0,29,29,21,1,22,22212,N,180,2022-02-10_11h16.47.976,orientation adjustment blockN,2021.2.3,Linux x86_64,60.0024001,continueButton,,,,,,
,,,,,,,,,,,,,,,,,75,-61,20,75,13,74,74,0.358427726,-0.296173536,1,0,0,0.7094,submitButton,51.98611111,-0.220513207,-0.388047103,0,0,0,0,30,30,60,1,61,22212,N,180,2022-02-10_11h16.47.976,orientation adjustment blockN,2021.2.3,Linux x86_64,60.0024001,,,,,,,
,,,,,,,,,,,,,,,,,69.44444444,-61,20,75,8.444444444,69.44444444,69.44444444,-0.220513207,-0.388047103,1,0,0,0.2527,submitButton,53.0130719,-0.220513207,-0.388047103,0,0,0,0,31,31,135,1,61,22212,N,180,2022-02-10_11h16.47.976,orientation adjustment blockN,2021.2.3,Linux x86_64,60.0024001,,,,,,,
,,,,,,,,,,,,,,,,,60.55555556,12,20,75,72.55555556,60.55555556,60.55555556,-0.220513207,-0.388047103,1,0,0,0.3259,submitButton,53.43209877,-0.220513207,-0.388047103,0,0,0,0,32,32,11,1,12,22212,N,180,2022-02-10_11h16.47.976,orientation adjustment blockN,2021.2.3,Linux x86_64,60.0024001,,,,,,,
,,,,,,,,,,,,,,,,,75,-84,20,75,-9,75,75,-0.220513207,-0.388047103,1,0,0,0.1225,submitButton,54.56725146,-0.220513207,-0.388047103,0,0,0,0,33,33,83,1,84,22212,N,180,2022-02-10_11h16.47.976,orientation adjustment blockN,2021.2.3,Linux x86_64,60.0024001,,,,,,,
,,,,,,,,,,,,,,,,,-51.66666667,27,20,75,-24.66666667,51.66666667,51.66666667,-0.220513207,-0.388047103,1,0,0,0.2937,submitButton,54.42222222,-0.220513207,-0.388047103,1,0,0,0,34,34,101,1,27,22212,N,180,2022-02-10_11h16.47.976,orientation adjustment blockN,2021.2.3,Linux x86_64,60.0024001,,,,,,,
,,,,,,,,,,,,,,,,,-71.66666667,-58,20,75,-129.6666667,71.66666667,71.66666667,-0.220513207,-0.388047103,1,0,0,0.1797,submitButton,55.24338624,-0.220513207,-0.388047103,0,0,0,0,35,35,132,1,58,22212,N,180,2022-02-10_11h16.47.976,orientation adjustment blockN,2021.2.3,Linux x86_64,60.0024001,,,,,,,
,,,,,,,,,,,,,,,,,45.55555556,62,20,75,107.5555556,45.55555556,45.55555556,-0.220513207,-0.388047103,1,0,0,0.0931,submitButton,54.8030303,-0.220513207,-0.388047103,0,0,0,0,36,36,136,1,62,22212,N,180,2022-02-10_11h16.47.976,orientation adjustment blockN,2021.2.3,Linux x86_64,60.0024001,,,,,,,
,,,,,,,,,,,,,,,,,46.66666667,70,20,75,116.6666667,46.66666667,46.66666667,-0.218861013,-0.396306961,1,0,0,0.0828,submitButton,54.44927536,-0.218861013,-0.396306961,0,0,0,0,37,37,144,1,70,22212,N,180,2022-02-10_11h16.47.976,orientation adjustment blockN,2021.2.3,Linux x86_64,60.0024001,,,,,,,
,,,,,,,,,,,,,,,,,-36.11111111,48,20,75,11.88888889,36.11111111,36.11111111,-0.218861013,-0.396306961,1,0,0,0.1606,submitButton,53.68518519,-0.218861013,-0.396306961,0,0,0,0,38,38,47,1,48,22212,N,180,2022-02-10_11h16.47.976,orientation adjustment blockN,2021.2.3,Linux x86_64,60.0024001,,,,,,,
,,,,,,,,,,,,,,,,,57.22222222,44,20,75,101.2222222,57.22222222,57.22222222,-0.218861013,-0.396306961,1,0,0,0.4739,submitButton,53.82666667,-0.218861013,-0.396306961,0,0,0,0,39,39,118,1,44,22212,N,180,2022-02-10_11h16.47.976,orientation adjustment blockN,2021.2.3,Linux x86_64,60.0024001,,,,,,,
,,,,,,,,,,,,,,,,,-74.44444444,-14,20,75,-88.44444444,74.44444444,74.44444444,-0.218861013,-0.396306961,1,0,0,0.4977,submitButton,54.61965812,-0.218861013,-0.396306961,0,0,0,0,40,40,13,1,14,22212,N,180,2022-02-10_11h16.47.976,orientation adjustment blockN,2021.2.3,Linux x86_64,60.0024001,,,,,,,
,,,,,,,,,,,,,,,,,-30.55555556,-15,20,75,-45.55555556,30.55555556,30.55555556,-0.218861013,-0.396306961,1,0,0,0.3888,submitButton,53.72839506,-0.218861013,-0.396306961,0,0,0,0,41,41,14,1,15,22212,N,180,2022-02-10_11h16.47.976,orientation adjustment blockN,2021.2.3,Linux x86_64,60.0024001,,,,,,,
,,,,,,,,,,,,,,,,,-57.22222222,19,20,75,-38.22222222,57.22222222,57.22222222,-0.218861013,-0.396306961,1,0,0,0.7116,submitButton,53.8531746,-0.218861013,-0.396306961,0,0,0,0,42,42,18,1,19,22212,N,180,2022-02-10_11h16.47.976,orientation adjustment blockN,2021.2.3,Linux x86_64,60.0024001,,,,,,,
,,,,,,,,,,,,,,,,,-49.44444444,23,20,75,-26.44444444,49.44444444,49.44444444,-0.218861013,-0.396306961,1,0,0,0.6742,submitButton,53.70114943,-0.218861013,-0.396306961,0,0,0,0,43,43,22,1,23,22212,N,180,2022-02-10_11h16.47.976,orientation adjustment blockN,2021.2.3,Linux x86_64,60.0024001,,,,,,,
,,,,,,,,,,,,,,,,,-28.88888889,28,20,75,-0.888888889,28.88888889,28.88888889,-0.218861013,-0.396306961,1,0,0,0.8548,submitButton,52.87407407,0.424310159,-0.407077782,1,0,0,0,44,44,102,1,28,22212,N,180,2022-02-10_11h16.47.976,orientation adjustment blockN,2021.2.3,Linux x86_64,60.0024001,continueButton,,,,,,
,,,,,,,,,,,,,,,,,30.55555556,-28,20,75,2.555555556,30.55555556,30.55555556,-0.334503909,-0.401195894,1,0,0,0.7062,submitButton,52.15412186,-0.334503909,-0.401195894,0,0,0,0,45,45,27,1,28,22212,N,180,2022-02-10_11h16.47.976,orientation adjustment blockN,2021.2.3,Linux x86_64,60.0024001,,,,,,,
,,,,,,,,,,,,,,,,,62.22222222,-86,20,75,-23.77777778,62.22222222,62.22222222,-0.358044694,-0.397065807,1,0,0,0.6206,submitButton,52.46875,-0.358044694,-0.397065807,0,0,0,0,46,46,85,1,86,22212,N,180,2022-02-10_11h16.47.976,orientation adjustment blockN,2021.2.3,Linux x86_64,60.0024001,,,,,,,
,,,,,,,,,,,,,,,,,38.33333333,-20,20,75,18.33333333,38.33333333,38.33333333,-0.346654221,-0.399593543,1,0,0,0.7454,submitButton,52.04040404,-0.346654221,-0.399593543,0,0,0,0,47,47,94,1,20,22212,N,180,2022-02-10_11h16.47.976,orientation adjustment blockN,2021.2.3,Linux x86_64,60.0024001,,,,,,,
,,,,,,,,,,,,,,,,,-45,30,20,75,-15,45,45,-0.346654221,-0.399593543,1,0,0,0.5297,submitButton,51.83333333,-0.346654221,-0.399593543,0,0,0,0,48,48,29,1,30,22212,N,180,2022-02-10_11h16.47.976,orientation adjustment blockN,2021.2.3,Linux x86_64,60.0024001,,,,,,,
,,,,,,,,,,,,,,,,,-25,-32,20,75,-57,25,25,-0.346654221,-0.399593543,1,0,0,0.2705,submitButton,51.06666667,-0.346654221,-0.399593543,0,0,0,0,49,49,31,1,32,22212,N,180,2022-02-10_11h16.47.976,orientation adjustment blockN,2021.2.3,Linux x86_64,60.0024001,,,,,,,
,,,,,,,,,,,,,,,,,-74.44444444,-55,20,75,-129.4444444,74.44444444,74.44444444,-0.346654221,-0.399593543,1,0,0,0.5634,submitButton,51.71604938,-0.346654221,-0.399593543,0,0,0,0,50,50,54,1,55,22212,N,180,2022-02-10_11h16.47.976,orientation adjustment blockN,2021.2.3,Linux x86_64,60.0024001,,,,,,,
,,,,,,,,,,,,,,,,,21.66666667,52,20,75,73.66666667,21.66666667,21.66666667,-0.346654221,-0.399593543,1,0,0,0.596,submitButton,50.9039039,-0.346654221,-0.399593543,0,0,0,0,51,51,126,1,52,22212,N,180,2022-02-10_11h16.47.976,orientation adjustment blockN,2021.2.3,Linux x86_64,60.0024001,,,,,,,
,,,,,,,,,,,,,,,,,-38.33333333,59,20,75,20.66666667,38.33333333,38.33333333,-0.346654221,-0.399593543,1,0,0,1.6532,submitButton,50.57309942,-0.346654221,-0.399593543,0,0,0,0,52,52,58,1,59,22212,N,180,2022-02-10_11h16.47.976,orientation adjustment blockN,2021.2.3,Linux x86_64,60.0024001,,,,,,,
,,,,,,,,,,,,,,,,,-66.11111111,39,20,75,-27.11111111,66.11111111,66.11111111,-0.346654221,-0.399593543,1,0,0,0.3799,submitButton,50.97150997,-0.346654221,-0.399593543,0,0,0,0,53,53,113,1,39,22212,N,180,2022-02-10_11h16.47.976,orientation adjustment blockN,2021.2.3,Linux x86_64,60.0024001,,,,,,,
,,,,,,,,,,,,,,,,,-58.88888889,-23,20,75,-81.88888889,58.88888889,58.88888889,-0.346654221,-0.399593543,1,0,0,0.4184,submitButton,51.16944444,-0.346654221,-0.399593543,0,0,0,0,54,54,97,1,23,22212,N,180,2022-02-10_11h16.47.976,orientation adjustment blockN,2021.2.3,Linux x86_64,60.0024001,,,,,,,
,,,,,,,,,,,,,,,,,25.55555556,-26,20,75,-0.444444444,25.55555556,25.55555556,-0.346654221,-0.399593543,1,0,0,0.5244,submitButton,50.54471545,-0.346654221,-0.399593543,0,0,0,0,55,55,25,1,26,22212,N,180,2022-02-10_11h16.47.976,orientation adjustment blockN,2021.2.3,Linux x86_64,60.0024001,,,,,,,
,,,,,,,,,,,,,,,,,-53.33333333,-45,20,75,-98.33333333,53.33333333,53.33333333,-0.346654221,-0.399593543,1,0,0,0.3391,submitButton,50.61111111,-0.346654221,-0.399593543,0,0,0,0,56,56,119,1,45,22212,N,180,2022-02-10_11h16.47.976,orientation adjustment blockN,2021.2.3,Linux x86_64,60.0024001,,,,,,,
,,,,,,,,,,,,,,,,,-62.77777778,-43,20,75,-105.7777778,62.77777778,62.77777778,-0.346654221,-0.399593543,1,0,0,0.908,submitButton,50.89405685,-0.346654221,-0.399593543,0,0,0,0,57,57,42,1,43,22212,N,180,2022-02-10_11h16.47.976,orientation adjustment blockN,2021.2.3,Linux x86_64,60.0024001,,,,,,,
