"","distance_ 21486","distance_ 21589","distance_ 22223","distance_ 66943","distance_ 67084","distance_ 67246","distance_ 67312","distance_ 67429","distance_ 67501","distance_ 67561","distance_ 68857","distance_ 68929","distance_ 68998","distance_ 69190","distance_ 69214","distance_ 69364","distance_ 69700","distance_ 69757"
"1",41.11111111,37.22222222,33.88888889,30,31.66666667,71.66666667,63.88888889,42.22222222,56.66666667,27.22222222,60,46.66666667,41.11111111,36.66666667,53.33333333,32.22222222,22.77777778,52.77777778
"2",62.22222222,22.77777778,46.11111111,56.66666667,73.33333333,22.22222222,70,45,24.44444444,23.33333333,43.33333333,49.44444444,50,48.88888889,63.88888889,68.33333333,43.88888889,25.55555556
"3",53.33333333,34.44444444,21.11111111,45,31.11111111,75,49.44444444,56.11111111,71.66666667,70.55555556,58.88888889,61.11111111,57.22222222,50.55555556,40.55555556,40,66.11111111,51.11111111
"4",21.66666667,56.66666667,37.77777778,57.22222222,58.33333333,39.44444444,52.22222222,27.22222222,61.11111111,75,37.22222222,48.88888889,41.66666667,27.77777778,52.77777778,48.33333333,23.33333333,67.77777778
"5",69.44444444,71.66666667,53.33333333,52.22222222,43.33333333,66.66666667,70.55555556,21.66666667,36.66666667,32.77777778,55.55555556,68.33333333,22.77777778,20.55555556,35,25.55555556,55.55555556,23.88888889
"6",22.77777778,48.88888889,37.22222222,61.66666667,51.66666667,66.66666667,51.66666667,45.55555556,54.44444444,52.22222222,63.33333333,38.88888889,20.55555556,37.22222222,49.44444444,34.44444444,55.55555556,47.77777778
"7",62.22222222,41.11111111,25,27.22222222,23.33333333,58.33333333,52.22222222,68.88888889,61.66666667,40.55555556,53.88888889,41.11111111,48.33333333,50.55555556,24.44444444,42.77777778,49.44444444,21.11111111
"8",71.11111111,66.66666667,42.22222222,75,40,75,26.11111111,67.22222222,52.22222222,67.77777778,26.66666667,45.55555556,71.11111111,45,59.44444444,56.66666667,64.44444444,63.88888889
"9",26.11111111,48.33333333,24.44444444,66.66666667,26.11111111,70,46.11111111,46.66666667,75,48.33333333,21.11111111,45,60.55555556,60.55555556,35.55555556,50,28.33333333,58.88888889
"10",27.77777778,40.55555556,56.11111111,38.88888889,69.44444444,47.77777778,45.55555556,24.44444444,59.44444444,46.11111111,32.77777778,29.44444444,55.55555556,47.77777778,75,48.88888889,39.44444444,52.77777778
"11",62.22222222,41.11111111,62.77777778,52.77777778,59.44444444,28.88888889,61.11111111,33.88888889,62.77777778,72.77777778,48.33333333,51.66666667,46.66666667,66.66666667,42.77777778,72.22222222,59.44444444,71.11111111
"12",33.88888889,39.44444444,52.22222222,35,61.11111111,45,43.88888889,45,46.66666667,36.11111111,42.22222222,37.22222222,68.88888889,24.44444444,31.11111111,33.88888889,26.66666667,57.22222222
"13",45,20,44.44444444,35.55555556,62.77777778,25.55555556,31.66666667,25.55555556,28.88888889,47.77777778,31.11111111,51.66666667,60.55555556,32.22222222,21.66666667,33.88888889,29.44444444,60
"14",47.77777778,56.11111111,38.33333333,41.66666667,20,73.33333333,36.66666667,67.77777778,25.55555556,41.11111111,53.33333333,29.44444444,57.22222222,38.33333333,31.11111111,25.55555556,47.22222222,51.11111111
