consentMouse1.x,consentMouse1.y,consentMouse1.leftButton,consentMouse1.midButton,consentMouse1.rightButton,consentMouse1.clicked_name,consent_Mouse.x,consent_Mouse.y,consent_Mouse.leftButton,consent_Mouse.midButton,consent_Mouse.rightButton,consent_Mouse.clicked_name,startMouse.x,startMouse.y,startMouse.leftButton,startMouse.midButton,startMouse.rightButton,startMouse_2.x,startMouse_2.y,startMouse_2.leftButton,startMouse_2.midButton,startMouse_2.rightButton,start_distance,fixedOri,minimalDistance,maxOri,this_ori,accuracy,presented_accuracy,presented_this_ori,submitMouse.x,submitMouse.y,submitMouse.leftButton,submitMouse.midButton,submitMouse.rightButton,submitMouse.time,submitMouse.clicked_name,pauseMouse.x,pauseMouse.y,pauseMouse.leftButton,pauseMouse.midButton,pauseMouse.rightButton,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,startOri,participant,condition,nTrials,date,expName,psychopyVersion,OS,frameRate,pauseMouse.clicked_name,EndButtonMouse.x,EndButtonMouse.y,EndButtonMouse.leftButton,EndButtonMouse.midButton,EndButtonMouse.rightButton,EndButtonMouse.clicked_name
0.358258591,-0.405948847,1,0,0,consent_button1,0.416749786,-0.407278193,1,0,0,consent_button,0.229312093,-0.29694253,1,0,0,0.229312093,-0.29694253,1,0,0,68.88888889,-19,20,75,50.88888889,69.88888889,55.91111111,-53.08888889,0.383516233,-0.293619166,1,0,0,0.9815,submitButton,-0.261881009,-0.415254265,0,0,0,0,0,0,3,1,19,67258,2,180,2022-02-10_19h38.46.369,orientation adjustment 2,2021.2.3,Win32,59.66943135,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,-58.33333333,73,20,75,83.66666667,10.66666667,4.266666667,-12.73333333,0.182120334,-0.292954494,1,0,0,0.1943,submitButton,-0.039880338,-0.315553364,0,0,0,0,1,1,57,1,73,67258,2,180,2022-02-10_19h38.46.369,orientation adjustment 2,2021.2.3,Win32,59.66943135,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,72.22222222,23,20,75,3.222222222,19.77777778,12.85555556,-79.85555556,0.408773713,-0.29694253,1,0,0,0.0835,submitButton,0.014622821,-0.322200091,0,0,0,0,2,2,7,1,23,67258,2,180,2022-02-10_19h38.46.369,orientation adjustment 2,2021.2.3,Win32,59.66943135,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,-30,-49,20,75,-39,10,4,-135,0.183449679,-0.302259911,1,0,0,0.5835,submitButton,-0.248587556,-0.364739142,0,0,0,0,3,3,33,1,49,67258,2,180,2022-02-10_19h38.46.369,orientation adjustment 2,2021.2.3,Win32,59.66943135,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,-67.22222222,16,20,75,35.77777778,19.77777778,12.85555556,-61.14444444,-0.216683268,-0.414589592,1,0,0,1.8832,submitButton,-0.049850428,-0.32951149,0,0,0,0,4,4,0,1,16,67258,2,180,2022-02-10_19h38.46.369,orientation adjustment 2,2021.2.3,Win32,59.66943135,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,-33.88888889,61,20,75,-103.8888889,15.11111111,9.822222222,-38.82222222,0.423396593,-0.29694253,1,0,0,0.1667,submitButton,-0.309072769,-0.409936883,0,0,0,0,5,5,45,1,61,67258,2,180,2022-02-10_19h38.46.369,orientation adjustment 2,2021.2.3,Win32,59.66943135,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,58.33333333,28,20,75,21.33333333,6.666666667,2.666666667,-64.66666667,0.416085113,-0.308906638,1,0,0,0.700099999,submitButton,-0.310402114,-0.399302121,0,0,0,0,6,6,12,1,28,67258,2,180,2022-02-10_19h38.46.369,orientation adjustment 2,2021.2.3,Win32,59.66943135,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,47.77777778,-25,20,75,-35.22222222,10.22222222,4.088888889,-119.0888889,-0.308408096,-0.437188463,1,0,0,1.583700001,submitButton,-0.323030895,-0.399302121,0,0,0,0,7,7,9,1,25,67258,2,180,2022-02-10_19h38.46.369,orientation adjustment 2,2021.2.3,Win32,59.66943135,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,-30.55555556,30,20,75,40.44444444,10.44444444,4.177777778,-55.82222222,-0.269192408,-0.418577628,1,0,0,1.1006,submitButton,-0.269192408,-0.418577628,0,0,0,0,8,8,14,1,30,67258,2,180,2022-02-10_19h38.46.369,orientation adjustment 2,2021.2.3,Win32,59.66943135,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,-33.33333333,-65,20,75,-253.3333333,8.333333333,3.333333333,-158.3333333,-0.144233906,-0.403290157,1,0,0,2.667,submitButton,-0.144233906,-0.403290157,0,0,0,0,9,9,49,1,65,67258,2,180,2022-02-10_19h38.46.369,orientation adjustment 2,2021.2.3,Win32,59.66943135,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,26.66666667,36,20,75,214.6666667,1.333333333,0.533333333,-53.46666667,-0.162180068,-0.395314085,1,0,0,2.5838,submitButton,-0.162180068,-0.395314085,0,0,0,0,10,10,20,1,36,67258,2,180,2022-02-10_19h38.46.369,orientation adjustment 2,2021.2.3,Win32,59.66943135,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,57.77777778,35,20,75,17.77777778,17.22222222,11.19444444,-66.19444444,-0.192090338,-0.413924919,1,0,0,1.3339,submitButton,-0.192090338,-0.413924919,0,0,0,0,11,11,19,1,35,67258,2,180,2022-02-10_19h38.46.369,orientation adjustment 2,2021.2.3,Win32,59.66943135,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,-42.77777778,-63,20,75,-231.7777778,11.22222222,4.488888889,-157.4888889,-0.236623448,-0.425224355,1,0,0,2.1002,submitButton,-0.236623448,-0.425224355,0,0,0,0,12,12,47,1,63,67258,2,180,2022-02-10_19h38.46.369,orientation adjustment 2,2021.2.3,Win32,59.66943135,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,53.88888889,20,20,75,24.88888889,4.888888889,1.955555556,-68.04444444,0.348953173,-0.322200091,1,0,0,0.315799999,submitButton,-0.189431688,-0.423895009,0,0,0,0,13,13,4,1,20,67258,2,180,2022-02-10_19h38.46.369,orientation adjustment 2,2021.2.3,Win32,59.66943135,,,,,,,
