consentMouse1.x,consentMouse1.y,consentMouse1.leftButton,consentMouse1.midButton,consentMouse1.rightButton,consentMouse1.clicked_name,consent_Mouse.x,consent_Mouse.y,consent_Mouse.leftButton,consent_Mouse.midButton,consent_Mouse.rightButton,consent_Mouse.clicked_name,startMouse.x,startMouse.y,startMouse.leftButton,startMouse.midButton,startMouse.rightButton,startMouse_2.x,startMouse_2.y,startMouse_2.leftButton,startMouse_2.midButton,startMouse_2.rightButton,start_distance,fixedOri,minimalDistance,maxOri,this_ori,accuracy,presented_accuracy,presented_this_ori,submitMouse.x,submitMouse.y,submitMouse.leftButton,submitMouse.midButton,submitMouse.rightButton,submitMouse.time,submitMouse.clicked_name,pauseMouse.x,pauseMouse.y,pauseMouse.leftButton,pauseMouse.midButton,pauseMouse.rightButton,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,startOri,participant,condition,nTrials,date,expName,psychopyVersion,OS,frameRate,pauseMouse.clicked_name,EndButtonMouse.x,EndButtonMouse.y,EndButtonMouse.leftButton,EndButtonMouse.midButton,EndButtonMouse.rightButton,EndButtonMouse.clicked_name
0.414444444,-0.398888889,1,0,0,consent_button1,0.402222222,-0.403333333,1,0,0,consent_button,0.402222222,-0.403333333,1,0,0,0.345555556,-0.41,1,0,0,-29.44444444,60,20,75,89.55555556,29.55555556,19.21111111,-10.78888889,0.198888889,-0.305555556,1,0,0,1.731,submitButton,-0.172222222,-0.405555556,0,0,0,0,0,0,44,1,60,67507,2,180,2022-02-10_12h27.35,orientation adjustment 2,2021.2.3,MacIntel,58.82352941,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,-42.22222222,24,20,75,42.77777778,18.77777778,12.20555556,-53.79444444,0.186666667,-0.313333333,1,0,0,2.051,submitButton,-0.193333333,-0.413333333,0,0,0,0,1,1,8,1,24,67507,2,180,2022-02-10_12h27.35,orientation adjustment 2,2021.2.3,MacIntel,58.82352941,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,-23.33333333,41,20,75,46.66666667,5.666666667,2.266666667,-46.73333333,0.2,-0.306666667,1,0,0,0.95,submitButton,-0.193333333,-0.393333333,0,0,0,0,2,2,25,1,41,67507,2,180,2022-02-10_12h27.35,orientation adjustment 2,2021.2.3,MacIntel,58.82352941,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,58.88888889,-32,20,75,-41.11111111,9.111111111,3.644444444,-125.6444444,0.426666667,-0.294444444,1,0,0,0.433,submitButton,-0.237777778,-0.406666667,0,0,0,0,3,3,16,1,32,67507,2,180,2022-02-10_12h27.35,orientation adjustment 2,2021.2.3,MacIntel,58.82352941,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,-68.88888889,59,20,75,69.11111111,10.11111111,4.044444444,-26.95555556,0.226666667,-0.304444444,1,0,0,2.266,submitButton,0.136666667,-0.318888889,0,0,0,0,4,4,43,1,59,67507,2,180,2022-02-10_12h27.35,orientation adjustment 2,2021.2.3,MacIntel,58.82352941,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,48.88888889,-40,20,75,-37.11111111,2.888888889,1.155555556,-128.8444444,0.415555556,-0.301111111,1,0,0,0.516,submitButton,-0.13,-0.42,0,0,0,0,5,5,24,1,40,67507,2,180,2022-02-10_12h27.35,orientation adjustment 2,2021.2.3,MacIntel,58.82352941,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,38.88888889,-68,20,75,-65.11111111,2.888888889,1.155555556,-156.8444444,-0.156666667,-0.396666667,1,0,0,1.534,submitButton,-0.156666667,-0.395555556,0,0,0,0,6,6,52,1,68,67507,2,180,2022-02-10_12h27.35,orientation adjustment 2,2021.2.3,MacIntel,58.82352941,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,-27.77777778,16,20,75,24.22222222,8.222222222,3.288888889,-70.71111111,-0.147777778,-0.413333333,1,0,0,0.933,submitButton,-0.146666667,-0.413333333,0,0,0,0,7,7,0,1,16,67507,2,180,2022-02-10_12h27.35,orientation adjustment 2,2021.2.3,MacIntel,58.82352941,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,-32.77777778,-56,20,75,-69.77777778,13.77777778,5.511111111,-151.5111111,0.232222222,-0.31,1,0,0,0.718,submitButton,-0.128888889,-0.395555556,0,0,0,0,8,8,40,1,56,67507,2,180,2022-02-10_12h27.35,orientation adjustment 2,2021.2.3,MacIntel,58.82352941,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,-31.66666667,58,20,75,59.33333333,1.333333333,0.533333333,-31.46666667,-0.242222222,-0.408888889,1,0,0,1.334,submitButton,-0.212222222,-0.395555556,0,0,0,0,9,9,42,1,58,67507,2,180,2022-02-10_12h27.35,orientation adjustment 2,2021.2.3,MacIntel,58.82352941,,,,,,,
