consentMouse1.x,consentMouse1.y,consentMouse1.leftButton,consentMouse1.midButton,consentMouse1.rightButton,consentMouse1.clicked_name,consent_Mouse.x,consent_Mouse.y,consent_Mouse.leftButton,consent_Mouse.midButton,consent_Mouse.rightButton,consent_Mouse.clicked_name,startMouse.x,startMouse.y,startMouse.leftButton,startMouse.midButton,startMouse.rightButton,startMouse_2.x,startMouse_2.y,startMouse_2.leftButton,startMouse_2.midButton,startMouse_2.rightButton,start_distance,fixedOri,minimalDistance,maxOri,this_ori,accuracy,presented_accuracy,presented_this_ori,submitMouse.x,submitMouse.y,submitMouse.leftButton,submitMouse.midButton,submitMouse.rightButton,submitMouse.time,submitMouse.clicked_name,pauseMouse.x,pauseMouse.y,pauseMouse.leftButton,pauseMouse.midButton,pauseMouse.rightButton,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,startOri,participant,condition,nTrials,date,expName,psychopyVersion,OS,frameRate,pauseMouse.clicked_name,EndButtonMouse.x,EndButtonMouse.y,EndButtonMouse.leftButton,EndButtonMouse.midButton,EndButtonMouse.rightButton,EndButtonMouse.clicked_name
0.385416667,-0.408854167,1,0,0,consent_button1,0.375,-0.399739583,1,0,0,consent_button,0.375,-0.399739583,1,0,0,0.127604167,-0.364583333,1,0,0,53.33333333,-69,20,75,23.33333333,87.66666667,70.13333333,-88.86666667,0.208333333,-0.303385417,1,0,0,2.2843,submitButton,-0.220052083,-0.256510417,0,0,0,0,0,0,53,1,69,69352,2,180,2022-02-10_10h45.19.831,orientation adjustment 2,2021.2.3,Win32,60.0240096,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,-20,75,20,75,79,4,1.6,-13.4,0.220052083,-0.305989583,1,0,0,0.1326,submitButton,-0.0703125,-0.498697917,0,0,0,0,1,1,59,1,75,69352,2,180,2022-02-10_10h45.19.831,orientation adjustment 2,2021.2.3,Win32,60.0240096,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,33.33333333,-23,20,75,-32.66666667,9.666666667,3.866666667,-116.8666667,0.416666667,-0.283854167,1,0,0,0.2845,submitButton,-0.125,-0.389322917,0,0,0,0,2,2,7,1,23,69352,2,180,2022-02-10_10h45.19.831,orientation adjustment 2,2021.2.3,Win32,60.0240096,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,-31.66666667,-54,20,75,-50.66666667,3.333333333,1.333333333,-142.6666667,0.192708333,-0.313802083,1,0,0,0.1665,submitButton,-0.251302083,-0.481770833,0,0,0,0,3,3,38,1,54,69352,2,180,2022-02-10_10h45.19.831,orientation adjustment 2,2021.2.3,Win32,60.0240096,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,-74.44444444,34,20,75,49.55555556,15.55555556,10.11111111,-45.88888889,0.182291667,-0.313802083,1,0,0,1.1494,submitButton,-0.0546875,-0.459635417,0,0,0,0,4,4,18,1,34,69352,2,180,2022-02-10_10h45.19.831,orientation adjustment 2,2021.2.3,Win32,60.0240096,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,26.11111111,40,20,75,41.11111111,1.111111111,0.444444444,-49.55555556,0.393229167,-0.291666667,1,0,0,0.5655,submitButton,-0.313802083,-0.498697917,0,0,0,0,5,5,24,1,40,69352,2,180,2022-02-10_10h45.19.831,orientation adjustment 2,2021.2.3,Win32,60.0240096,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,-35,45,20,75,45,0,0,-45,0.1953125,-0.3125,1,0,0,0.0173,submitButton,-0.177083333,-0.4296875,0,0,0,0,6,6,29,1,45,69352,2,180,2022-02-10_10h45.19.831,orientation adjustment 2,2021.2.3,Win32,60.0240096,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,30,-18,20,75,-25,7,2.8,-110.8,0.427083333,-0.302083333,1,0,0,0.5152,submitButton,-0.26953125,-0.450520833,0,0,0,0,7,7,2,1,18,69352,2,180,2022-02-10_10h45.19.831,orientation adjustment 2,2021.2.3,Win32,60.0240096,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,39.44444444,-51,20,75,-57.55555556,6.555555556,2.622222222,-143.6222222,0.3984375,-0.279947917,1,0,0,0.4661,submitButton,-0.11328125,-0.403645833,0,0,0,0,8,8,35,1,51,69352,2,180,2022-02-10_10h45.19.831,orientation adjustment 2,2021.2.3,Win32,60.0240096,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,-71.11111111,71,20,75,64.88888889,6.111111111,2.444444444,-21.44444444,0.212239583,-0.307291667,1,0,0,0.8836,submitButton,-0.19140625,-0.4375,0,0,0,0,9,9,55,1,71,69352,2,180,2022-02-10_10h45.19.831,orientation adjustment 2,2021.2.3,Win32,60.0240096,,,,,,,
