0,accuracy,rate,logA,logR,,block
0,20.93395062,0.478894872,1.320851195,-0.319759813,,1
0,17.25802469,0.406195773,1.236991086,-0.3912646,,2
0,19.74012346,0.458697294,1.295349865,-0.338473822,,3
0,18.27592593,0.45263279,1.261879389,-0.344253988,,4
0,18.97098765,0.437500664,1.278089941,-0.359021284,,5
0,17.11358025,0.40769265,1.233340876,-0.389667118,,6
0,17.83888889,0.375554375,1.2513678,-0.425327174,,7
0,20.39506173,0.455769576,1.309525024,-0.341254669,,8
0,17.0654321,0.429735281,1.232117289,-0.36679899,,9
0,15.6037037,0.36983668,1.193227695,-0.431990018,,10
0,18.36358025,0.466609953,1.263957357,-0.331046002,,11
0,16.6,0.402662076,1.220108088,-0.395059272,,12
