accuracy,accuracy,accuracy,accuracy,accuracy,,,,,,,,,,average,logA,trial
69.88888889,29.55555556,87.66666667,42.11111111,46.11111111,,,,,,,,,,55.06666667,1.740888788,1
10.66666667,18.77777778,4,36.66666667,31.33333333,,,,,,,,,,20.28888889,1.307258264,2
19.77777778,5.666666667,9.666666667,7.888888889,10.33333333,,,,,,,,,,10.66666667,1.028028724,3
10,9.111111111,3.333333333,1.111111111,8.888888889,,,,,,,,,,6.488888889,0.812170338,4
19.77777778,10.11111111,15.55555556,5.111111111,8.333333333,,,,,,,,,,11.77777778,1.071063356,5
15.11111111,2.888888889,1.111111111,1.222222222,17.66666667,,,,,,,,,,7.6,0.880813592,6
6.666666667,2.888888889,0,18,2.555555556,,,,,,,,,,6.022222222,0.779756777,7
10.22222222,8.222222222,7,14.77777778,7.888888889,,,,,,,,,,9.622222222,0.983275383,8
10.44444444,13.77777778,6.555555556,20.33333333,5.111111111,,,,,,,,,,11.24444444,1.050938003,9
8.333333333,1.333333333,6.111111111,17.77777778,12.66666667,,,,,,,,,,9.244444445,0.965880817,10
1.333333333,8.222222222,1,16.88888889,5.666666667,,,,,,,,,,6.622222222,0.82100375,11
17.22222222,3.111111111,10.88888889,8.444444444,4.666666667,,,,,,,,,,8.866666666,0.947760382,12
11.22222222,16.44444444,12,12.88888889,9.444444444,,,,,,,,,,12.4,1.093421685,13
4.888888889,23,6.111111111,13.55555556,7.111111111,,,,,,,,,,10.93333333,1.038752589,14
9.333333333,17.77777778,9.888888889,23.55555556,3.555555556,,,,,,,,,,12.82222222,1.107963299,15
7.333333333,4.333333333,2.888888889,22.44444444,6.777777778,,,,,,,,,,8.755555555,0.942283708,16
14,0.888888889,5.888888889,13.44444444,18,,,,,,,,,,10.44444444,1.018885344,17
5.444444444,3.555555556,3.222222222,3.888888889,18.22222222,,,,,,,,,,6.866666666,0.836745966,18
15,10.55555556,9.666666667,1,14.66666667,,,,,,,,,,10.17777778,1.007652964,19
2.666666667,4.888888889,7.555555556,31.55555556,24.33333333,,,,,,,,,,14.2,1.152288344,20
4.777777778,1,11.44444444,10.33333333,10.44444444,,,,,,,,,,7.599999998,0.880813592,21
5.111111111,11.77777778,16.55555556,8,0.888888889,,,,,,,,,,8.466666668,0.927712462,22
7.666666667,0.444444444,1,20.11111111,25.22222222,,,,,,,,,,10.88888889,1.036983566,23
5.444444444,9.666666667,22.77777778,7.666666667,7.111111111,,,,,,,,,,10.53333333,1.022565828,24
7,17.33333333,1.111111111,16.11111111,0.222222222,,,,,,,,,,8.355555555,0.921975331,25
