"","distance_ 67045","distance_ 67051","distance_ 67174","distance_ 67258","distance_ 67507","distance_ 67609","distance_ 67630","distance_ 69202","distance_ 69484","distance_ 69571","distance_ 69661","distance_ 69679","distance_ 69712","distance_ 70516"
"1",61.11111111,57.22222222,52.22222222,68.88888889,29.44444444,57.77777778,37.22222222,51.11111111,41.11111111,73.88888889,42.77777778,54.44444444,46.11111111,71.66666667
"2",21.66666667,57.22222222,29.44444444,58.33333333,42.22222222,63.33333333,64.44444444,61.66666667,26.66666667,47.77777778,63.88888889,36.66666667,53.33333333,33.88888889
"3",21.11111111,62.77777778,30.55555556,72.22222222,23.33333333,22.22222222,73.88888889,60.55555556,41.11111111,63.33333333,33.33333333,27.77777778,38.33333333,60.55555556
"4",38.88888889,71.66666667,22.77777778,30,58.88888889,42.77777778,34.44444444,68.33333333,26.11111111,46.11111111,37.22222222,47.22222222,68.88888889,73.88888889
"5",40.55555556,40.55555556,32.22222222,67.22222222,68.88888889,47.77777778,47.77777778,48.33333333,68.88888889,39.44444444,33.88888889,50.55555556,51.66666667,54.44444444
"6",52.77777778,49.44444444,53.88888889,33.88888889,48.88888889,56.11111111,45,37.22222222,42.22222222,55,71.66666667,36.66666667,51.66666667,62.22222222
"7",20.55555556,38.88888889,57.77777778,58.33333333,38.88888889,63.88888889,26.66666667,33.88888889,55,36.11111111,43.88888889,67.22222222,64.44444444,62.22222222
"8",63.88888889,27.22222222,42.77777778,47.77777778,27.77777778,33.33333333,25.55555556,29.44444444,32.77777778,38.88888889,28.88888889,63.33333333,28.88888889,58.33333333
"9",51.11111111,70.55555556,36.11111111,30.55555556,32.77777778,29.44444444,66.66666667,67.22222222,66.66666667,25,26.11111111,47.77777778,38.88888889,41.11111111
"10",73.88888889,36.11111111,61.66666667,33.33333333,31.66666667,37.77777778,20.55555556,61.66666667,37.77777778,25.55555556,20.55555556,25,61.66666667,41.66666667
"11",42.77777778,51.11111111,66.11111111,26.66666667,57.22222222,52.77777778,62.77777778,50,36.11111111,52.22222222,52.22222222,30,28.33333333,21.11111111
