consentMouse1.x,consentMouse1.y,consentMouse1.leftButton,consentMouse1.midButton,consentMouse1.rightButton,consentMouse1.clicked_name,consent_Mouse.x,consent_Mouse.y,consent_Mouse.leftButton,consent_Mouse.midButton,consent_Mouse.rightButton,consent_Mouse.clicked_name,startMouse.x,startMouse.y,startMouse.leftButton,startMouse.midButton,startMouse.rightButton,startMouse_2.x,startMouse_2.y,startMouse_2.leftButton,startMouse_2.midButton,startMouse_2.rightButton,start_distance,fixedOri,minimalDistance,maxOri,this_ori,accuracy,presented_accuracy,presented_this_ori,submitMouse.x,submitMouse.y,submitMouse.leftButton,submitMouse.midButton,submitMouse.rightButton,submitMouse.time,submitMouse.clicked_name,pauseMouse.x,pauseMouse.y,pauseMouse.leftButton,pauseMouse.midButton,pauseMouse.rightButton,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,startOri,participant,condition,nTrials,date,expName,psychopyVersion,OS,frameRate,pauseMouse.clicked_name,EndButtonMouse.x,EndButtonMouse.y,EndButtonMouse.leftButton,EndButtonMouse.midButton,EndButtonMouse.rightButton,EndButtonMouse.clicked_name
0.356481519,-0.393518602,1,0,0,consent_button1,0.366666704,-0.395370397,1,0,0,consent_button,0.254629664,-0.06759261,1,0,0,0.254629664,-0.06759261,1,0,0,-68.33333333,-53,20,75,-213.3333333,19.66666667,19.66666667,-303.3333333,0.421296335,-0.303703728,1,0,0,2.948,submitButton,-0.243518499,-0.395370397,0,0,0,0,0,0,37,1,53,69175,1,180,2022-02-09_22h41.50.505,orientation adjustment 1,2021.2.3,Win32,59.53089654,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,-53.88888889,49,20,75,46.11111111,2.888888889,2.888888889,-43.88888889,0.205555588,-0.30555558,1,0,0,0.1335,submitButton,-0.330555539,-0.397222249,0,0,0,0,1,1,33,1,49,69175,1,180,2022-02-09_22h41.50.505,orientation adjustment 1,2021.2.3,Win32,59.53089654,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,57.22222222,74,20,75,245.2222222,8.777777778,8.777777778,155.2222222,0.210185218,-0.30462971,1,0,0,0.1039,submitButton,-0.361111095,-0.398148175,0,0,0,0,2,2,58,1,74,69175,1,180,2022-02-09_22h41.50.505,orientation adjustment 1,2021.2.3,Win32,59.53089654,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,23.33333333,-60,20,75,-62.66666667,2.666666667,2.666666667,-152.6666667,0.388888927,-0.300000024,1,0,0,0.3199,submitButton,-0.227777758,-0.406481508,0,0,0,0,3,3,44,1,60,69175,1,180,2022-02-09_22h41.50.505,orientation adjustment 1,2021.2.3,Win32,59.53089654,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,65.55555556,-57,20,75,-55.44444444,1.555555556,1.555555556,-145.4444444,0.370370408,-0.30555558,1,0,0,0.1836,submitButton,-0.284259241,-0.389814841,0,0,0,0,4,4,41,1,57,69175,1,180,2022-02-09_22h41.50.505,orientation adjustment 1,2021.2.3,Win32,59.53089654,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,70.55555556,-69,20,75,-57.44444444,11.55555556,11.55555556,-147.4444444,0.390740779,-0.281481505,1,0,0,0.566,submitButton,-0.281481463,-0.409259286,0,0,0,0,5,5,53,1,69,69175,1,180,2022-02-09_22h41.50.505,orientation adjustment 1,2021.2.3,Win32,59.53089654,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,-55,-27,20,75,-30,3,3,-120,0.16851855,-0.277777801,1,0,0,0.3803,submitButton,-0.327777761,-0.395370397,0,0,0,0,6,6,11,1,27,69175,1,180,2022-02-09_22h41.50.505,orientation adjustment 1,2021.2.3,Win32,59.53089654,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,32.22222222,56,20,75,225.2222222,10.77777778,10.77777778,135.2222222,0.194444477,-0.295370394,1,0,0,3.0829,submitButton,-0.212962943,-0.400925953,0,0,0,0,7,7,40,1,56,69175,1,180,2022-02-09_22h41.50.505,orientation adjustment 1,2021.2.3,Win32,59.53089654,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,-20.55555556,58,20,75,72.44444444,14.44444444,14.44444444,-17.55555556,0.192592625,-0.286111135,1,0,0,0.4496,submitButton,-0.262037018,-0.414814842,0,0,0,0,8,8,42,1,58,69175,1,180,2022-02-09_22h41.50.505,orientation adjustment 1,2021.2.3,Win32,59.53089654,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,-55,-22,20,75,-207,5,5,-297,0.414814854,-0.281481505,1,0,0,1.1508,submitButton,-0.23888887,-0.407407491,0,0,0,0,9,9,6,1,22,69175,1,180,2022-02-09_22h41.50.505,orientation adjustment 1,2021.2.3,Win32,59.53089654,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,53.88888889,54,20,75,222.8888889,11.11111111,11.11111111,132.8888889,0.176851884,-0.281481505,1,0,0,2.0454,submitButton,-0.251851833,-0.385185268,0,0,0,0,10,10,38,1,54,69175,1,180,2022-02-09_22h41.50.505,orientation adjustment 1,2021.2.3,Win32,59.53089654,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,25,-30,20,75,-31,1,1,-121,0.400000038,-0.29166669,1,0,0,0.0995,submitButton,-0.25925924,-0.401851935,0,0,0,0,11,11,14,1,30,69175,1,180,2022-02-09_22h41.50.505,orientation adjustment 1,2021.2.3,Win32,59.53089654,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,26.11111111,-72,20,75,-71.88888889,0.111111111,0.111111111,-161.8888889,0.399074112,-0.296296377,1,0,0,0.3459,submitButton,-0.270370352,-0.413888916,0,0,0,0,12,12,56,1,72,69175,1,180,2022-02-09_22h41.50.505,orientation adjustment 1,2021.2.3,Win32,59.53089654,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,34.44444444,-28,20,75,-33.55555556,5.555555556,5.555555556,-123.5555556,0.434259299,-0.258333356,1,0,0,0.1496,submitButton,-0.244444425,-0.406481508,0,0,0,0,13,13,12,1,28,69175,1,180,2022-02-09_22h41.50.505,orientation adjustment 1,2021.2.3,Win32,59.53089654,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,-68.88888889,40,20,75,27.11111111,12.88888889,12.88888889,-62.88888889,0.230555589,-0.310185266,1,0,0,0.862,submitButton,0.507407449,-0.412963047,1,0,0,0,14,14,24,1,40,69175,1,180,2022-02-09_22h41.50.505,orientation adjustment 1,2021.2.3,Win32,59.53089654,pause_continueButton,,,,,,
,,,,,,,,,,,,,,,,,,,,,,54.44444444,24,20,75,26.44444444,2.444444444,2.444444444,-63.55555556,0.399074112,-0.299074154,1,0,0,0.4467,submitButton,0.183333365,-0.324074155,0,0,0,0,15,15,8,1,24,69175,1,180,2022-02-09_22h41.50.505,orientation adjustment 1,2021.2.3,Win32,59.53089654,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,41.11111111,34,20,75,34.11111111,0.111111111,0.111111111,-55.88888889,0.424074113,-0.300000024,1,0,0,0.3289,submitButton,-0.219444424,-0.390740824,0,0,0,0,16,16,18,1,34,69175,1,180,2022-02-09_22h41.50.505,orientation adjustment 1,2021.2.3,Win32,59.53089654,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,35,-19,20,75,-17,2,2,-107,0.394444483,-0.298148172,1,0,0,0.5797,submitButton,-0.246296277,-0.38333336,0,0,0,0,17,17,3,1,19,69175,1,180,2022-02-09_22h41.50.505,orientation adjustment 1,2021.2.3,Win32,59.53089654,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,-55.55555556,71,20,75,62.44444444,8.555555556,8.555555556,-27.55555556,0.205555588,-0.300000024,1,0,0,0.7961,submitButton,-0.202777757,-0.379629712,0,0,0,0,18,18,55,1,71,69175,1,180,2022-02-09_22h41.50.505,orientation adjustment 1,2021.2.3,Win32,59.53089654,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,35,29,20,75,39,10,10,-51,0.437963003,-0.30092595,1,0,0,0.2161,submitButton,0.137962994,-0.270370393,0,0,0,0,19,19,13,1,29,69175,1,180,2022-02-09_22h41.50.505,orientation adjustment 1,2021.2.3,Win32,59.53089654,,,,,,,
