consentMouse1.x,consentMouse1.y,consentMouse1.leftButton,consentMouse1.midButton,consentMouse1.rightButton,consentMouse1.clicked_name,consent_Mouse.x,consent_Mouse.y,consent_Mouse.leftButton,consent_Mouse.midButton,consent_Mouse.rightButton,consent_Mouse.clicked_name,startMouse.x,startMouse.y,startMouse.leftButton,startMouse.midButton,startMouse.rightButton,startMouse_2.x,startMouse_2.y,startMouse_2.leftButton,startMouse_2.midButton,startMouse_2.rightButton,start_distance,fixedOri,minimalDistance,maxOri,this_ori,accuracy,presented_accuracy,presented_this_ori,submitMouse.x,submitMouse.y,submitMouse.leftButton,submitMouse.midButton,submitMouse.rightButton,submitMouse.time,submitMouse.clicked_name,pauseMouse.x,pauseMouse.y,pauseMouse.leftButton,pauseMouse.midButton,pauseMouse.rightButton,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,startOri,participant,condition,nTrials,date,expName,psychopyVersion,OS,frameRate,pauseMouse.clicked_name,EndButtonMouse.x,EndButtonMouse.y,EndButtonMouse.leftButton,EndButtonMouse.midButton,EndButtonMouse.rightButton,EndButtonMouse.clicked_name
0.317777778,-0.394444444,1,0,0,consent_button1,0.38,-0.411111111,1,0,0,consent_button,0.326666667,-0.326666667,1,0,0,0.326666667,-0.334444444,1,0,0,52.77777778,37,20,75,209.7777778,7.222222222,7.222222222,119.7777778,0.28,-0.307777778,1,0,0,0.199,submitButton,-0.445555556,-0.395555556,0,0,0,0,0,0,21,1,37,69853,1,180,2022-02-23_21h59.19,orientation adjustment 1,2021.2.3,MacIntel,66.66666667,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,-52.77777778,74,20,75,70.22222222,3.777777778,3.777777778,-19.77777778,0.217777778,-0.288888889,1,0,0,0.016,submitButton,-0.168888889,-0.403333333,0,0,0,0,1,1,58,1,74,69853,1,180,2022-02-23_21h59.19,orientation adjustment 1,2021.2.3,MacIntel,66.66666667,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,46.66666667,46,20,75,213.6666667,12.33333333,12.33333333,123.6666667,0.194444444,-0.331111111,1,0,0,0.134,submitButton,-0.15,-0.408888889,0,0,0,0,2,2,30,1,46,69853,1,180,2022-02-23_21h59.19,orientation adjustment 1,2021.2.3,MacIntel,66.66666667,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,-21.66666667,-31,20,75,-27.66666667,3.333333333,3.333333333,-117.6666667,0.242222222,-0.322222222,1,0,0,0.383,submitButton,-0.16,-0.394444444,0,0,0,0,3,3,15,1,31,69853,1,180,2022-02-23_21h59.19,orientation adjustment 1,2021.2.3,MacIntel,66.66666667,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,45,-35,20,75,-27,8,8,-117,0.394444444,-0.29,1,0,0,0.299,submitButton,-0.315555556,-0.397777778,0,0,0,0,4,4,19,1,35,69853,1,180,2022-02-23_21h59.19,orientation adjustment 1,2021.2.3,MacIntel,66.66666667,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,-58.33333333,-17,20,75,-27.33333333,10.33333333,10.33333333,-117.3333333,0.204444444,-0.297777778,1,0,0,0.05,submitButton,-0.227777778,-0.394444444,0,0,0,0,5,5,1,1,17,69853,1,180,2022-02-23_21h59.19,orientation adjustment 1,2021.2.3,MacIntel,66.66666667,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,-39.44444444,-28,20,75,-28.44444444,0.444444444,0.444444444,-118.4444444,0.204444444,-0.284444444,1,0,0,0.101,submitButton,-0.255555556,-0.425555556,0,0,0,0,6,6,12,1,28,69853,1,180,2022-02-23_21h59.19,orientation adjustment 1,2021.2.3,MacIntel,66.66666667,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,35,21,20,75,203,2,2,113,0.196666667,-0.297777778,1,0,0,0.05,submitButton,-0.198888889,-0.406666667,0,0,0,0,7,7,5,1,21,69853,1,180,2022-02-23_21h59.19,orientation adjustment 1,2021.2.3,MacIntel,66.66666667,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,73.88888889,22,20,75,190.8888889,11.11111111,11.11111111,100.8888889,0.192222222,-0.307777778,1,0,0,0.384,submitButton,0.054444444,-0.34,0,0,0,0,8,8,6,1,22,69853,1,180,2022-02-23_21h59.19,orientation adjustment 1,2021.2.3,MacIntel,66.66666667,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,43.33333333,58,20,75,66.33333333,8.333333333,8.333333333,-23.66666667,-0.205555556,-0.427777778,1,0,0,1.466,submitButton,-0.205555556,-0.427777778,0,0,0,0,9,9,42,1,58,69853,1,180,2022-02-23_21h59.19,orientation adjustment 1,2021.2.3,MacIntel,66.66666667,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,-26.11111111,30,20,75,20.88888889,9.111111111,9.111111111,-69.11111111,-0.146666667,-0.406666667,1,0,0,1.201,submitButton,-0.146666667,-0.406666667,0,0,0,0,10,10,14,1,30,69853,1,180,2022-02-23_21h59.19,orientation adjustment 1,2021.2.3,MacIntel,66.66666667,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,-72.77777778,-62,20,75,-212.7777778,29.22222222,29.22222222,-302.7777778,0.434444444,-0.256666667,1,0,0,0.882,submitButton,-0.251111111,-0.414444444,0,0,0,0,11,11,46,1,62,69853,1,180,2022-02-23_21h59.19,orientation adjustment 1,2021.2.3,MacIntel,66.66666667,,,,,,,
