0,accuracy,rate,logA,logR,,block
0,16.0962963,0.378666821,1.206725958,-0.421742746,,1
0,11.74691358,0.287586396,1.069923774,-0.541231662,,2
0,13.29197531,0.317702081,1.123589526,-0.49797994,,3
0,13.87407407,0.333994655,1.142204009,-0.476260483,,4
0,14.35740741,0.33335219,1.157076024,-0.477096687,,5
0,12.82901235,0.312766575,1.108193223,-0.504779666,,6
0,14.3,0.318982959,1.155336037,-0.496232518,,7
0,14.4845679,0.325673611,1.160905544,-0.48721743,,8
0,14.11419753,0.314463723,1.149656191,-0.502429448,,9
0,12.76790123,0.292897886,1.106119514,-0.533283763,,10
0,11.76604938,0.268863446,1.070630667,-0.570468239,,11
0,13.04382716,0.293520987,1.115405035,-0.532360841,,12
