trial,accuracy,accuracy,accuracy,accuracy,accuracy,accuracy,,,,,,,,,,,,average,logA,trial
1,18.66666667,58.66666667,21.77777778,19.66666667,13.22222222,55.22222222,,,,,,,,,,,,31.20370371,1.494206145,1
2,0.777777778,22.66666667,42.88888889,2.888888889,1.111111111,3.777777778,,,,,,,,,,,,12.35185185,1.091732074,2
3,33,11,1.444444444,8.777777778,19.44444444,22.55555556,,,,,,,,,,,,16.03703704,1.205124132,3
4,13.66666667,8.222222222,14.77777778,2.666666667,25.44444444,19.88888889,,,,,,,,,,,,14.11111111,1.149561212,4
5,16.88888889,3,1.444444444,1.555555556,5.111111111,8.888888889,,,,,,,,,,,,6.148148148,0.788744324,5
6,5.666666667,6,11.22222222,11.55555556,9.777777778,5.666666667,,,,,,,,,,,,8.314814815,0.919852581,6
7,4.666666667,5.111111111,33.77777778,3,8.333333333,18.55555556,,,,,,,,,,,,12.24074074,1.0878077,7
8,8,10.44444444,10.88888889,10.77777778,1.555555556,0.777777778,,,,,,,,,,,,7.074074074,0.849669603,8
9,9.555555556,6.666666667,15.88888889,14.44444444,6.888888889,15.77777778,,,,,,,,,,,,11.53703704,1.062094287,9
10,32.22222222,12.88888889,0.888888889,5,23.88888889,1.777777778,,,,,,,,,,,,12.77777778,1.106455331,10
11,5.888888889,11.88888889,8.777777778,11.11111111,6.555555556,10.88888889,,,,,,,,,,,,9.185185186,0.963087917,11
12,7.777777778,10.11111111,14.55555556,1,15.88888889,9.333333333,,,,,,,,,,,,9.777777779,0.990240163,12
13,15.77777778,4.222222222,6.555555556,0.111111111,4.666666667,6.111111111,,,,,,,,,,,,6.240740741,0.795236141,13
14,11.33333333,4.444444444,9.444444444,5.555555556,13.88888889,1.666666667,,,,,,,,,,,,7.722222222,0.887742295,14
15,17.11111111,8.333333333,15.55555556,12.88888889,5.666666667,4.888888889,,,,,,,,,,,,10.74074074,1.031034234,15
16,36.77777778,6,11.44444444,2.444444444,5.222222222,16.55555556,,,,,,,,,,,,13.07407407,1.116410941,16
17,8.666666667,6.666666667,5.333333333,0.111111111,0.555555556,2.333333333,,,,,,,,,,,,3.944444445,0.595985844,17
18,5.222222222,16.55555556,14.88888889,2,0.555555556,2.666666667,,,,,,,,,,,,6.981481483,0.84394759,18
19,9.666666667,9.444444444,0.222222222,8.555555556,0.111111111,14.77777778,,,,,,,,,,,,7.12962963,0.85306697,19
20,40.22222222,14.22222222,13.22222222,10,12.77777778,5.222222222,,,,,,,,,,,,15.94444444,1.202609392,20
21,5.222222222,20.44444444,6.555555556,0.666666667,0.666666667,6.888888889,,,,,,,,,,,,6.74074074,0.828707624,21
22,6.333333333,11.33333333,2.666666667,10.11111111,6.666666667,7.444444444,,,,,,,,,,,,7.425925925,0.870750613,22
23,15.11111111,7,18.88888889,14.66666667,12.88888889,4.555555556,,,,,,,,,,,,12.18518519,1.085832134,23
24,31.33333333,8.222222222,37.44444444,3.222222222,1,5.222222222,,,,,,,,,,,,14.40740741,1.158585837,24
25,8.888888889,7.222222222,46.77777778,6.555555556,11.88888889,2.222222222,,,,,,,,,,,,13.92592593,1.143824081,25
26,7.888888889,27,2.222222222,1.555555556,2.888888889,7.222222222,,,,,,,,,,,,8.12962963,0.91007076,26
27,2.333333333,11.11111111,3.777777778,10.88888889,6.666666667,0.666666667,,,,,,,,,,,,5.907407408,0.771396923,27
28,13,15.88888889,8.888888889,8.444444444,12,8,,,,,,,,,,,,11.03703704,1.0428525,28
29,28.11111111,8.888888889,12.44444444,14.22222222,1.888888889,0.222222222,,,,,,,,,,,,10.96296296,1.039927947,29
30,0.555555556,19,6.333333333,16.22222222,8.666666667,16.22222222,,,,,,,,,,,,11.16666667,1.047923552,30
31,4.333333333,14.77777778,4.444444444,2.777777778,16.77777778,2.555555556,,,,,,,,,,,,7.611111112,0.881448062,31
32,3.777777778,9.222222222,23.33333333,8.111111111,13.22222222,5.777777778,,,,,,,,,,,,10.57407407,1.024242348,32
33,21,4.222222222,2.777777778,10.11111111,11.22222222,9.777777778,,,,,,,,,,,,9.851851851,0.993517872,33
34,14.66666667,6,17.77777778,4.222222222,0.666666667,9,,,,,,,,,,,,8.722222223,0.940627147,34
35,8.333333333,12.77777778,2.555555556,10.33333333,13.22222222,6.222222222,,,,,,,,,,,,8.907407407,0.949751317,35
36,9.555555556,21,6.777777778,2.222222222,3.666666667,14.77777778,,,,,,,,,,,,9.666666667,0.985276743,36
37,19.88888889,13.77777778,2.555555556,11.22222222,14.22222222,23.33333333,,,,,,,,,,,,14.16666667,1.151267675,37
38,21.88888889,14,62.77777778,8.666666667,13.55555556,3.111111111,,,,,,,,,,,,20.66666667,1.315270435,38
39,12.55555556,11.55555556,12,7,32.44444444,15.55555556,,,,,,,,,,,,15.18518519,1.181420093,39
40,18.88888889,12.33333333,12.88888889,14.66666667,65.77777778,4.333333333,,,,,,,,,,,,21.48148148,1.332064229,40
41,5.666666667,6.111111111,4.111111111,6.222222222,3.111111111,3.333333333,,,,,,,,,,,,4.759259259,0.677539363,41
42,2.777777778,9.333333333,12.88888889,13.33333333,5.777777778,1.555555556,,,,,,,,,,,,7.611111111,0.881448062,42
43,2.555555556,6.111111111,9,12,11,4.777777778,,,,,,,,,,,,7.574074074,0.879329548,43
44,18.55555556,8,12.88888889,2.222222222,19.11111111,13.44444444,,,,,,,,,,,,12.37037037,1.092382703,44
45,19.33333333,12.77777778,18.44444444,9.444444444,12.88888889,0.555555556,,,,,,,,,,,,12.24074074,1.0878077,45
46,11.55555556,79.88888889,11.66666667,7.333333333,5.666666667,10.44444444,,,,,,,,,,,,21.09259259,1.324129964,46
47,7.777777778,22.44444444,19.88888889,3,1.777777778,4.222222222,,,,,,,,,,,,9.851851851,0.993517872,47
48,7.666666667,6.555555556,17,3.555555556,9.333333333,13.44444444,,,,,,,,,,,,9.592592592,0.981936,48
49,23.55555556,5.888888889,19.77777778,0,5.444444444,6.333333333,,,,,,,,,,,,10.16666667,1.007178585,49
50,13,19.11111111,4.777777778,15.66666667,11.55555556,2.777777778,,,,,,,,,,,,11.14814815,1.047202731,50
51,17.44444444,4,7.333333333,3.222222222,5,0.333333333,,,,,,,,,,,,6.222222221,0.793945518,51
52,3.555555556,22.66666667,14.77777778,2.555555556,16.11111111,11.44444444,,,,,,,,,,,,11.85185185,1.073786214,52
53,12.55555556,41.66666667,1,0.666666667,16.44444444,13.44444444,,,,,,,,,,,,14.2962963,1.155223541,53
54,4.777777778,15.55555556,12.11111111,8.333333333,0.777777778,6.555555556,,,,,,,,,,,,8.018518519,0.904094137,54
55,39.77777778,7.888888889,54,8.333333333,9.333333333,16.44444444,,,,,,,,,,,,22.62962963,1.354677446,55
56,1.666666667,9.111111111,36.44444444,5.777777778,9.666666667,4.333333333,,,,,,,,,,,,11.16666667,1.047923552,56
57,29.55555556,33,9.111111111,0.333333333,15.77777778,12.55555556,,,,,,,,,,,,16.72222222,1.223293991,57
58,0.333333333,12.88888889,6.888888889,5,12.33333333,4.333333333,,,,,,,,,,,,6.962962963,0.842794085,58
59,3.777777778,3,14,0.111111111,29.88888889,23,,,,,,,,,,,,12.2962963,1.08977432,59
60,7,36.11111111,1.888888889,13,81.88888889,10.22222222,,,,,,,,,,,,25.01851852,1.398261589,60
61,25,10,51.77777778,6.666666667,10.44444444,57.44444444,,,,,,,,,,,,26.88888889,1.429572857,61
62,0,84,10,3.555555556,7.222222222,7.333333333,,,,,,,,,,,,18.68518519,1.271497406,62
63,18.22222222,12,4.888888889,2,16.33333333,12.44444444,,,,,,,,,,,,10.98148148,1.040660933,63
64,3.222222222,9.555555556,12.22222222,2.444444444,18.33333333,7.888888889,,,,,,,,,,,,8.944444444,0.951553371,64
65,11.22222222,15.22222222,8.333333333,3.888888889,16.88888889,8.888888889,,,,,,,,,,,,10.74074074,1.031034234,65
66,21.33333333,10.11111111,11.55555556,0.666666667,11.88888889,7,,,,,,,,,,,,10.42592593,1.018114635,66
67,12.22222222,0.222222222,32.77777778,27.77777778,2.333333333,7.444444444,,,,,,,,,,,,13.7962963,1.139762513,67
68,15.88888889,0.777777778,25.66666667,17.22222222,14.11111111,3.111111111,,,,,,,,,,,,12.7962963,1.107084288,68
69,19.88888889,6.333333333,5.888888889,4.111111111,20.77777778,6.777777778,,,,,,,,,,,,10.62962963,1.026518133,69
