"dataTT","ï..consentMouse1.x","consentMouse1.y","consentMouse1.leftButton","consentMouse1.midButton","consentMouse1.rightButton","consentMouse1.clicked_name","consent_Mouse.x","consent_Mouse.y","consent_Mouse.leftButton","consent_Mouse.midButton","consent_Mouse.rightButton","consent_Mouse.clicked_name","startMouse.x","startMouse.y","startMouse.leftButton","startMouse.midButton","startMouse.rightButton","startMouse_2.x","startMouse_2.y","startMouse_2.leftButton","startMouse_2.midButton","startMouse_2.rightButton","start_distance","fixedOri","minimalDistance","maxOri","this_ori","accuracy","presented_accuracy","presented_this_ori","submitMouse.x","submitMouse.y","submitMouse.leftButton","submitMouse.midButton","submitMouse.rightButton","submitMouse.time","submitMouse.clicked_name","pauseMouse.x","pauseMouse.y","pauseMouse.leftButton","pauseMouse.midButton","pauseMouse.rightButton","trials.thisRepN","trials.thisTrialN","trials.thisN","trials.thisIndex","trials.ran","startOri","participant","condition","nTrials","date","expName","psychopyVersion","OS","frameRate","pauseMouse.clicked_name","EndButtonMouse.x","EndButtonMouse.y","EndButtonMouse.leftButton","EndButtonMouse.midButton","EndButtonMouse.rightButton","EndButtonMouse.clicked_name"
"./67276_orientation_adjustment_1_2022-02-10_12h43.07.145.csv",0.362222222,-0.4,1,0,0,"consent_button1",0.362222222,-0.4,1,0,0,"consent_button",0.138888889,-0.143333333,1,0,0,0.163333333,-0.202222222,1,0,0,33.33333333,-70,20,75,-88.66666667,18.66666667,18.66666667,-178.6666667,0.194444444,-0.312222222,1,0,0,8.611,"submitButton",-0.25,-0.395555556,0,0,0,0,0,0,54,1,70,67276,1,180,"2022-02-10_12h43.07.145","orientation adjustment 1","2021.2.3","MacIntel",58.82352941,"",NA,NA,NA,NA,NA,""
"./67276_orientation_adjustment_1_2022-02-10_12h43.07.145.csv",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-52.77777778,21,20,75,20.22222222,0.777777778,0.777777778,-69.77777778,0.215555556,-0.295555556,1,0,0,0.682,"submitButton",-0.263333333,-0.401111111,0,0,0,0,1,1,5,1,21,67276,1,180,"2022-02-10_12h43.07.145","orientation adjustment 1","2021.2.3","MacIntel",58.82352941,"",NA,NA,NA,NA,NA,""
"./67276_orientation_adjustment_1_2022-02-10_12h43.07.145.csv",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-40,-68,20,75,-215,33,33,-305,0.387777778,-0.297777778,1,0,0,0.317,"submitButton",-0.288888889,-0.418888889,0,0,0,0,2,2,52,1,68,67276,1,180,"2022-02-10_12h43.07.145","orientation adjustment 1","2021.2.3","MacIntel",58.82352941,"",NA,NA,NA,NA,NA,""
"./67276_orientation_adjustment_1_2022-02-10_12h43.07.145.csv",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-36.66666667,-56,20,75,-69.66666667,13.66666667,13.66666667,-159.6666667,0.394444444,-0.287777778,1,0,0,0.749,"submitButton",-0.237777778,-0.412222222,0,0,0,0,3,3,40,1,56,67276,1,180,"2022-02-10_12h43.07.145","orientation adjustment 1","2021.2.3","MacIntel",58.82352941,"",NA,NA,NA,NA,NA,""
"./67276_orientation_adjustment_1_2022-02-10_12h43.07.145.csv",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-38.88888889,-40,20,75,-56.88888889,16.88888889,16.88888889,-146.8888889,0.198888889,-0.304444444,1,0,0,0.782,"submitButton",-0.155555556,-0.402222222,0,0,0,0,4,4,24,1,40,67276,1,180,"2022-02-10_12h43.07.145","orientation adjustment 1","2021.2.3","MacIntel",58.82352941,"",NA,NA,NA,NA,NA,""
"./67276_orientation_adjustment_1_2022-02-10_12h43.07.145.csv",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.66666667,51,20,75,56.66666667,5.666666667,5.666666667,-33.33333333,0.396666667,-0.29,1,0,0,0.45,"submitButton",-0.271111111,-0.41,0,0,0,0,5,5,35,1,51,67276,1,180,"2022-02-10_12h43.07.145","orientation adjustment 1","2021.2.3","MacIntel",58.82352941,"",NA,NA,NA,NA,NA,""
"./67276_orientation_adjustment_1_2022-02-10_12h43.07.145.csv",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.66666667,-18,20,75,-13.33333333,4.666666667,4.666666667,-103.3333333,0.412222222,-0.28,1,0,0,0.183,"submitButton",-0.307777778,-0.402222222,0,0,0,0,6,6,2,1,18,67276,1,180,"2022-02-10_12h43.07.145","orientation adjustment 1","2021.2.3","MacIntel",58.82352941,"",NA,NA,NA,NA,NA,""
"./67276_orientation_adjustment_1_2022-02-10_12h43.07.145.csv",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,-32,20,75,-24,8,8,-114,0.421111111,-0.305555556,1,0,0,0.103,"submitButton",-0.243333333,-0.417777778,0,0,0,0,7,7,16,1,32,67276,1,180,"2022-02-10_12h43.07.145","orientation adjustment 1","2021.2.3","MacIntel",58.82352941,"",NA,NA,NA,NA,NA,""
"./67276_orientation_adjustment_1_2022-02-10_12h43.07.145.csv",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-69.44444444,-58,20,75,-228.4444444,9.555555556,9.555555556,-318.4444444,0.388888889,-0.302222222,1,0,0,0.133,"submitButton",-0.277777778,-0.4,0,0,0,0,8,8,42,1,58,67276,1,180,"2022-02-10_12h43.07.145","orientation adjustment 1","2021.2.3","MacIntel",58.82352941,"",NA,NA,NA,NA,NA,""
"./67276_orientation_adjustment_1_2022-02-10_12h43.07.145.csv",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-67.22222222,60,20,75,27.77777778,32.22222222,32.22222222,-62.22222222,0.213333333,-0.302222222,1,0,0,0.579,"submitButton",-0.282222222,-0.407777778,0,0,0,0,9,9,44,1,60,67276,1,180,"2022-02-10_12h43.07.145","orientation adjustment 1","2021.2.3","MacIntel",58.82352941,"",NA,NA,NA,NA,NA,""
